,PNAME,ASIN,product,brand,name,date,score,title,comment
0,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,remisara,2020年5月16日,1.0,蜂蜜の味も匂いがしない、湿気った紙の匂い紅茶,毎回正規店で購入しているのですが、今回自粛中のため初めてこちらで購入しました。いつもは箱を開けただけではちみつの香りがフワァ〜っと広がるものの、こちらは紅茶の香りのみです。本当に正規品なのか疑ってしまうほど違いました。非常に残念です。(..)
1,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,Amazon カスタマー,2020年11月24日,3.0,アステルパーム使用かぁ,はちみつ紅茶が飲みたく、評価の高かったこちらの商品を購入するに至りました。商品説明に人工甘味料が使われている事をもっと前面に出して欲しい。人工甘味料を使っているなら購入はしませんでした。今から購入される方は自分が思っている以上に甘く、そして人工甘味料が使われてることを理解した上での購入をお勧めします。香りも思ったほどなく、甘すぎて苦味も感じません。
2,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,おとくん,2020年11月21日,1.0,いつものはちみつ紅茶じゃなかった、、、,前回購入したときは美味しく飲めましたが、今回は 全く紅茶の香りがなく、ただ甘いお湯といった感じです。無理やり梱包され、外から品物が見える状態で届き、箱も潰れていました。今までオンラインショッピングした中で 最も最低な状態でした。勿体ないと思いましたが 処分しました。送料はかかりますが、ラクシュミーで買い直そうと思います。
3,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,Amazon カスタマー,2018年12月15日,5.0,人工甘味料,チコちゃんじゃないけど、紅茶はやっぱりダージリンだの、どこどこのブランドのよだの言っていましたが、これを飲んだら、いままで飲んでたのは何だったのかってくらいに衝撃を受けました。砂糖ミルクなしストレートで飲むのよと、通ぶってました、ごめんなさい😭友人からいただいたその日から1日も欠かさずオフィスで楽しんでいます。ティーパックの紅茶に手持ちのはちみつを入れればいいかも、と思い試しましたがちがう違う❗これでなきゃという逸品に出会えました。友人に感謝を伝え、複数箱買いの常備品です。紅茶は甘くてなんぼ‼️上等なごほうびが毎日オフィスで味わえる幸せ🍀です。
4,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,がち,2021年11月15日,3.0,処分しました,見事に箱が潰れています。薄い段ボール製のレターパックみたいなやつに、無理矢理入れられてらました。段ボールが破損するほどギュウギュウに詰めたのでしょうか？透明テープで破損したところが補強されてました。友達へのプレゼントとして注文したので残念です。他のショップで買い直します。商品自体は本当に良いものなので、自宅用以外の目的の購入はAmazon以外をお勧めします。商品自体は星5ですが、他のショップでの購入をお勧めしたいので星3とさせて頂きます😇紅茶にしてはかなりお高い買い物だっただけに本当に残念でした。
5,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,Coooちゃん,2020年12月7日,4.0,🏵️オフィスで私だけCafeしてる感じです☺️,まず、私は非常に甘党です。そのため、紅茶を入れても必ず砂糖を入れて飲んでおります。ですから、職場であろうと家であろうと、お湯を注いだ後砂糖を探すのです。せっかく紅茶を入れたのに砂糖を切らしていて残念な気持ちになる子とも度々ありました。そんなとき、この紅茶を一パックだけ同僚にもらいました。衝撃の甘さ（おいしさ）でした。しかも、砂糖を入れずにです。一口飲んで、スマホを探しに行き、銘柄を検索して注文してしまいました。一つ、残念なところを挙げるとすれば･･･もう少し安くなるか、同じ値段で量が増えれば嬉しいな･･･
6,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,おうまちゃん,2020年2月7日,4.0,商品は良いが梱包に難あり,美味しいです 凄く‼︎家族全員で気に入っています普段 甘い紅茶は飲まないのですが こちらは美味しくて飲んでいます寒い日にぴったりです１パックで マグカップ２杯 たっぷりとれるので 大きめのティーポットでいれていますカップで直接いれると甘すぎてしまいますし勿体無いです美味しい紅茶は是非ポットで入れて下さいお値段はがもう少し家計に優しいと嬉しいのになぁ〜と思います なので星４です味は星５です
7,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,,2020年6月6日,3.0,おいしい！けれど･･･,他の方のレビューを拝見し、期待して2個購入しましたが　薬臭くて私はダメでした…。残念。家族にも「香りが人工的」と言う理由で不評。１つだけ淹れて飲んで　あとは全部友人にあげました。友人はとてもおいしかったと言っていたので　個人個人で好き嫌いが分かれると思います。
8,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,犬大好き,2021年12月11日,5.0,甘いです,以前友人にいただいて美味しかったので購入。ラクシュミーさんのストア出品物を購入したのでちゃんとおいしい製品が届きました。そのままいただいても美味しいですが、友人に再び購入した旨を伝えたところ「ミルクティーが美味しいよ」とのこと。紅茶を100cc弱ぐらいのお湯で濃いめに抽出したところに、レンジで温めた同量の牛乳を入れていただいてみたところとっても美味しいミルクティーができました。最近は寒いので毎朝おめざにいただいています。
9,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,Amazon カスタマー,2021年4月30日,1.0,まさに極上はちみつ,はちみつの臭いがしない・本家とは別物、と他の方のレビューにもあったので迷ったのですが、送料無料でこの値段だったので一か八かで購入しました。届いたものは、やっぱり、あの袋の外にも漏れ出るはちみつのいい匂いが全くせず。。味もただの甘ーい紅茶です。。普段は2箱なんてすぐ無くなりますが、これはちょっと飲みきれなさそう。ラクシュミーさんのとは違うのでしょうか？
10,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,ファーファ,2021年6月6日,5.0,ミルクティーに最適,知り合いの方から一つ頂きとても美味しかったので購入しました。蜂蜜の自然な風味がなんとも言えない美味しさです。毎日飲んでも飽きない。 砂糖を入れなくてもかなり甘みを感じます。普段紅茶を砂糖なしで飲んでる方には甘すぎるかと思います…後、蜂蜜の風味が苦手な方は無理かもしれませんが、元々私も蜂蜜が好きな方ではありませんが美味しくいただけます。
11,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,Amazon カスタマー,2022年3月14日,1.0,ラクシュミーさんと同じ？,テレビで美味しいとか言うから2個も買ってしまった人工甘味料、変な味、身体に悪そうな味何に対して極上なのか分からないわ普通に紅茶にハニー入れた方が美味しい身体に安心ケトルにこの紅茶を入れて飲んだんだけど洗っても洗ってもこの香りが取れないいつものほうじ茶はほんのりこの香りこれからはよく調べてから購入しようもうテレビに騙されないぞ
12,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,Amazon カスタマー,2021年12月1日,5.0,とても美味しいです。,友人に貰って美味しかったのでAmazonで買えるかなぁ？と検索したら有りました。これからも度々購入させていただきます。他の紅茶よりは蒸らし時間長めです。濃いめなので好みによっては1バックで2杯行けますよ。かなり甘めかと思いますが、蜂蜜の甘さなので罪悪感なくゴクゴク飲めます。
13,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,あき,2020年11月22日,1.0,不味い,前に購入した時は蜂蜜の香りがする、とても美味しい紅茶だったので、再注文したところ残念でした。他のレビューの方と同じくまったく香りがしない、少し埃っぽいような、、長期間保管してあった感じです。前回の美味しさと比べてしまうので、ほんとに残念ですが、飲まずに破棄すると思います。
14,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,ポポちゃん,2022年4月16日,4.0,美味しい,あずさ珈琲でも取り扱っており、味が気に入って友人にもプレゼントしました。しかし、これ、合成甘味料使用しているのですね。それががっかりポイント。自然な糖ではないので、体には良くないのです（説明は省きます）。連日飲用はおすすめ出来ません。人にあげてしまって後悔。自分で楽しむぶんには良いでしょう。
15,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,koko,2022年5月5日,5.0,前回と全然違う,友人の誕生日に、なにが欲しい？と聞いたらコレが欲しいとのこと。私は飲んだことないですが、お友達のお家で出されてその美味しさに感動したらしく。日常用に自分で買うにはちょっとお高めということでプレゼント候補に上がりました。届いた友人は、優雅なお茶タイムを得られたようです。私も次に伺う時にいただこうと思います🥳
16,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,かりん,2022年3月21日,1.0,なんで？,甘味料が入っているのですごく甘く感じます。ハチミツの香りより花粉の香りがきついです。
17,B075JYDYXX_Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット_review_20220524.csv,B075JYDYXX,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り×2箱セット,Lakshimi,AABBAN,2022年3月12日,5.0,想像以上,買ったきっかけは、友人のお裾分けで、あまりに美味しかったから。前は、他のサイトで都度購入していたのですが、定期便で見つけて即、リストに入れました。お行儀が悪いのですが、あまりに美味しくて好きすぎて、ティーバッグを捨てる前に、一滴も残したくなくてチューチューしてしまいます…笑　食後に頂くと、食事の満足感が上がるように思います。
