,ASIN,product,brand,name,date,score,title,comment
0,B0B518WFSN,名糖産業 アップルティー 470g×2個,名糖産業,ogippa23,2023年8月7日,5.0,大変美味しい,こんなに入れるの？というくらい粉をカップに入れますが、アイスもホットも味は最高です。
1,B0B518WFSN,名糖産業 アップルティー 470g×2個,名糖産業,Amazon カスタマー,2023年7月23日,5.0,美味しくて何度も注文してるけど...,住んでる地域のせいか、中々スーパーや薬局でも見つからずいつもこちらでリピートしてます。冷たくして飲んでも美味しいので気に入ってます。
2,B0B518WFSN,名糖産業 アップルティー 470g×2個,名糖産業,mactools,2023年4月3日,4.0,大変美味しい,私コーヒーや炭酸飲料を飲みませんのでこれと紅茶を常飲してます。てか、名糖のアップルティーって昔は缶入りがありませんでしたっけね⁈私は缶入りの方が好きで探してるんですけどもう製造してないのかなぁ…味や品質は昔ながらの安定感で美味しくいただいてます。
3,B0B518WFSN,名糖産業 アップルティー 470g×2個,名糖産業,JUN,2023年5月21日,5.0,おいしい,量、味ともちょうど良い。癖になる。
4,B0B518WFSN,名糖産業 アップルティー 470g×2個,名糖産業,まーさ,2023年1月24日,4.0,常飲してます。,これはいつものアップルティーです。可もなく不可もなくって感じの安定性。
5,B0B518WFSN,名糖産業 アップルティー 470g×2個,名糖産業,ハセ,2023年4月16日,5.0,満足,店舗ではなかなか売ってないのと、大容量で安いので買ってます。寒い日にホットで飲むと温まります。
6,B0B518WFSN,名糖産業 アップルティー 470g×2個,名糖産業,中野景子,2023年3月31日,5.0,いつものアップルティー,2回目の購入です。美味しいのでリピートしました。2個中１個袋が破けていて飲めませんでした。交換も受付られないようです。商品は良いのですが、残念です。
7,B0B518WFSN,名糖産業 アップルティー 470g×2個,名糖産業,きり,2022年12月3日,4.0,大容量,レビューを見て心配になりましたが、私のはちゃんと２個入ってました。近所で見かけないので助かります。ありがとうございました。
8,B0B518WFSN,名糖産業 アップルティー 470g×2個,名糖産業,Ei,2022年12月16日,5.0,リピートしてます,量は少なくなってしまきましたが、安定の美味しさ！定期購入できるようにしてもらいたいです。
9,B0B518WFSN,名糖産業 アップルティー 470g×2個,名糖産業,Amazon カスタマー,2022年12月8日,5.0,２個入ってました,ここのレモンティーは良く見かけるがアップルティーは無かった。セールの際見つけたので試してみたが美味しい。レモンティーより好きかも、
10,B0B518WFSN,名糖産業 アップルティー 470g×2個,名糖産業,egiru,2023年3月8日,1.0,大変美味しい,1つ底に穴が開いてこぼれてた。
11,B0B518WFSN,名糖産業 アップルティー 470g×2個,名糖産業,名無しさん,2022年11月22日,1.0,美味しくて何度も注文してるけど...,2個入りとあるのに対し届いてみた1個しか入っていない。ロット管理用のビニールには2個1セットの表記があるのにわざわざビニールを切って取り出したような梱包だった。食品のため交換返品の手続きが取れないため注意
12,B0B518WFSN,名糖産業 アップルティー 470g×2個,名糖産業,ハイジ,2023年4月9日,5.0,美味しくて何度も注文してるけど...,30年以上前から、飲用しています。飽きない、大好きです。
0,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,ユキコ,2023年5月15日,4.0,安い,何回か使用して、飲んでます。味が薄いですが、値段は安くてよいです。
1,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,Amazon カスタマー,2023年3月12日,4.0,香りが薄い,スターレートで飲んでます。美味しいです。結構量を飲むのでカフェインレスだったらもっと良かったと思ってます。
2,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,しょうりん,2023年2月13日,4.0,安い,他の似たようなものを、飲んだりもしたが、これが一番よかった。
3,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,f,2023年9月1日,3.0,アップルの風味がよい,りんごの香りが期待よりかなり薄い
4,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,jakotenko,2022年10月19日,4.0,これが一番よかった,もっとリンゴの香りがするかなと期待していましたが、ほのかに感じられるくらいでした。味は普通の紅茶にほんのりとリンゴらしい酸味があります。甘めのアップルティーが好きなので、ストレートで飲むのに自分の好みからは外れていました。１２パック×６なので小分けでたくさんでお買い得だとは思いました。商品画像ではわかりにくいですが、１２パックが入ってる袋がチャック付きです。それはナイスでした！次回はまた違うものを試してみます。
5,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,Amazon Customer,2023年8月18日,2.0,香りが薄い,購入 8/2023賞味期限10/2023
6,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,,2023年8月15日,2.0,思ったより香りが弱い,直接嗅いだら変な匂いがした。お湯を入れて嗅いでみたら変な匂いは無くなったけどアップルの香りは殆どしなかった。失敗しました。買わなければ良かった
7,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,しーちゃん,2022年6月21日,4.0,賞味期限！,夏場はアイスティーとしても美味しいです。セット販売だったので使いきるまでまだまだかかりそうです。
8,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,ＬＯＶＥ,2021年9月12日,4.0,変な匂いがする,紅茶を淹れるとき、ほのかにリンゴの香りが立ち、砂糖なしでも、甘く美味しいアップルテイを楽しむことができます。
9,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,Amazon カスタマー,2022年3月24日,5.0,アイスティーとして,リプトンですから、間違いはないです。香り良く、毎日のお3時にどうぞ。
10,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,Amazonカスタマー,2021年2月15日,4.0,安い,飲みやすくて美味しいです。安く購入できて嬉しいです。アップルの香りがいいです
11,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,ばびたん,2021年12月30日,5.0,香りが薄い,アップルティの香と味が大好きで毎日呑んでいます。まとめて購入することで切らすことなくお買い得で助かります。
12,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,あおしま,2021年8月21日,5.0,いつでも飲みたい,何回もリピしていて家族でお気に入りです。りんごの香りが良く、美味しいです。
13,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,watanabekazuo321,2019年11月4日,4.0,お買い得でいい味,ポットいっぱいたっぷり香りと軽い味がある
14,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,前田好恵,2021年8月3日,5.0,香りがよく美味しい,アップルティー独特の香りが控えめなので、とても飲みやすい紅茶です。容量も丁度良いので助かります。
15,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,ちあちゃん,2021年6月21日,5.0,たっぷり香りがある,信頼有るブランドで安心して飲めます。香りも良く味もスッキリして美味しいです。
16,B01MAX8IDR,リプトン紅茶 アップルティー ティーバッグ 12袋×6箱,リプトン,masa,2021年5月6日,5.0,さっぱりしたアップルティー。,リーズナブルかつ安く手に入るのでとても良い商品
