,ASIN,product,brand,name,date,score,title,comment
0,B07B9YCC4K,日東紅茶 水出しアイスティー アールグレイ TB 12袋入×6袋,日東紅茶,りみは,2019年10月1日,4.0,ずっと取り扱って欲しい！,10年以上前から水出し紅茶を愛用していますが、夏が過ぎると店頭には並ばなくなり残念に思っていました。こちらで定期購入できて年中飲めるようになり、うれしいです。大きなボトルで使うので、一度に2～3個使います。水出しする場合、沈んでしまうとあまり出ない＆混ぜなきゃならないので、蓋に少し噛ませて吊るすのがベストなのですが、こちらは小さいので放り込むだけだと沈みがち… 頑張って空気を含ませ浮くようにしています… ちょい面倒かつ難しい… ピロータイプがあるハズなので、取り扱ってほしいです～味は、他のメーカーさんのも試していますが、個人的には日東さんのアールグレイの香りがお気に入りです。
1,B07B9YCC4K,日東紅茶 水出しアイスティー アールグレイ TB 12袋入×6袋,日東紅茶,ぷー,2020年7月1日,5.0,うまー！,ペットボトルの飲料はゴミ処理が面倒＆すぐゴミ箱が満杯になってしまうし経済的にも勿体ないので、通年で水出しの麦茶・ほうじ茶などを飲んでいます。が、飽きてしまうこともあるので、この商品を「サブ」として愛飲してます。紅茶には全く詳しくないですが、香りや味に癖がなく食事にも合うと思ってます。特に春夏は結構な消耗頻度なのでもっとコスパよく！と、粉末タイプの紅茶、ポーションタイプの紅茶、PBの水出しタイプの紅茶、なども試してみましたが、粉末はコスパは良いが甘味がありすぎる＆レモンティーばかりでストレートティーがない＆冷水か氷がないと飲むのが辛い（ので結局廃棄することになる）、ポーションタイプは甘味があるし＆コスパが良くない、PBは水出しの濃度がいまいち（なので1回に2個使う羽目になる）…との経験を踏まえ、結局、癖がない味・水出しがスムーズ・水に入れて冷やせばいいだけで手間いらず、であるこの商品に落ち着きました。スーパーなどの店頭でもほぼ同じ単価で購入できるので、Amazonでの購入でコスパがすこぶる良くなる訳ではないですが…。使用説明には500mlに1個、となってますが、1Lに1個入れて半日も経つと結構な濃さになります（個人の感想です）。
2,B07B9YCC4K,日東紅茶 水出しアイスティー アールグレイ TB 12袋入×6袋,日東紅茶,maru,2020年11月7日,5.0,ピロータイプを扱ってほしい,見かけるけど この時期になるとネットでしか売ってない Amazonが1番安い 他にも種類があるけど うちはこれが1番好き 500㍉で1つとなってるけど 2Lで3つでも かなり味が出る
3,B07B9YCC4K,日東紅茶 水出しアイスティー アールグレイ TB 12袋入×6袋,日東紅茶,富士山見える,2020年10月10日,3.0,お気に入り・通年愛用,なんだか前のアールグレイではなくなっている気がしました。数年前に購入していた時、箱入りのパッケージでしたが、プラパッケージにリニューアルされてからは初めて飲みました。前は美味しくてリピートしていましたが、今後のリピート予定はなくなりました。あくまで個人の感想です。
4,B07B9YCC4K,日東紅茶 水出しアイスティー アールグレイ TB 12袋入×6袋,日東紅茶,Hiryu,2021年1月23日,5.0,夏場は店頭で,美味しい！匂いも味も飲んだ後の爽やかさも日東紅茶のアールグレイ１択です！年中飲めるように買い置き買いだめしてます❣️ベルガモットがとうんちく言いたいですが、すいません💦ベルガモットあまり知らない。水だししか飲まないので止めれません！１リットルで２個入れてます。
5,B07B9YCC4K,日東紅茶 水出しアイスティー アールグレイ TB 12袋入×6袋,日東紅茶,lemon,2019年12月11日,3.0,前回のprimeセールでお安く購入させていただいたのですが…。,以前1リットル用（箱入り）で、今は500ml用（パック詰め）となっております。同じものだと思うが、以前の箱の方が飲みやすかった。後者の方がちょっと私には香りが強すぎて私には飲みづらくなりました。
6,B07B9YCC4K,日東紅茶 水出しアイスティー アールグレイ TB 12袋入×6袋,日東紅茶,Amazon カスタマー,2021年6月4日,5.0,アールグレイはこれ！！,フルーティーで爽やかな美味しさです。当方作業場へ2ℓの水筒へ入れて飲んでます。あっさりしてますのでゴクゴク飲めます。フルーティーな感じですが甘くなく美味しいです。
7,B07B9YCC4K,日東紅茶 水出しアイスティー アールグレイ TB 12袋入×6袋,日東紅茶,tansin504,2020年3月4日,5.0,ちょっときつい,水につけとくだけでそれなりの紅茶ができるので便利です。夏にハマり引き続き飲み続けています。一時間後ぐらいに容器ごと揺すると色が濃くなります。コスモス に取り扱いがなくなり困りましたがAmazonに売ってあって助かりました。
8,B07B9YCC4K,日東紅茶 水出しアイスティー アールグレイ TB 12袋入×6袋,日東紅茶,Maru,2020年6月23日,4.0,トロピカルフルーツの香りが広がる,コロナウイルス流行のせいで学校の冷水機は使えなくなり水筒持参の日々です。バリエーションを増やしてあげたくて買いました。リプトンさんに比べて時間はかかりまふが、量を考えたらコスパいいです。
9,B07B9YCC4K,日東紅茶 水出しアイスティー アールグレイ TB 12袋入×6袋,日東紅茶,yuki67,2020年3月6日,5.0,うーん。。。,しっかりアールグレイの香りと、渋みの無い味でスッキリ飲みやすいと思います！
