,word,count
18,香り,111
7,肌,101
21,良い,76
39,タイプ,60
54,ソープ,59
41,いい,59
2,使っ,58
1,購入,51
26,使い,48
53,洗い,42
135,ボディ,40
115,乾燥,40
90,子供,40
6,思い,39
46,使用,38
27,やすい,33
23,商品,31
77,優しい,30
15,出,26
95,する,26
36,なり,26
51,いる,24
55,なく,22
124,心地,21
10,み,21
4,なる,20
49,あり,20
104,ボトル,19
126,洗っ,19
174,上がり,18
19,良く,18
343,洗え,17
20,泡立ち,17
133,気に入っ,17
16,くる,17
261,詰め替え,16
121,なっ,16
89,家族,16
12,匂い,16
280,優しく,16
125,ボディー,16
173,好き,14
122,リピート,14
192,良かっ,14
22,敏感,14
211,石鹸,14
163,もっ,13
164,ちり,13
67,買い,13
148,ある,13
146,成分,13
109,プッシュ,13
188,助かり,13
31,洗う,13
140,愛用,12
56,洗える,12
57,嬉しい,12
185,リピ,12
69,安く,12
166,使え,12
151,買っ,12
250,安心,12
111,き,12
156,デザイン,11
86,添加,11
205,よかっ,11
310,得,11
224,試し,10
227,気持ちいい,10
209,保,10
177,ない,10
158,やすく,10
184,風呂,9
220,切れ,9
230,量,9
190,ダヴ,9
223,入っ,9
264,湿,9
306,あっ,9
201,季節,8
199,苦手,8
361,刺激,8
112,出る,8
218,子ども,8
203,ダブ,8
106,持ち,8
397,バス,8
165,問題,8
172,満足,8
128,便利,8
269,よい,8
85,好み,8
29,効果,8
91,一緒,8
50,思っ,8
82,気に入り,8
181,アトピー,7
282,でき,7
284,パッケージ,7
244,大好き,7
35,すぎ,7
187,時期,7
65,安い,7
80,きめ細かく,7
108,お気に入り,7
0,ドラッグストア,7
61,使う,6
240,買え,6
254,使える,6
141,液体,6
161,値段,6
136,タオル,6
134,セット,6
367,♪,6
58,し,6
243,皮膚,6
179,シリーズ,6
279,サイズ,6
78,泡立てる,6
292,続け,6
405,売っ,6
183,強い,6
305,潤い,6
84,気持ち,6
278,肌荒れ,6
323,本体,6
246,ビオレ,5
150,減り,5
451,ケアセラ,5
102,できる,5
157,ポンプ,5
215,思う,5
162,高い,5
352,で,5
24,摩擦,5
99,背中,5
37,残念,5
96,残る,5
328,よく,5
