,word,count
15,泡,290
1,購入,248
7,肌,232
43,いい,223
23,良い,214
2,使っ,205
60,ソープ,148
28,使い,139
58,洗い,137
22,泡立ち,134
6,思い,115
50,使用,98
251,石鹸,98
201,上がり,96
153,ボディ,93
55,いる,85
129,乾燥,84
200,好き,83
38,なり,81
21,良く,81
41,タイプ,80
25,商品,80
137,なっ,77
108,する,76
29,やすい,72
221,良かっ,70
53,あり,64
12,匂い,63
78,安く,63
10,み,63
151,気に入っ,61
102,家族,60
103,子供,59
141,心地,58
89,優しい,55
62,なく,55
399,得,49
4,なる,49
169,ある,49
143,洗っ,46
347,でき,45
142,ボディー,45
316,詰め替え,44
118,ボトル,43
192,使え,43
139,リピート,42
217,助かり,42
76,買い,42
158,愛用,41
266,試し,39
289,買え,38
458,洗え,37
301,安心,36
265,入っ,35
74,安い,34
172,買っ,34
97,好み,34
237,よかっ,33
68,使う,32
244,保,32
199,満足,32
16,出,32
214,リピ,32
185,値段,31
212,風呂,30
64,嬉しい,29
31,効果,29
54,思っ,29
24,敏感,28
37,すぎ,28
94,気に入り,28
429,よく,28
40,容量,28
204,ない,28
320,湿,27
450,定番,27
125,き,26
206,シリーズ,25
122,お気に入り,25
262,切れ,25
145,便利,25
219,ダヴ,25
232,季節,24
350,価格,24
33,洗う,24
328,よい,24
99,添加,23
182,やすく,22
123,プッシュ,22
341,サイズ,22
271,気持ちいい,22
334,パ,22
333,コス,22
496,♪,21
191,問題,21
342,優しく,21
306,使える,21
17,くる,20
556,売っ,20
148,替え,20
177,デザイン,20
275,量,20
540,癒さ,20
166,成分,20
189,もっ,20
666,汗,19
542,我が家,19
152,セット,19
395,あっ,19
718,アウトレット,19
264,に,19
295,大好き,19
299,番,18
701,良,18
190,ちり,18
216,時期,18
81,シャンプー,18
93,爽やか,18
230,苦手,17
147,詰め,17
260,子ども,17
159,液体,17
546,バス,17
179,ポンプ,17
620,箱,17
42,探し,17
605,固形,17
119,大きい,16
96,気持ち,16
63,洗える,16
211,強い,16
170,全身,16
595,見つけ,16
110,あがり,16
186,高い,15
398,すごく,15
602,つき,15
104,一緒,15
765,ネット,15
351,パッケージ,15
901,ラックス,15
116,できる,15
437,顔,15
263,気,14
298,一,14
0,ドラッグストア,14
146,容器,14
416,出来,14
488,刺激,14
339,一番,14
697,違う,14
422,本体,14
587,期待,14
588,ボディウォッシュ,13
554,おり,13
173,製品,13
72,まとめ,13
277,サッパリ,13
193,シンプル,13
39,残念,13
563,わかり,13
307,普通,13
126,出る,13
335,弱い,13
235,ダブ,13
468,ありがたい,12
75,ロハコ,12
494,気分,12
113,汚れ,12
368,続け,12
107,シャワー,12
114,落ち,12
117,おすすめ,12
660,牛乳,12
132,物,12
463,カサ,12
65,し,11
566,無く,11
766,洗顔,11
789,種類,11
882,臭,11
427,甘い,11
448,早く,11
258,大人,11
300,こども,11
324,わ,11
297,ビオレ,11
120,持ち,11
345,しまう,11
160,まとめ買い,11
293,皮膚,11
210,普段,11
410,店頭,11
387,手洗い,10
394,潤い,10
531,メーカー,10
415,助かっ,10
646,色,10
495,近所,10
663,笑,10
424,臭い,10
492,本,10
431,泡立て,10
312,分かり,10
353,ローズ,10
549,ハダカラ,10
112,背中,10
121,強,10
183,ほのか,10
85,られ,10
100,娘,10
165,最近,10
196,身体,10
91,必要,10
793,楽しみ,9
319,始め,9
443,しまい,9
490,くれ,9
243,め,9
657,１,9
414,lohaco,9
500,角質,9
95,ツル,9
174,ロ,9
785,ニベア,9
1082,釜,9
584,暑く,9
311,クリーム,9
407,全員,9
257,思う,9
516,れる,9
138,注文,9
176,限定,9
134,ブランド,9
175,ハコ,9
326,２,9
575,なし,9
203,なら,9
111,個人,9
3,痒く,9
109,残る,9
80,主人,9
338,肌荒れ,9
195,惹か,9
154,タオル,9
467,合っ,9
331,香料,9
188,かわいい,9
365,分,9
313,トラブル,8
157,なめらか,8
530,欲しい,8
571,青,8
9,痒,8
553,スースー,8
302,可愛い,8
366,から,8
305,赤ちゃん,8
762,赤,8
56,多い,8
558,手間,8
309,オススメ,8
164,もらえる,8
577,長持ち,8
70,今後,8
209,アトピー,8
636,機会,8
840,毎年,8
608,対策,8
465,息子,8
720,必需,8
321,洗浄,8
582,いただき,8
412,大変,8
130,冬場,7
669,スーパー,7
373,ピーチ,7
340,小さい,7
615,調子,7
572,ほしい,7
637,お願い,7
1057,素晴らしい,7
367,出し,7
360,ハンド,7
677,におい,7
673,無い,7
578,うれしい,7
675,すべすべ,7
330,まっ,7
592,タイム,7
586,暑い,7
991,上品,7
445,ー,7
349,言う,7
461,為,7
825,イマイチ,7
423,使わ,7
481,最高,7
236,発売,7
238,マイルド,7
241,向け,7
377,透明,7
224,しっとり,7
510,洗い流し,7
256,おく,7
851,素敵,7
525,安定,7
171,減り,7
92,きめ細かく,7
11,清潔,7
560,おまけ,7
163,届け,7
747,バニラ,7
550,シトラス,7
205,しれ,7
746,想像,7
743,サンプル,7
283,つい,7
220,置い,7
386,きめ細かい,7
436,パック,7
861,重い,7
593,悪く,6
73,買う,6
435,悪い,6
466,コレ,6
457,みる,6
425,効い,6
374,お買い得,6
478,キツ,6
589,掃除,6
489,派,6
90,泡立てる,6
504,丁寧,6
403,にくい,6
529,レビュー,6
537,楽しく,6
1004,lux,6
385,入浴,6
381,入れ,6
372,改善,6
1001,洗い上り,6
413,配達,6
207,早い,6
261,喜ん,6
921,✴,6
802,大丈夫,6
779,いき,6
722,女性,6
721,十,6
719,ワン,6
711,比較,6
958,なかっ,6
280,凄く,6
704,ストック,6
