,word,count
51,洗顔,561
14,肌,454
93,洗い,432
5,購入,348
29,使っ,330
12,良い,304
73,上がり,301
35,使い,273
53,いい,265
59,使用,252
44,思い,245
246,泡立ち,217
39,香り,205
9,毛穴,191
49,なり,191
1,いる,179
22,する,179
31,なっ,166
66,なく,161
64,み,151
237,良く,128
52,心地,127
47,でき,126
80,良かっ,118
231,なる,117
13,乾燥,117
272,あり,113
229,つっぱら,108
82,もち,101
2,商品,98
377,料,97
10,汚れ,97
224,やすい,94
79,試し,94
4,ある,88
105,リピート,86
61,タイプ,85
125,使う,84
46,ニキビ,81
100,ネット,80
148,得,79
106,泡立て,73
271,つっぱり,73
27,効果,72
187,出,71
136,安く,71
128,もっ,70
297,洗っ,69
242,よかっ,68
156,顔,68
370,好き,68
58,朝,67
294,ツル,66
94,あがり,65
109,続け,65
131,気に入っ,63
129,ちり,63
289,敏感,63
219,ない,62
303,サンプル,62
192,き,59
74,使え,57
199,落ち,57
519,便利,56
0,リピ,56
130,洗え,55
233,お気に入り,55
165,期待,55
101,泡立てる,53
89,入っ,52
369,よく,52
337,安心,52
55,化粧,52
145,値段,52
517,くる,51
24,思っ,51
50,酵素,50
252,優しい,49
321,買え,49
325,スクラブ,49
412,買っ,46
102,モチ,45
150,家族,45
375,気持ちいい,44
132,モコモコ,43
235,出来,43
298,気に入り,42
92,満足,42
291,刺激,42
23,買い,42
137,愛用,42
95,つっぱる,41
564,できる,41
340,くすみ,41
108,嬉しい,40
56,ケア,39
386,パッケージ,39
98,つき,39
18,安い,39
194,コス,38
195,パ,38
88,に,37
85,メイク,36
315,濃密,36
201,季節,36
306,パウダー,35
510,子供,35
211,よい,34
20,本,34
245,娘,33
300,黒ずみ,33
87,気,33
155,すごく,32
96,鼻,32
657,ダヴ,31
470,助かり,30
299,小鼻,30
124,量,30
799,サッパリ,30
481,優しく,29
153,こ,29
416,入り,29
319,シリーズ,28
226,匂い,28
450,使える,27
158,トーン,26
159,明るく,26
626,気持ち,26
174,立て,26
110,物,26
459,始め,25
115,好み,25
371,価格,25
262,角,24
263,栓,24
411,フォーム,24
395,増量,24
550,切れ,24
650,石鹸,24
543,♪,24
535,クレンジング,24
253,普段,23
21,まとめ,23
324,突っ張ら,23
164,くれ,23
19,ドラッグストア,23
362,保,23
71,詰め替え,23
288,弾力,23
149,セット,23
567,洗う,23
6,手間,22
307,取れ,22
396,落とし,22
750,潤い,22
313,少量,22
327,あっ,21
72,風呂,21
48,やすく,21
90,サイズ,21
97,ざら,21
161,調子,21
143,わかり,21
314,作れ,21
814,時短,21
210,楽しみ,20
605,１,20
654,香料,20
433,すぎ,20
45,マスク,20
404,レビュー,19
91,旅行,19
120,すべすべ,19
736,ジェル,19
710,普通,19
640,キャンペーン,18
376,クレイ,18
30,なめらか,18
428,きめ細かい,18
639,ロハコ,18
180,面倒,18
582,簡単,18
339,突っ張る,17
139,なくなり,17
33,違う,17
629,綺麗,17
243,きれい,17
77,色,17
228,なし,17
232,おすすめ,17
577,高い,17
764,クリーミー,16
387,濃厚,16
514,番,16
197,洗い流し,16
590,継続,16
454,無く,16
408,良,16
330,パック,16
285,みよ,16
430,クリーム,16
358,気持ちよく,16
312,なら,16
366,洗浄,16
729,デザイン,15
17,買う,15
114,個人,15
607,細かい,15
351,残念,15
705,角質,15
393,られ,15
643,湿,15
274,分,15
65,肌荒れ,15
134,ビオレ,15
177,為,15
922,シンプル,15
425,最近,15
8,いただき,15
267,から,14
305,メーカー,14
732,ツッパリ,14
345,問題,14
342,くれる,14
323,重宝,14
257,回分,14
198,白,14
903,ー,14
392,変化,14
641,ありがたい,14
413,少ない,14
549,不要,14
446,青,14
310,つけ,13
422,一緒,13
144,仕上がり,13
147,細かく,13
167,最初,13
967,置い,13
209,かわいい,13
434,手頃,13
28,探し,13
163,改善,13
589,いき,13
157,ワン,13
36,続ける,13
405,きめ細かく,13
196,大変,13
785,合っ,13
37,にくく,13
113,時期,13
537,美容,13
200,種類,13
280,使わ,13
556,弱い,12
284,比べ,12
266,わ,12
597,２,12
551,忙しい,12
447,ピンク,12
596,ポイント,12
858,洗い上り,12
258,包装,12
432,強,12
188,しまい,12
57,浸透,12
54,つる,12
745,気持ち良い,12
616,立ち,12
409,必要,12
244,強い,12
241,柔らかく,12
75,一番,12
417,悪く,12
250,ソープ,12
420,しまう,12
328,負担,12
255,出る,12
779,洗える,11
538,液,11
753,出し,11
292,少なく,11
533,感動,11
490,強く,11
744,対策,11
733,ロ,11
388,♡,11
293,試供,11
107,ポンプ,11
183,見つけ,11
1043,息子,11
1083,オルビス,11
86,落ちる,11
127,早い,11
133,安かっ,11
879,れる,11
175,大丈夫,11
987,合う,11
270,すぎる,11
1061,製品,11
892,皮膚,11
191,で,11
632,周り,10
193,プッシュ,10
819,定番,10
466,容量,10
511,思春,10
756,利用,10
118,ダブ,10
725,コスパ,10
336,なかっ,10
586,言う,10
559,成分,10
240,キメ,10
