,word,count
0,泡,680
19,購入,641
3,ソープ,463
26,良い,416
2,ハンド,405
10,いい,356
32,使っ,301
20,思い,273
192,いる,263
124,手洗い,231
56,なり,228
48,詰め替え,219
169,使い,207
13,使用,200
16,洗い,184
160,出,174
29,なっ,164
271,音,163
125,でき,160
67,コロナ,160
100,デザイン,159
245,良かっ,150
37,荒れ,149
1,タイプ,148
84,助かり,142
6,商品,142
156,する,141
253,キレイキレイ,136
38,やすい,135
99,ボトル,134
40,好き,134
525,量,128
21,安心,127
15,良く,126
144,あり,126
116,洗面,121
22,ある,119
269,シンプル,118
257,ディスペンサー,118
79,容量,116
71,買え,110
182,洗う,109
58,替え,109
51,なく,106
14,み,105
35,肌,102
25,泡立ち,102
46,なる,101
304,大きい,101
78,気に入っ,100
250,き,92
94,洗っ,92
36,優しい,90
123,キッチン,90
256,オート,89
57,詰め,89
9,切れ,88
59,便利,88
17,上がり,87
24,匂い,86
465,本体,85
203,子供,84
44,くる,80
132,満足,80
294,出る,80
224,できる,76
231,思っ,76
281,買っ,74
72,よかっ,74
235,買い,71
193,心地,71
39,嬉しい,70
227,ポンプ,70
266,ミューズ,68
213,得,67
286,気に入り,64
87,使う,63
218,回数,63
388,使え,62
219,増え,62
109,可愛い,61
198,洗え,61
28,ダヴ,60
369,ない,59
287,サイズ,59
856,価格,57
30,癒さ,56
126,置い,55
134,よく,55
83,安く,55
177,リピート,55
564,使える,53
259,電池,53
186,値段,52
90,かわいい,51
855,禍,50
251,よい,50
115,容器,48
375,物,48
85,なら,47
161,乾燥,46
249,コンパクト,46
184,多い,46
316,時期,46
113,お気に入り,45
353,しまい,45
5,探し,45
358,売っ,45
107,メーカー,44
394,ストック,43
649,出来,43
97,ビオレ,43
181,入っ,43
517,家族,42
398,おり,41
290,色,41
440,見つけ,39
194,見た目,39
242,やすく,39
561,点滅,39
532,愛用,38
152,に,38
92,汚れ,37
402,液体,37
424,高い,36
275,問題,36
82,ありがたい,36
485,ピーチ,36
650,液,36
583,入れ,34
200,あっ,33
547,他社,32
711,消毒,32
331,え,32
8,レビュー,32
397,在庫,32
293,自動,32
391,リピ,32
562,専用,31
285,優しく,31
429,店頭,31
364,気分,31
392,詰,31
93,残念,31
528,電源,30
204,すごく,30
150,安い,30
299,売り切れ,30
737,品薄,30
305,品切れ,30
722,ドラッグストア,30
615,場所,30
516,試し,29
321,製品,29
624,石鹸,29
76,残る,29
350,香料,29
211,気持ち,29
119,子ども,29
495,期待,29
500,必需,28
481,洗える,28
449,買う,28
380,大変,28
706,普通,28
131,普段,28
319,大好き,28
612,発売,28
334,しまう,28
68,影響,27
101,♪,27
31,れる,27
180,気,27
434,サラヤ,27
210,プッシュ,27
273,慣れ,27
148,パ,26
179,にくい,26
431,大き,26
303,我が家,26
324,くれ,26
552,セット,26
295,センサー,26
292,最近,26
463,キャンペーン,25
246,潤い,25
315,入ら,25
298,早く,25
263,入り,25
205,あがり,25
69,近所,25
108,好み,25
146,すぎ,25
147,コス,25
267,ノータッチ,24
173,保,24
793,通常,24
670,大きく,24
170,スーパー,24
377,見かけ,24
784,ロ,24
272,最初,24
130,頻繁,24
785,ハコ,24
158,ボディ,23
233,少ない,23
248,楽しく,23
643,反応,23
81,買える,23
541,欲しかっ,23
330,増,23
566,喜ん,23
43,で,23
183,機会,23
393,替,23
141,爽やか,22
478,出来る,22
675,か,22
505,清潔,22
255,欲しい,22
885,ラベンダー,22
162,強く,22
112,柄,22
64,くれる,22
639,衛生,21
760,無い,21
494,違う,21
308,変え,21
347,白,21
501,しよ,21
75,おしゃれ,21
401,ロハコ,21
531,壊れ,21
738,販売,21
1171,リリー,20
765,困っ,20
428,うれしい,20
175,肉,20
476,重宝,20
569,必要,20
96,パッケージ,20
575,わかり,20
460,クリーミー,20
484,ダブ,20
111,花,20
743,オシャレ,20
574,耐久,19
425,大きめ,19
407,良,19
297,まとめ,19
919,対策,19
648,簡単,19
563,接触,19
403,少なく,19
515,補充,19
439,ネット,19
70,なかっ,19
341,素敵,19
830,続け,19
54,落ち,19
718,薬用,18
539,確認,18
757,殺菌,18
226,分,18
62,おい,18
651,手間,18
472,状態,18
942,ランプ,18
694,利用,18
629,られ,18
884,効果,17
66,おすすめ,17
493,料理,17
121,一緒,17
361,グレープフルーツ,17
466,ご時世,17
4,お買い得,17
548,カートリッジ,17
590,から,17
780,シリーズ,17
764,種類,17
733,コスト,16
11,番,16
584,られる,16
1095,洗剤,16
396,注文,16
987,心配,16
139,きめ,16
336,待っ,16
680,無く,16
1076,入荷,16
122,魚,16
164,部分,15
1045,１,15
1000,モコモコ,15
735,ml,15
212,ピンク,15
776,残り,15
444,し,15
911,きめ細かい,15
667,びっくり,15
332,消費,15
619,残,15
354,入手,15
441,lohaco,15
47,助かっ,15
174,湿,15
413,菌,15
74,可愛く,15
455,定番,15
105,中身,15
414,頻度,15
576,出し,15
804,置く,15
824,洗浄,15
695,トイレ,15
264,にくく,15
456,もち,14
673,動作,14
778,比べ,14
720,手頃,14
665,かざす,14
753,おき,14
503,こ,14
616,取ら,14
427,キレイ,14
878,為,14
537,本,14
302,回分,14
817,ん,13
260,入れる,13
206,クリーム,13
461,がち,13
412,除,13
359,高め,13
420,ジェルタイプ,13
381,無くなっ,13
386,自然,13
989,いただき,13
623,届い,13
