,word,count
5,落ち,321
21,肌,284
25,使っ,209
12,購入,201
35,使い,191
22,良い,161
32,洗顔,138
104,香り,137
15,いい,132
52,クレンジング,128
31,使用,127
41,オイル,123
40,思い,118
61,いる,116
114,落とし,113
77,する,113
91,洗い,109
20,落ちる,106
83,やすい,88
92,上がり,87
63,商品,85
13,み,82
225,あり,78
74,なっ,77
53,なく,74
199,良く,71
51,なり,66
37,良かっ,65
19,マスカラ,65
120,リピート,62
267,でき,61
14,乾燥,58
128,化粧,58
127,得,58
180,汚れ,56
71,毛穴,56
190,タイプ,55
343,好き,53
36,心地,52
11,気に入っ,51
330,安く,51
9,使え,51
117,泡,48
193,試し,46
101,ある,45
142,嬉しい,44
46,リピ,44
54,ない,44
44,綺麗,43
49,愛用,43
140,値段,43
237,コス,41
238,パ,41
278,シート,41
112,入っ,40
48,アイメイク,40
124,便利,38
200,優しい,37
182,満足,37
363,助かり,36
256,よかっ,36
100,敏感,35
45,落とせ,35
38,安い,35
331,買え,34
107,容量,33
242,なる,33
336,オイルクレンジング,33
86,顔,32
8,安心,32
400,続け,31
47,買い,31
194,買っ,31
228,ボトル,30
288,クリーム,30
137,使う,29
75,風呂,28
148,負担,27
290,マッサージ,27
214,つっぱり,26
210,よく,26
113,本,26
241,つっぱら,26
216,お気に入り,25
80,ダブル,25
561,液,25
301,洗っ,25
248,価格,24
164,に,24
276,ポイント,24
178,優しく,24
421,キャンペーン,24
187,よい,23
4,簡単,23
136,使える,23
23,思っ,23
1,コットン,23
70,潤い,23
692,匂い,22
574,朝,22
162,できる,22
489,落とせる,22
96,つき,21
147,クレンジングオイル,21
297,効果,21
163,気,20
440,好み,20
262,癒さ,19
134,セット,19
305,問題,19
24,普段,19
357,肌荒れ,19
281,やすく,19
332,きれい,19
595,ジェル,18
600,取れ,18
16,ミルク,18
231,詰め替え,18
537,♪,18
154,き,18
458,w,18
43,濃い,18
78,濡れ,18
99,最近,18
81,不要,18
102,刺激,17
707,入り,17
6,疲れ,17
26,軽い,17
339,昔,16
109,水分,16
103,気に入り,16
206,おすすめ,16
257,シリーズ,16
321,パッケージ,16
119,マツエク,16
598,落とす,16
205,可愛い,15
255,量,15
106,大判,15
192,出,15
215,洗い流し,15
189,にくい,15
152,くれる,14
17,ウォーター,14
156,サラッ,14
166,ドラッグストア,14
246,すぎ,14
529,少ない,14
18,プルーフ,14
551,久しぶり,14
548,ロハコ,14
233,なら,14
541,レビュー,14
319,サイズ,14
408,くれ,14
508,dhc,14
342,あがり,13
277,個人,13
621,大丈夫,13
367,期待,13
369,残っ,13
371,重宝,13
376,ニキビ,13
209,馴染み,13
0,手軽,13
50,柔らかく,13
93,サッパリ,13
129,め,13
670,良,12
98,感触,12
846,ツッパリ,12
141,買える,12
465,乳化,12
188,普通,12
186,出来る,12
56,物,12
857,アテニア,12
217,気持ちいい,12
583,あっ,12
177,無く,12
57,探し,12
175,出来,12
235,必要,12
232,なし,12
714,１,12
132,しれ,12
170,番,12
67,保,11
204,デザイン,11
626,代わり,11
265,スルッ,11
261,限定,11
220,せる,11
252,買う,11
135,ファンケル,11
602,キレイ,11
88,馴染ま,11
491,小鼻,11
599,なじみ,11
547,替え,11
34,リムーバー,11
572,い,11
161,つけ,11
282,大きい,11
654,長年,11
564,帰っ,11
304,流し,11
310,られ,11
869,イン,11
313,いう,11
176,トラブル,11
704,テクスチャー,11
718,最高,10
269,残る,10
549,助かっ,10
490,いく,10
542,帰宅,10
82,すごく,10
708,違う,10
745,料,10
28,日焼け,10
380,調子,10
596,伸び,10
562,大きく,10
29,止め,10
229,無い,10
738,モチ,10
781,娘,10
153,ありがたい,10
430,ヌル,10
207,角,10
201,洗え,10
771,状,10
184,つっぱる,10
208,栓,10
181,洗浄,10
436,やさしい,10
649,面倒,10
448,柑橘,9
354,拭き取り,9
479,時期,9
627,惹か,9
202,かわいい,9
434,ニベア,9
69,成分,9
72,黒ずみ,9
105,香料,9
410,残念,9
414,少量,9
524,ナチュラル,9
66,美容,9
471,含ま,9
94,鼻,9
298,突っ張ら,9
723,お買い得,9
511,製品,9
953,ビオレ,9
221,ポンプ,9
234,大好き,9
395,くる,9
384,リキッド,9
396,最初,9
485,ケア,9
644,思う,9
224,しまう,9
671,楽しみ,9
389,優し,9
664,おい,9
429,たっぷり,8
85,プッシュ,8
286,マスク,8
168,lohaco,8
