,word,count
9,購入,107
37,使っ,73
13,髪,68
6,いい,62
42,シャンプー,58
16,良い,46
74,なり,41
31,なっ,39
0,容量,38
30,いる,37
26,思い,36
32,商品,34
73,助かり,32
3,使い,31
90,する,29
102,家族,29
168,良かっ,27
103,使う,26
8,安く,26
46,好き,25
20,使用,24
53,得,23
82,コンディショナー,22
131,気に入っ,22
5,泡立ち,21
78,ある,19
22,サイズ,19
36,メリット,19
88,なる,19
81,さら,18
55,リピート,18
198,良く,17
23,あり,17
21,詰め替え,17
7,匂い,17
48,洗い,15
38,み,15
225,でき,15
33,ラックス,15
11,満足,14
63,セット,14
187,買っ,14
205,指,14
44,頭皮,14
271,通り,13
214,ボトル,13
126,地肌,13
119,き,13
96,上がり,13
167,値段,13
306,買え,13
157,トリートメント,12
183,なく,12
193,詰め,12
124,よく,12
1,安い,12
118,パンテーン,12
43,リンス,12
95,すぎ,11
137,重い,11
132,サラ,11
140,試し,11
47,お気に入り,11
10,出来,11
80,髪の毛,11
29,あっ,11
54,よかっ,11
194,替え,11
4,心地,10
98,シリーズ,10
291,一緒,10
49,やすい,10
76,質,10
14,愛用,9
138,合っ,9
276,入っ,9
113,優しい,9
288,買い,9
293,爽やか,9
173,お買い得,9
110,助かっ,9
65,仕上がり,9
134,注文,9
2,好み,8
61,嬉しい,8
203,思っ,8
85,乾かし,8
34,安心,8
106,子供,8
315,便利,8
197,ない,8
28,番,8
221,物,7
108,すごく,7
116,入り,7
115,に,7
101,気に入り,7
100,出,7
376,うねり,7
25,買う,7
139,まとまる,7
142,配達,7
69,ドラッグストア,7
295,楽しみ,7
58,つい,7
213,本体,7
135,届け,6
218,大きい,6
143,もらえる,6
114,気,6
18,コス,6
195,lux,6
158,タイプ,6
305,アウトレット,6
27,一,6
97,さらっ,6
99,艶,6
274,手頃,6
19,パ,6
241,肌,6
290,登場,6
289,新しい,6
320,うれしい,6
314,使える,5
111,ありがたい,5
12,いち,5
112,パッケージ,5
149,パック,5
250,lohaco,5
155,しまう,5
67,早い,5
64,価格,5
62,♪,5
294,デザイン,5
161,わかり,5
297,くれ,5
150,玄関,5
356,多い,5
92,まとまり,5
15,ロハコ,5
107,特大,5
233,しまい,5
231,期待,5
17,普段,5
239,ドライヤー,5
84,シリコン,5
222,時短,5
94,甘,5
133,重たい,5
272,滑らか,4
169,パサ,4
302,スマート,4
398,増量,4
180,久しぶり,4
237,効果,4
303,ホルダー,4
191,安定,4
212,容器,4
224,最近,4
230,ケア,4
347,フルーティ,4
248,なし,4
227,量,4
312,ブラシ,4
329,少ない,4
281,気持ちいい,4
232,いただき,4
165,毛,4
51,場所,4
130,なら,4
426,キャンペーン,4
68,買わ,4
156,娘,4
56,持っ,4
93,リピ,4
162,やすく,4
148,無く,4
420,しっとり,4
35,使え,4
109,近所,4
373,湿,3
117,長年,3
275,買い物,3
235,もらえ,3
273,得用,3
89,仕上げ,3
358,甘い,3
361,最高,3
363,続け,3
261,早く,3
377,始め,3
258,気分,3
260,ゴワゴワ,3
372,保,3
365,セール,3
255,泡,3
254,知り,3
354,普通,3
370,問題,3
105,強,3
247,大き,3
245,変え,3
166,乾燥,3
282,リンスイン,3
279,見つけ,3
308,洗髪,3
328,小さい,3
327,おり,3
333,安かっ,3
324,まとめ,3
322,残念,3
318,届く,3
317,手間,3
339,つもり,3
45,痒く,3
310,届い,3
341,すみ,3
342,っ,3
280,猛暑,3
301,面倒,3
346,日々,3
57,ゴミ,3
296,汗,3
59,すれ,3
71,欲しい,3
72,買える,3
285,かわいい,3
350,追加,3
351,洗浄,3
120,コロナ,3
378,定番,3
91,相性,3
200,探し,3
406,我が家,3
385,つき,3
208,風呂,3
207,可愛く,3
206,どおり,3
202,乾かす,3
201,テクスチャー,3
407,られ,3
152,くせ毛,3
388,一番,3
154,オススメ,3
215,可愛い,3
159,みよ,3
189,機会,3
188,強く,3
160,イマイチ,3
391,かゆみ,3
405,ミニオン,3
404,製品,3
176,なくなっ,3
175,癒さ,3
210,手入れ,3
330,ストレス,3
217,朝,3
226,帰る,3
141,結果,3
223,洗え,3
415,薫り,3
383,新しく,3
228,全員,3
395,状態,2
394,スーパー,2
393,ポンプ,2
392,しなやか,2
432,長続き,2
366,昔,2
343,コラボ,2
416,間違い,2
431,ストック,2
375,いっ,2
344,におい,2
345,５,2
374,入れ,2
340,中身,2
434,ほしく,2
396,男の子,2
335,知,2
436,癖,2
401,齢,2
400,加,2
332,まとめ買い,2
334,複数,2
399,元気,2
417,流し,2
414,無料,2
336,ら,2
381,代,2
337,数種類,2
397,なくなり,2
338,冷,2
435,酷暑,2
390,トライアル,2
430,苦手,2
389,おまけ,2
357,きしむ,2
424,ブロー,2
368,息子,2
423,お願い,2
422,定期,2
355,大変,2
367,ストレート,2
359,残り少なく,2
411,外れ,2
360,夜,2
362,思う,2
384,きしみ,2
409,弱く,2
410,個人,2
364,毎回,2
369,心地よい,2
425,レビュー,2
408,振り,2
352,落ちる,2
386,みる,2
403,くれる,2
418,プレゼント,2
387,年齢,2
412,ジム,2
382,いたし,2
349,替,2
348,詰,2
427,ネット,2
371,見かけ,2
413,送料,2
428,花王,2
429,トク,2
419,荷物,2
219,大量,2
331,済む,2
181,大丈夫,2
146,こ,2
147,ツヤ,2
151,れる,2
153,っ子,2
163,売っ,2
164,ペッタリ,2
174,成分,2
177,困っ,2
178,配送,2
179,キツ,2
182,可,2
220,とり,2
184,不可,2
185,正直,2
186,ボタニカル,2
190,ち髪,2
192,洗い流し,2
196,気にいっ,2
199,cm,2
204,おすすめ,2
326,たすかる,2
211,簡単,2
145,残り,2
144,安価,2
136,ブランド,2
129,ベタ,2
24,今後,2
40,合,2
41,わ,2
50,保管,2
52,取り,2
60,キャップ,2
66,消費,2
70,売り切れ,2
