,word,count
90,購入,711
37,シャンプー,703
25,髪,654
43,いい,557
38,使っ,542
1,良い,481
53,思い,431
46,使い,409
13,なり,390
72,み,297
67,なっ,288
36,いる,282
98,使用,278
208,洗い,256
85,する,252
3,良く,246
15,好き,244
64,良かっ,214
2,泡立ち,211
22,匂い,201
136,商品,182
83,コンディショナー,171
209,上がり,166
44,トリートメント,165
30,なる,155
287,気に入っ,153
222,試し,153
101,あり,150
144,頭皮,149
123,ボトル,145
47,やすい,131
180,まとまり,130
202,なく,128
238,ある,125
116,でき,124
290,使う,124
258,リピート,122
147,シリーズ,121
71,心地,120
188,続け,119
190,サラ,119
8,髪の毛,119
89,安く,116
6,毛,112
58,仕上がり,107
129,セット,107
191,効果,106
342,通り,105
261,ない,103
99,詰め替え,102
345,家族,100
385,出,99
313,子供,98
122,得,98
302,泡,98
56,助かり,97
33,満足,97
73,買い,94
84,よかっ,94
161,よく,94
5,うねり,93
130,買っ,92
341,指,92
168,値段,91
186,一緒,88
128,期待,86
187,き,82
120,タイプ,81
93,愛用,81
70,好み,80
55,買え,79
312,使える,79
119,思っ,78
118,嬉しい,77
279,に,77
9,落ち,77
149,お気に入り,75
26,質,73
228,すぎ,73
408,乾かし,72
126,気に入り,72
28,洗っ,67
115,すごく,65
78,カラー,65
100,サイズ,65
68,容量,65
34,爽やか,64
293,優しい,64
257,ヘア,64
31,ドライヤー,64
220,さら,64
88,便利,63
50,量,63
280,入っ,63
648,本体,62
23,パッケージ,61
223,地肌,61
283,リピ,60
139,使え,59
688,娘,58
264,色,57
107,あっ,57
69,安い,54
206,楽しみ,53
246,ケア,53
285,パサ,53
121,価格,52
19,甘い,51
733,キシ,50
12,やすく,50
286,つき,50
143,リンス,49
165,乾燥,49
390,られ,49
278,気,49
204,時期,48
215,シリコン,48
151,肌,48
75,ダメージ,48
260,よい,47
960,アウトレット,47
774,替え,47
81,まとまる,47
367,あがり,45
267,本,44
773,詰め,44
641,ソープ,44
35,探し,43
295,癒さ,43
91,出来,43
259,高い,42
203,梅雨,42
438,キャンペーン,42
359,くせ毛,42
524,しまい,41
62,始め,41
372,くれ,41
553,ツヤ,40
0,可愛い,40
57,時短,40
63,わかり,40
138,安心,40
1019,物,39
232,なら,38
160,気持ち,38
247,できる,38
405,艶,38
108,風呂,37
24,ツル,37
410,広がり,37
490,子ども,37
627,注文,37
952,かわいい,36
211,癖,36
1026,洗え,35
744,季節,35
244,しまう,34
74,♪,34
127,残念,34
473,ドラッグストア,34
576,オイル,34
918,容器,33
95,普段,33
239,個人,32
193,普通,32
314,洗う,32
275,実感,32
32,乾かす,32
437,レビュー,31
594,苦手,31
346,違う,31
276,改善,31
179,にくい,30
629,合っ,30
277,惹か,30
40,れる,30
61,強い,30
1236,強く,30
640,ボディ,30
106,番,29
516,問題,29
901,デザイン,29
213,多い,29
336,大好き,29
224,つい,29
10,着い,29
762,痒,29
486,甘,29
839,見つけ,29
254,みよ,28
