,word,count
7,髪,233
17,良い,122
9,いい,118
28,なり,116
71,オイル,111
4,購入,87
43,使っ,86
113,使い,78
22,使用,74
52,思い,74
86,毛,68
14,する,62
111,まとまり,52
10,ドライヤー,52
29,匂い,51
78,つけ,51
145,いる,45
90,なっ,42
58,なる,40
102,ヘア,39
21,み,38
85,好き,37
321,良かっ,37
55,使う,33
238,トリートメント,33
201,出,33
74,良く,32
250,試し,32
104,ある,31
47,あり,31
210,やすい,30
105,量,30
33,商品,29
42,すぎ,29
81,ベタつか,28
38,髪の毛,28
68,つき,27
167,効果,26
264,タイプ,25
143,ツヤ,24
402,パサ,23
62,思っ,21
227,乾かす,21
430,付け,21
23,タオル,20
308,気に入っ,20
267,なく,20
19,シャンプー,20
24,ドライ,20
286,質,19
244,翌朝,19
179,心地,19
12,朝,19
25,プッシュ,18
559,乾燥,18
312,艶,18
217,なら,18
149,洗い流さ,17
123,嬉しい,17
63,クリーム,17
183,満足,17
207,買っ,17
230,リピート,16
262,入っ,16
35,き,16
212,でき,16
266,ミルク,16
56,ベタ,16
87,買い,16
144,仕上がり,15
182,通り,15
193,期待,15
83,容器,15
44,ない,14
82,気に入り,14
390,癖,14
204,使える,14
417,使え,14
568,スプレー,14
248,よく,14
27,サラ,14
275,リピ,14
601,ボトル,14
26,乾かし,14
67,まとまっ,14
200,にくい,14
39,美容,13
124,さら,13
268,サラッ,13
401,シリーズ,13
394,うねり,13
346,さらっ,13
360,アイロン,13
155,しれ,13
199,出し,13
187,やすく,13
400,娘,12
337,すごく,12
269,馴染ま,12
194,続け,12
181,指,12
127,か,12
15,まとまる,12
75,くれ,12
476,よかっ,12
46,好み,12
88,癒さ,12
36,しまい,12
101,ロング,11
184,重く,11
252,お気に入り,11
281,あっ,11
225,セット,11
18,値段,11
294,便利,11
116,甘い,11
137,傷ん,11
270,せる,11
499,本,11
386,濡れ,10
387,つける,10
77,から,10
153,楽しみ,10
192,時期,10
353,愛用,10
501,夜,10
215,がち,10
305,まとめ,10
94,少ない,9
49,パ,9
156,強い,9
257,落ち着き,9
437,スタイリング,9
106,多い,9
40,ツル,9
136,カラー,9
371,よい,9
57,つい,9
41,強,9
324,め,9
209,少量,9
110,乾い,9
276,ケア,9
334,本体,8
11,付ける,8
505,キツ,8
73,伸び,8
263,最近,8
261,に,8
172,普段,8
467,サンプル,8
503,詰め替え,8
295,普通,8
37,高い,8
438,滴,8
213,ダメージ,8
434,風呂,8
233,子供,8
399,られ,8
48,コス,8
236,くれる,7
279,持っ,7
336,得,7
174,いく,7
185,いう,7
60,ポンプ,7
51,悪く,7
332,家族,7
331,全体,7
327,着い,7
325,潤い,7
595,軽い,7
197,買え,7
103,書い,7
260,気,7
163,オレンジ,7
138,手触り,7
135,パーマ,7
93,できる,7
151,個人,7
373,べたつか,7
451,わ,7
158,ベタつく,7
159,嫌,7
157,苦手,7
89,柔らかく,7
107,べたつき,7
359,uv,7
97,旅行,7
358,季節,7
436,ボリューム,6
479,大好き,6
278,サイズ,6
426,れる,6
228,マシ,6
350,爽やか,6
298,伸ばし,6
582,抑え,6
297,少なく,6
224,出る,6
130,ロハコ,6
273,甘,6
290,洗わ,6
223,強く,6
581,翌日,6
296,院,6
80,づらい,6
466,ストレート,6
196,安く,6
351,起き,6
169,メーカー,6
100,重宝,6
504,ローズ,6
164,安心,6
368,手軽,6
530,パッケージ,6
495,アウトレット,6
690,上がり,6
462,届い,6
6,しまう,6
549,優しい,6
146,良,6
494,安い,6
203,肌,6
627,くせ毛,6
96,ハンド,6
461,見つけ,5
662,濃厚,5
703,ブロー,5
447,手放せ,5
425,～,5
277,最高,5
349,最後,5
474,一緒,5
307,取り,5
356,程度,5
510,価格,5
326,落ち,5
534,程よい,5
380,見た目,5
388,ベタつき,5
544,開け,5
484,しっとり,5
565,コンディショナー,5
578,ほのか,5
306,探し,5
301,思う,5
416,注文,5
418,寝癖,5
419,過ぎ,5
287,テクスチャー,5
424,バラ,5
573,考え,5
411,残念,5
376,長持ち,5
122,成分,5
95,ありがたい,5
