,word,count
29,ルイボスティー,3692
154,カフェ,2377
160,好き,1503
177,ティー,1462
158,紅茶,1392
36,お茶,1107
428,゚,1100
322,カフェイン,960
827,ルイホ,940
146,✨,886
828,スティー,886
299,ある,844
800,　,821
610,いる,793
28,茶,668
528,する,614
52,ー,598
309,なっ,595
264,美味しい,565
139,香り,546
0,今日,546
197,飲ん,538
582,タイム,516
784,ケーキ,516
161,繋がり,502
247,♡,483
274,食べ,464
584,暮らし,462
338,飲み,457
708,ランチ,455
750,cafe,448
120,生活,432
78,こ,425
327,☕,424
315,巡り,424
43,☺,422
168,ハーブ,420
140,いい,416
199,み,413
194,味,385
223,なる,379
15,笑,374
879,葉,369
728,あり,365
200,ください,357
1376,スイーツ,355
463,ごはん,349
123,tea,345
462,朝,341
671,限定,340
187,なり,337
306,オーガニック,335
10,大好き,332
424,ハ,320
895,健康,309
137,き,309
612,コーヒー,272
175,ルイ,268
648,♪,267
1740,❤,261
176,ボス,261
1071,生葉,260
107,美容,256
2371,あっ,255
1627,購入,246
155,グルメ,239
19,最近,239
280,焼き,238
17,おり,237
672,種類,225
60,使用,224
167,思い,222
1746,良い,221
581,リラックス,216
510,効果,215
645,入っ,214
830,桜,211
1655,広島,205
580,発酵,205
1591,買っ,205
829,季節,204
278,美味しかっ,203
973,夜,200
842,食,200
192,レモン,199
1624,商品,198
382,入れ,197
105,東京,197
1362,タルト,197
108,フ,196
518,良く,196
673,ドリンク,194
248,お気に入り,194
3,本日,194
694,チョコレート,191
290,有機,191
390,行っ,185
524,ミネラル,184
243,癒し,183
378,入り,180
336,フルーツ,180
1479,写真,175
95,専門,175
174,やすい,174
873,゙す,173
1571,仕事,173
532,酸化,172
626,クリーム,172
1717,おいしい,171
410,れる,170
1549,札幌,170
357,出し,170
1076,rooibostiger,168
1062,なく,167
144,試し,166
443,ママ,165
330,飲む,165
191,おすすめ,163
682,思っ,162
849,くれ,162
533,作用,162
2568,すぎ,161
1087,！,161
1749,行き,161
57,オーカ,160
239,アイス,160
2305,大阪,159
647,ない,158
1057,日本,156
188,嬉しい,156
415,色,155
1034,オススメ,154
295,南アフリカ,154
196,美味しく,154
1594,☀,153
487,素敵,152
293,出,152
578,活,151
3483,⠀,150
589,teatime,149
92,く,148
1195,しまう,148
670,期間,148
1183,シ,148
1077,fan,147
3811,⁣,147
1078,kouma,147
1075,monipla,147
79,予約,146
1072,オーガニックルイボスティー,145
153,～,145
637,妊娠,145
1088,昨日,144
4101,かき氷,144
3440,読書,143
1145,楽しみ,143
2425,苺,143
55,駅,142
465,菓子,142
141,店内,142
856,繋,141
857,゙りたい,141
125,メニュー,141
2156,コストコ,139
54,⭐,138
1336,営業,138
414,緑茶,137
2368,ラーメン,136
1525,野菜,136
62,ホワイトニンク,136
1800,パン,135
477,料理,135
1228,ン,133
1058,製法,132
2710,甘,131
182,使っ,130
1127,ス,130
674,美味し,129
548,ダイエット,128
636,ホット,128
302,いただき,128
2058,作り,128
1201,下さい,127
1909,楽天,127
2756,プリン,127
521,改善,126
1044,女子,126
665,予定,125
2326,前橋,125
954,ふ,125
2440,症,125
1700,白,125
68,¥,125
2544,食べる,124
618,た,124
974,言わ,124
1396,❣,124
1476,アフタヌーン,124
531,酵素,123
1657,ク,123
641,身体,123
480,美,123
3165,氷,122
729,可愛い,122
1605,フレーバー,122
653,紹介,120
678,やっ,120
1070,タイガールイボスティー,120
129,店舗,119
1688,販売,118
797,気分,118
611,hfbelx,118
617,い,118
434,ヒ,118
594,静岡,118
33,飲め,118
1425,られ,118
334,でき,117
365,ご飯,117
148,北,116
815,水分,116
579,腸,116
114,コロナ,116
115,対策,116
840,作っ,115
699,名古屋,115
1732,お願い,115
1011,グラス,113
2310,ストアー,113
598,‼,112
1407,ケア,112
716,自家製,111
393,セット,110
70,インスタ,110
1207,ハーフ,109
1018,思う,109
816,補給,109
1023,バッグ,108
1807,麺,108
126,豊富,108
5262,アトピー,108
3180,多い,108
1578,お家,107
22,飲み物,107
34,麦茶,107
362,明日,107
2143,世界,107
3375,ピスタチオ,107
887,日常,107
1152,お菓子,107
2503,過ごし,106
2719,抹茶,106
2270,rocca,105
658,記録,105
554,量,105
2505,移植,104
545,糖,104
1530,優しい,104
4242,花粉,104
1878,ヨーグルト,103
3656,高級,102
2029,大切,102
361,物,101
1699,rooibos,101
49,テ,101
2527,つけ,100
1610,横浜,100
795,ミルク,100
1126,ちゃう,100
3982,蕎麦,100
1172,米,99
2713,かわいい,99
848,考え,99
1882,サンド,99
3038,シフォン,98
2176,ら,98
245,くれる,98
2834,ニック,97
152,f,97
387,寝る,97
1157,来店,97
489,感謝,97
3240,✔,96
1603,サラダ,96
201,楽しむ,96
1827,使い,96
452,スコーン,96
183,免疫,96
1095,ちゃっ,95
304,organic,95
1109,甘い,95
633,妊婦,95
97,表参道,94
1672,ブレンド,94
1492,pic,93
726,杯,93
906,含ま,93
1790,得,92
30,人気,92
437,たま,92
2063,一緒,92
669,godiva,92
2028,プレゼント,91
1550,北海道,91
2499,できる,90
2323,スタンド,90
1144,来,90
398,言う,90
1597,パンケーキ,90
1188,かん,90
1160,す,90
326,飲める,90
2282,利用,90
1397,１,89
1250,ストレス,89
1768,オシャレ,87
1567,最高,87
664,産,87
1729,頂き,86
3488,７,86
1598,カレー,86
739,スープ,86
431,ホ,86
2781,今朝,85
266,甘味,85
1106,ト,85
1295,‍♀,85
1733,致し,85
1067,心,84
1618,丁寧,84
2287,槻,84
735,し,83
999,肌,83
622,妊活,83
1452,・,83
3100,栄養,83
1124,ック,83
1205,テイクアウト,83
3116,…,83
2841,tiger,83
3657,グレード,82
3919,風味,82
190,苦手,82
520,むくみ,82
1832,ごちそうさま,82
1036,是非,81
896,続け,81
1872,さくらんぼ,81
1487,チョコ,81
1809,ソース,81
1632,安心,81
535,ポリ,81
536,フェノール,81
413,教え,81
788,為,81
2755,幸せ,81
525,活性,80
576,食器,80
3624,始め,80
2281,ストア,80
526,酸素,80
3284,新宿,80
1979,薬,80
701,先日,80
2405,２,79
799,楽しい,79
3655,取得,79
64,✨✨,79
834,タ,79
1662,発売,79
651,投稿,78
1408,pr,78
411,皆さん,78
2546,過ぎ,78
501,爽やか,78
2343,sweets,78
702,モーニング,78
259,喫茶,78
198,しまい,78
89,h,78
713,卵,78
2714,クッキー,77
1327,instagram,77
189,味わい,77
3006,ドライ,77
693,ホワイト,77
5182,神戸,77
93,゙さい,77
2558,肉,77
1869,いちご,77
1631,合う,76
2419,lupicia,76
3026,桃,76
1664,シリーズ,76
2751,酢,76
1506,チーズ,76
1821,。,76
350,注意,76
1081,風,76
2096,レス,76
292,高い,76
485,出来る,76
425,カ,75
1343,ラム,75
5510,ハマっ,75
395,くる,75
1634,ﾟ,74
331,持っ,74
1055,使う,74
1989,久しぶり,74
273,もらっ,74
1060,クセ,74
3169,税込,74
2322,台湾,73
1654,゙した,73
1630,食事,73
809,ルミネ,72
81,まて,72
2850,ガラス,72
7743,０,72
1786,可能,72
1939,ダイソー,72
27,ジャスミン,72
1353,本,72
18,渋谷,72
3960,♦,72
345,食品,72
6029,official,71
3338,濃厚,71
2708,花,71
515,美肌,71
3506,東,71
806,tokyo,71
1609,いただい,71
1583,大人,70
1754,パスタ,70
2315,まんじゅう,70
1758,休み,70
667,和,70
163,予防,70
2104,大根,69
2290,リー,69
628,ピーチ,69
1788,内容,69
1791,休日,69
1612,邪魔,69
2321,ねこ,69
1616,用意,69
1024,簡単,68
2221,土産,68
3123,め,68
862,ひ,68
844,作る,68
21,冷たい,68
305,rooibostea,67
838,手作り,67
2291,オンライン,67
1020,やすく,67
1054,蒸気,67
2271,フランス,67
494,⋆,67
1107,リンク,67
2040,子供,67
2046,カルディ,67
832,飲ま,66
3654,認証,66
500,オレンジ,66
541,アンチエイジング,66
1370,生地,66
1277,元気,66
1782,デザート,66
964,っ,66
910,成分,65
691,映え,65
172,スーパー,65
1993,オープン,65
3631,煮,65
3893,新しい,65
1702,果汁,65
2346,japan,65
5319,韓国,65
5150,愛媛,64
6664,フラン,64
215,最後,64
1439,よかっ,64
499,フレッシュ,64
5149,松山,64
1221,平日,64
3111,ん,64
2517,出来,64
796,しよ,64
5132,赤,64
4086,shizuku,64
2516,過ごす,63
420,子育て,63
2353,time,63
495,カップ,63
817,忘れ,63
625,アーモンド,63
2731,雨,63
2595,で,63
42,お待ち,63
2285,———————————————,63
156,タリーズ,63
337,合わせ,63
2292,friends,63
314,温,62
2426,ミント,62
1128,アロマ,62
2316,バニラ,62
5263,｡｡,61
3922,ベリー,61
502,癒さ,61
1173,粉,61
1303,温かい,61
2280,web,61
807,無印,61
3874,好み,60
204,映画,60
749,genic,60
3872,プレミアムルイボスティー,60
63,サロン,60
2945,見つけ,60
1744,すき,60
563,｡,60
1781,付き,60
2044,バター,60
643,でる,60
119,岡山,59
2845,タンブラー,59
1206,珈琲,59
638,すごく,59
1117,時期,59
3477,宣言,59
1911,載せ,59
1320,https,58
1843,３,58
804,池袋,58
429,ラ,58
1153,選,58
614,友達,58
281,喫茶店,58
165,みる,58
1148,゙る,58
96,青山,58
1477,アンティーク,58
170,自然,58
2376,そば,58
2228,イエット,58
178,パック,58
2325,研究,58
940,必要,58
583,デトックス,57
3700,instafood,57
320,体温,57
312,冷え,57
1658,ルメ,57
2313,当店,57
257,⁠,57
1629,相性,57
846,今年,57
2417,ルピシア,57
75,提供,56
1799,トマト,56
1701,葡萄,56
1305,∗,56
695,ショコリキサー,56
1306,∘,56
839,チース,56
546,質,56
4612,テーブル,56
1003,女性,55
1056,止める,55
780,）,55
2373,番,55
1780,プレート,55
4620,緊急,55
2254,歩い,55
2312,天気,55
4437,cuckooteabag,55
4413,％,55
1839,定休,55
1938,フォロー,55
335,便利,55
61,歯,55
1064,ポイント,54
1066,合い,54
3059,カモミール,54
2837,焙,54
2838,煎,54
1540,レント,54
2835,遠,54
2107,買い物,54
1289,食べ物,54
377,風呂,54
2874,キャロットケーキ,54
894,々,54
941,家族,54
585,情報,54
2879,原宿,53
1734,場所,53
2557,摂取,53
2164,一部,53
1865,ひとり,53
1866,豆乳,53
134,普段,53
3476,事態,53
400,書き,53
3853,起き,53
14,誕生,53
721,まっ,53
1094,頂い,52
4441,アイスティー,52
1368,いち,52
5892,afternoon,52
3343,満足,52
2653,バナナ,52
2782,サンドイッチ,52
4205,病,52
4907,居る,52
3158,缶,52
5512,イラスト,52
4058,置き,52
1006,ローズ,52
349,カルタ,52
3719,長野,52
1764,奥,52
263,マフィン,52
1693,睡眠,52
2103,さくら,52
744,愛知,51
4616,週末,51
2390,塩,51
971,体調,51
3913,グリーンルイボスティー,51
265,和菓子,51
1115,母,51
504,綺麗,51
6,？,51
2812,チキン,50
332,行け,50
851,寝,50
1204,雑貨,50
6305,ショートケーキ,50
179,シナモン,50
1959,温め,50
5790,堂,50
6578,付け,50
254,ミッフィー,50
569,社,50
2239,スト,50
3720,スパイス,50
394,開け,49
1047,返し,49
1092,゙すが,49
2314,通り,49
4029,あん,49
544,カロリー,49
91,検索,49
1014,リフレッシュ,49
419,産後,49
3627,飲,49
2563,豆腐,49
1266,゙も,49
621,買い,49
826,シア,49
20,暑い,49
825,ルヒ,49
1673,華やか,48
1886,メイン,48
4783,撮影,48
1742,酸味,48
1307,◦,48
5328,釣り,48
933,さま,48
324,お湯,48
363,準備,48
6016,食材,48
1298,植物,48
2506,周期,48
2162,jp,48
1970,防止,48
1855,朝食,48
4026,天ぷら,48
1643,゙り,48
5193,丼,48
3625,気持ち,48
5190,和食,48
340,か,48
1910,room,48
2279,持ち帰り,47
3676,は,47
3480,sucre,47
538,アレルギー,47
1193,毎回,47
4682,スタ,47
56,徒歩,47
3115,チェック,47
1229,重,47
2101,晩,47
2905,お昼,47
1712,コメント,47
2900,の,47
252,ポーチ,46
1399,キープ,46
3356,ライフ,46
1976,漢方,46
3084,ござい,46
2016,早く,46
1133,キャラメル,46
1199,◯,46
2817,終わっ,46
1269,ルイボス,46
2608,めん,46
3134,師,46
808,良品,45
2670,グレイ,45
2669,アール,45
1941,収納,45
67,通常,45
1231,w,45
1512,募集,45
640,しまっ,45
1198,line,45
2059,たっぷり,45
2018,疲れ,45
1328,公式,45
490,❁,45
1001,黒豆,45
925,代謝,45
143,違う,45
523,マグネシウム,45
967,種,45
6108,ワッフル,45
909,抑え,45
3281,ノンカフェインティー,45
1042,乾燥,45
3464,選ん,45
5665,シュクレ,44
1008,ビタミン,44
765,豆,44
1318,ご覧,44
1317,url,44
5924,価格,44
5318,女の子,44
3377,雪だるま,44
1883,パイナップル,44
1984,バランス,44
2865,神奈川,44
1679,贅沢,44
2003,川,44
4022,発見,44
2439,感染,44
690,ゴディバ,44
662,ベビー,44
459,置い,44
296,個人,44
623,大変,44
700,西,43
738,艸,43
3374,チェリー,43
3261,ナッツ,43
2163,画像,43
1784,追加,43
1028,行く,43
1727,お客様,43
864,今週,43
2072,講座,43
1342,カフェスタク,43
4863,も,43
1365,生クリーム,43
