,word,count
47,香り,2663
83,美味しい,2180
60,飲み,2102
521,カフェイン,2089
710,紅茶,2043
188,飲ん,1936
19,思い,1392
34,ティー,1391
93,購入,1370
13,良い,1123
303,いる,1047
113,いい,985
225,やすい,977
89,ルイボスティー,929
104,あり,865
18,飲む,815
63,入れ,812
1021,アール,742
1022,グレイ,710
1012,カフェ,702
90,好き,693
289,お茶,692
31,する,682
155,美味しく,677
101,入っ,670
38,ある,667
109,なっ,663
169,パック,655
232,なく,623
157,飲め,615
192,商品,590
141,なり,588
944,レス,573
714,おいしい,558
148,ない,524
1042,デ,519
1227,ハーブ,486
340,普通,464
184,リピート,459
8,み,454
68,飲める,434
88,値段,433
75,買っ,415
35,バッグ,403
446,風味,391
6,お湯,388
187,袋,387
27,思っ,382
244,良く,377
234,量,369
208,なる,367
117,やすく,361
125,満足,357
105,ミルク,354
589,出し,353
25,パ,350
24,コス,348
189,薄い,344
264,茶,335
1662,色,332
547,得,331
251,出,330
439,安心,324
92,安い,319
352,リピ,319
254,買い,307
14,クセ,304
1068,妊娠,296
16,コーヒー,293
268,試し,291
828,夜,287
1079,探し,284
1039,デカ,281
697,１,271
692,良かっ,262
432,杯,259
143,箱,259
78,でき,254
1187,寝る,254
239,入り,248
296,美味しかっ,245
1,好み,234
110,嬉しい,231
546,価格,231
486,き,229
576,ボス,225
575,ルイ,225
28,麦茶,222
638,大好き,221
337,あっ,218
375,包装,218
215,気に入っ,215
365,られ,214
342,苦手,213
67,手軽,213
529,０,212
955,癖,212
134,残念,211
112,味わい,211
39,しれ,207
106,シナモン,204
1051,続け,198
50,期待,198
532,葉,195
519,高い,193
820,安く,193
226,できる,192
199,レビュー,188
1128,定期,184
243,おすすめ,183
2236,カモミール,182
1132,効果,173
265,匂い,172
407,パッケージ,169
1004,ベルガモット,169
94,容量,169
163,おり,168
3,ml,167
1125,授乳,166
894,子供,166
613,普段,165
146,注文,164
301,スーパー,164
312,濃く,163
545,２,161
484,すぎ,160
66,飲み物,159
718,リットル,158
1080,妊婦,155
656,強い,154
165,多い,152
1625,リラックス,151
256,便利,151
501,渋み,150
15,無い,150
195,薄く,149
123,れる,149
172,ホット,149
118,抽出,148
1149,ストレート,148
162,物,145
430,無く,144
295,一番,143
135,個人,143
649,フレーバー,143
464,違う,143
5,ボトル,142
2458,アップル,142
897,愛飲,141
252,家族,140
153,問題,137
357,お気に入り,136
84,♪,136
354,オススメ,135
746,よく,134
684,濃い,134
330,しまい,133
1254,なし,132
214,おいしく,132
2641,生姜,132
277,入れる,131
221,いう,131
535,よい,130
723,甘,130
1405,コスパ,129
702,健康,129
85,種類,128
9,簡単,127
1146,g,127
822,助かり,126
2265,ミント,124
103,甘み,124
26,最高,124
299,水筒,124
967,少ない,124
80,最初,123
7,作っ,122
297,使い,122
779,気分,121
402,メーカー,120
1075,ポット,120
683,強く,117
433,楽しめ,117
300,使っ,117
1929,甘い,117
902,すごく,116
2410,バニラ,115
949,飽き,115
1065,笑,115
179,持っ,114
399,砂糖,114
174,思う,114
139,ありがたい,114
1010,よかっ,114
832,煮,113
86,比べ,113
641,独特,113
292,出来,112
91,買う,111
2605,ジンジャー,110
712,為,109
1581,身体,109
23,美味し,108
1129,便,107
238,に,107
178,職場,107
1728,優しい,106
196,苦味,106
1471,番,106
1036,ん,106
1164,しまう,106
167,なら,105
216,amazon,105
133,感じる,105
1040,フェ,105
775,始め,104
124,濃,103
403,勧め,103
164,評価,102
657,悪く,102
69,非常,102
987,一,102
350,分,101
1565,手頃,101
421,ブレンド,100
284,最近,100
1066,売っ,99
1776,癒さ,97
1328,リプトン,97
275,アイス,97
253,会社,96
1390,変わら,96
1267,し,96
467,香料,96
46,言う,96
809,バック,96
528,３,95
939,大変,95
247,煮出し,93
20,冷やし,93
431,カップ,93
611,飲ま,92
131,淹,91
520,製品,91
355,後味,90
1226,レモン,90
237,気,89
1955,プレゼント,89
1371,見つけ,89
410,紙,88
319,出る,88
758,タイム,87
2577,オレンジ,87
70,重宝,86
