,word,count
5,カフェイン,50
0,味,35
8,紅茶,26
14,美味しい,25
42,レス,25
6,アール,23
7,グレイ,22
27,普通,19
39,思い,17
19,購入,17
57,飲ん,14
30,好き,12
69,いい,11
2,良い,11
29,ティー,10
51,飲み,9
28,ミルク,9
38,ない,8
92,おいしい,7
66,飲め,7
10,トワ,7
11,イニング,7
9,試し,7
12,一番,6
53,薄い,6
108,残念,6
103,ベルガモット,6
23,美味しく,6
18,いる,5
45,番,4
41,する,4
120,いう,4
74,嬉しい,4
56,飲める,4
60,カフェ,4
35,悪く,4
59,美味しかっ,4
82,み,4
67,やすい,4
109,大好き,3
91,でき,3
58,買っ,3
96,良かっ,3
87,授乳,3
99,よい,3
68,寝る,3
73,安い,3
84,分,3
102,探し,3
22,満足,3
78,かけ,3
80,あっ,3
81,箱,3
83,十,3
93,ある,3
3,中国,3
55,夜,3
48,入り,3
25,柑橘,3
32,あり,3
13,良く,3
43,妊婦,3
47,に,3
121,オススメ,3
117,すぎ,2
111,ほしい,2
131,クリッパー,2
115,配達,2
97,良し,2
98,夕食,2
130,無い,2
129,っぽい,2
100,値段,2
128,デ,2
127,理由,2
126,比べる,2
116,注文,2
125,風味,2
101,美味,2
124,ahmed,2
123,期待,2
122,お茶,2
114,ボックス,2
113,宅配,2
112,飲む,2
104,レモン,2
105,書い,2
106,商品,2
107,そのもの,2
119,気に入っ,2
118,よく,2
21,なり,2
77,開封,2
61,バック,2
54,取り,2
50,変わり,2
49,なっ,2
44,一,2
40,渋み,2
15,原産,2
37,クセ,2
36,変,2
34,思う,2
33,なる,2
31,好み,2
16,リピート,2
17,星,2
20,よかっ,2
26,香料,2
24,レモンティー,2
52,思っ,2
132,delicious,2
72,リピーター,2
86,しれ,2
63,コス,2
90,勧め,2
64,パ,2
89,入っ,2
65,ストレート,2
4,産,2
70,高い,2
71,１,2
88,気,2
75,問題,2
76,おり,2
79,市販,2
85,出る,2
95,フェ,1
62,お気に入り,1
46,お気,1
110,十分,1
94,デカ,1
