,word,count
6,紅茶,56
21,香り,55
5,レス,50
24,味,37
52,美味しい,29
11,アール,28
12,グレイ,27
13,購入,22
2,飲ん,20
80,思い,20
48,いい,19
7,飲み,17
25,良い,16
19,あり,15
31,ティー,13
88,ミルク,13
3,いる,12
40,飲め,11
27,好き,11
60,する,10
45,飲める,10
96,おいしい,9
46,満足,9
57,ない,9
132,妊娠,9
101,商品,9
58,授乳,8
159,寝る,8
102,ある,8
59,試し,7
123,おすすめ,7
65,妊婦,7
67,入っ,7
89,美味しく,7
63,値段,7
97,大好き,7
9,トワ,7
10,イニング,7
66,買い,6
134,リピ,6
100,なっ,6
104,価格,6
23,色,6
26,好み,6
53,リピート,5
69,普通,5
157,よかっ,5
156,杯,5
128,良く,5
29,飲む,5
50,探し,5
49,家族,5
79,薄い,5
83,美味しかっ,5
98,すぎ,5
92,思っ,5
78,入れ,4
15,しまい,4
114,られ,4
75,買っ,4
73,続け,4
4,気分,4
119,残念,4
99,しまう,4
121,薄く,4
137,カフェ,4
17,み,4
47,お気に入り,4
133,安心,4
61,多い,4
28,キャンプ,4
42,ありがたい,4
43,トイレ,4
130,生活,4
146,リプトン,4
151,ゼロ,4
64,予定,4
154,一,3
140,良かっ,3
145,やすい,3
165,コーヒー,3
122,感じる,3
107,なく,3
163,出,3
155,番,3
129,夜,3
113,プレゼント,3
127,風味,3
124,変わり,3
118,こども,3
120,日東,3
158,嬉しい,3
110,スーパー,3
85,高い,3
33,茶,3
16,アマゾン,3
94,問題,3
36,飲ま,3
56,れる,3
68,なり,3
34,葉,3
32,バッグ,3
20,比べ,3
82,一番,3
38,人工,3
91,美味し,3
87,強い,3
160,希望,2
35,いれ,2
136,デ,2
168,とれ,2
37,１,2
138,高く,2
139,割,2
141,為,2
142,大変,2
143,感動,2
167,カフェインレスコーヒー,2
144,手軽,2
166,一緒,2
14,パッケージ,2
147,チャイナ,2
148,産,2
149,薄め,2
150,無い,2
135,苦手,2
152,なら,2
153,物足りない,2
8,店舗,2
30,普段,2
22,弱い,2
164,癒し,2
18,レビュー,2
95,笑,2
41,まずい,2
39,きつい,2
76,本,2
93,パンチ,2
90,紐,2
86,渋み,2
1,ルイボスティー,2
103,amazon,2
84,なる,2
105,品質,2
106,でき,2
108,香料,2
109,強,2
81,飽き,2
111,豊か,2
112,旦那,2
131,助かり,2
77,入り,2
115,しまっ,2
116,臭い,2
44,控える,2
51,なかっ,2
54,やすく,2
55,言わ,2
126,かおり,2
125,メイン,2
169,好評,2
62,オススメ,2
70,向け,2
71,カフェインレス,2
72,製品,2
74,子供,2
117,安い,2
162,き,1
161,で,1
