,word,count
15,香り,52
14,味,35
6,紅茶,28
2,レス,27
26,美味しい,25
19,アール,23
20,グレイ,22
39,普通,19
31,購入,17
49,思い,17
65,飲ん,14
42,好き,12
76,いい,11
7,飲み,11
16,良い,11
41,ティー,10
0,飲め,9
40,ミルク,9
5,おいしい,9
48,ない,8
21,試し,7
22,トワ,7
23,イニング,7
24,一番,6
11,悪く,6
107,ベルガモット,6
112,残念,6
61,薄い,6
35,美味しく,6
3,十,5
4,分,5
30,いる,5
51,する,4
74,やすい,4
54,番,4
124,いう,4
81,嬉しい,4
67,美味しかっ,4
89,み,4
64,飲める,4
68,カフェ,4
12,なる,4
80,安い,3
66,買っ,3
25,良く,3
96,でき,3
113,大好き,3
75,寝る,3
17,中国,3
106,探し,3
125,オススメ,3
85,かけ,3
87,あっ,3
88,箱,3
103,よい,3
92,授乳,3
100,良かっ,3
63,夜,3
97,ある,3
44,あり,3
52,妊婦,3
57,入り,3
56,に,3
34,満足,3
37,柑橘,3
126,お茶,2
105,美味,2
108,レモン,2
10,具合,2
131,理由,2
132,デ,2
104,値段,2
133,っぽい,2
134,無い,2
102,夕食,2
135,クリッパー,2
101,良し,2
109,書い,2
111,そのもの,2
110,商品,2
8,摂り,2
9,すぎる,2
130,比べる,2
129,風味,2
115,ほしい,2
116,飲む,2
117,宅配,2
118,ボックス,2
128,ahmed,2
120,注文,2
121,すぎ,2
122,よく,2
127,期待,2
123,気に入っ,2
119,配達,2
38,香料,2
95,勧め,2
72,パ,2
27,原産,2
28,リピート,2
29,星,2
62,取り,2
32,よかっ,2
60,思っ,2
59,変わり,2
58,なっ,2
33,なり,2
53,一,2
50,渋み,2
36,レモンティー,2
47,クセ,2
46,変,2
45,思う,2
69,バック,2
71,コス,2
73,ストレート,2
82,問題,2
94,入っ,2
93,気,2
91,しれ,2
90,出る,2
43,好み,2
86,市販,2
84,開封,2
83,おり,2
13,手放せ,2
79,リピーター,2
78,１,2
77,高い,2
18,産,2
136,delicious,2
98,デカ,1
55,お気,1
114,十分,1
70,お気に入り,1
99,フェ,1
