,word,count
9,紅茶,86
15,レス,58
39,ティー,50
1,味,49
2,香り,41
129,美味しい,36
50,いる,32
27,飲む,29
32,思い,29
89,飲み,28
37,良い,26
64,飲ん,24
42,ミルク,23
41,あり,23
138,普通,23
180,入っ,22
117,バッグ,21
95,夜,19
189,する,19
72,袋,18
17,美味しく,18
46,香料,17
101,寝る,16
86,ある,16
3,ない,16
5,茶,16
113,カフェ,15
28,リプトン,15
67,入れ,15
251,味わい,15
18,なっ,14
6,葉,14
44,購入,14
184,なく,13
70,なり,13
112,飲める,13
154,いい,13
59,飲め,13
222,ラベル,11
125,パック,11
119,抽出,10
38,ストレート,10
221,イエロー,10
63,お茶,10
298,嬉しい,9
60,水分,9
103,デカ,9
90,渋み,9
24,量,9
127,好き,9
137,デ,9
245,ブラ,8
244,ディン,8
187,風味,8
155,カップ,8
69,れる,8
212,安心,8
179,商品,7
65,み,7
140,パッケージ,7
322,アール,7
135,なかっ,7
35,コス,7
296,紐,7
160,思っ,7
36,パ,7
104,感じる,7
317,苦手,7
194,おいしい,7
108,なる,7
26,入り,7
294,られ,7
93,睡眠,6
197,個人,6
139,変わら,6
142,必要,6
182,容量,6
323,グレイ,6
172,良く,6
361,処理,6
250,フェ,6
53,フレーバー,6
75,箱,6
80,包装,5
233,しれ,5
10,色,5
264,淹,5
153,使用,5
278,楽しめる,5
132,違和感,5
229,補給,5
118,多い,5
210,普段,5
100,高い,5
126,良かっ,5
85,やすい,5
74,紙,5
292,為,5
228,やすく,5
342,勧め,5
149,通常,4
133,摂取,4
97,重宝,4
34,値段,4
136,美味し,4
33,質,4
255,コーヒー,4
359,電磁波,4
360,加算,4
146,しまう,4
147,探し,4
193,クセ,4
21,買い,4
43,あっ,4
84,取り出し,4
156,お湯,4
362,必至,4
185,無い,4
261,癖,4
287,オススメ,4
163,飲み物,4
178,スーパー,4
177,得,4
130,レモン,4
134,出来,4
236,杯,4
346,フリー,4
206,長め,4
249,ありがたい,4
234,変わり,4
200,美味しかっ,4
205,でき,4
238,チャック,4
351,花,4
105,せい,4
116,ml,4
297,長,3
239,つい,3
232,緑茶,3
273,三,3
230,思う,3
284,選択肢,3
241,大丈夫,3
181,物,3
266,アルミ,3
267,添加,3
214,控え,3
176,タイム,3
306,しまい,3
174,過ぎ,3
274,角,3
242,サイズ,3
259,使っ,3
304,向け,3
195,好み,3
282,違う,3
252,め,3
226,悪く,3
199,助かっ,3
201,なし,3
203,言っ,3
173,いただけ,3
286,若干,3
256,強め,3
275,p,3
204,製品,3
303,寒い,3
191,助かり,3
243,スリランカ,3
190,手間,3
225,調子,3
217,られる,3
270,言う,3
76,比べ,3
111,２,3
123,持つ,3
31,程度,3
121,なら,3
40,記載,3
71,買っ,3
327,合わ,3
91,出,3
110,１,3
131,入れる,3
109,ほしい,3
56,鼻,3
330,強い,3
102,物足りな,3
55,よかっ,3
49,売っ,3
98,言え,3
96,影響,3
128,最初,3
336,ハーブ,3
144,レビュー,3
7,以外,3
8,抜け,3
78,裸,3
313,眠れ,3
340,ウバ,3
315,子供,3
12,い,3
159,不満,3
158,まずい,3
344,足り,3
157,チン,3
19,き,3
20,期待,3
66,牛乳,3
321,リピ,3
349,よ,2
285,大,2
283,甘く,2
348,寄せ,2
347,最大限,2
350,努力,2
307,たっぷり,2
352,ジャスミン,2
280,おかげ,2
279,０,2
353,ラップ,2
354,レン,2
277,物足りなく,2
356,作っ,2
357,かさばる,2
276,湯量,2
358,一番,2
363,イン,2
272,リプトンティー,2
364,竹,2
271,本来,2
355,蒸らし,2
334,強く,2
343,夕食,2
318,子ども,2
301,愛用,2
324,丁寧,2
302,レモンティー,2
269,つくっ,2
320,寝,2
319,ディカフェ,2
305,揺らし,2
300,地味,2
316,加え,2
314,優しい,2
312,濃い,2
311,夕方,2
310,透明,2
309,良,2
325,お腹,2
326,表,2
341,遜色,2
290,使い分け,2
339,ブレンド,2
337,充分,2
335,買え,2
288,十,2
289,分,2
308,温かい,2
291,無く,2
328,気持ち,2
332,くれ,2
293,意味,2
331,合う,2
295,◯　,2
329,結果,2
299,気兼ね,2
0,酷い,2
183,こまめ,2
268,ペットボトル,2
79,樹脂,2
82,持ち,2
87,留め,2
88,熱湯,2
92,わかり,2
94,リラックス,2
99,でる,2
106,物足りない,2
107,いう,2
114,時期,2
115,ご飯,2
120,渋,2
122,やすかっ,2
124,ジッパー,2
141,大きい,2
143,妊婦,2
145,買う,2
148,制限,2
150,落ち,2
265,付き,2
81,ひも,2
77,個々,2
161,容器,2
73,底,2
11,付,2
13,トワ,2
14,イニング,2
16,最近,2
22,納得,2
23,出来る,2
25,素直,2
29,抜く,2
30,技術,2
45,落ちる,2
47,に,2
48,おい,2
51,近い,2
54,すぎ,2
57,つわり,2
58,食べ,2
61,取っ,2
62,言わ,2
68,取る,2
152,印象,2
151,満足,2
162,病気,2
240,中身,2
218,当方,2
220,わ,2
223,思え,2
224,胃,2
227,暖かい,2
231,派,2
235,濃く,2
237,出る,2
246,賞味,2
213,価格,2
247,期限,2
248,抑え,2
253,開け,2
254,甘い,2
257,がち,2
260,浸出,2
262,ポット,2
263,出し,2
164,ng,2
216,考え,2
192,カフェインレス,2
196,家族,2
165,嬉しかっ,2
166,早く,2
167,知っ,2
168,悪い,2
169,姪,2
170,っ子,2
171,我が家,2
175,つく,2
186,赤ちゃん,2
188,薄い,2
365,炭,2
198,志向,2
202,買わ,2
207,説明,2
208,た,2
211,安らぎ,2
52,におい,1
83,付い,1
281,だ,1
333,言,1
345,で,1
219,合,1
258,デカフェ,1
209,だけ,1
215,ただ,1
338,三角,1
