,word,count
7,香り,111
11,紅茶,97
30,レス,80
59,味,67
2,美味しい,51
5,ティー,48
28,思い,34
41,購入,32
284,ミルク,32
87,飲ん,29
242,アール,29
93,飲み,28
58,いる,28
243,グレイ,28
132,あり,26
22,いい,26
64,良い,25
162,美味しく,22
19,する,22
13,ある,19
15,好き,19
161,飲める,17
227,妊娠,17
55,ピーチ,17
166,ない,15
68,満足,15
61,薄い,15
184,おいしい,14
258,飲め,14
49,なっ,14
97,飲む,14
135,商品,13
54,アップル,13
112,普通,13
34,寝る,12
157,甘,12
107,茶,12
99,安心,12
71,フルーツ,11
108,葉,11
89,おすすめ,11
21,なり,11
3,包装,10
4,フレーバー,10
6,甘い,10
70,入れ,10
45,風味,10
39,すぎ,10
82,み,10
50,バッグ,10
273,買い,10
66,値段,9
83,なく,9
272,妊婦,9
288,大好き,9
306,リピ,9
75,強い,9
110,入っ,9
37,夜,9
98,試し,9
268,授乳,9
74,色,8
117,価格,8
282,美味しかっ,8
175,やすい,8
63,砂糖,8
60,酸味,8
57,出,8
264,リピート,8
53,良く,8
48,探し,8
62,好み,8
38,でき,8
26,渋み,8
25,お茶,8
24,製品,8
81,カフェ,7
8,強く,7
106,思っ,7
251,トワ,7
252,イニング,7
209,ありがたい,6
219,スーパー,6
326,よかっ,6
230,リプトン,6
126,匂い,6
261,お気に入り,6
253,しまい,6
18,期待,6
160,杯,6
153,られ,6
151,しまう,6
130,問題,6
40,感じる,6
183,子供,6
67,味わい,6
137,日東,6
149,リンゴ,5
308,番,5
174,おり,5
188,ゼロ,5
167,高い,5
215,良かっ,5
169,気分,5
69,できる,5
224,比べ,5
35,飲み物,5
31,美味し,5
23,飲ま,5
231,買っ,5
300,残念,5
248,トイレ,5
16,しれ,5
76,印象,5
94,お湯,5
10,パッケージ,5
96,薄く,5
9,き,5
101,め,5
262,家族,5
102,りんご,4
234,アマゾン,4
144,大変,4
146,注い,4
256,普段,4
305,生活,4
176,いれ,4
73,れる,4
159,甘み,4
255,キャンプ,4
163,手軽,4
173,桃,4
72,いう,4
103,無い,4
192,優しい,4
332,コーヒー,4
271,予定,4
92,出し,4
210,なる,4
91,使っ,4
276,カフェインレス,4
90,１,4
277,続け,4
206,助かり,4
122,蒸らし,4
269,多い,4
127,人工,4
222,変わり,4
180,高級,3
197,♪,3
171,就寝,3
223,頂い,3
270,オススメ,3
299,作っ,3
290,やさしい,3
213,変わら,3
265,やすく,3
187,思う,3
198,強,3
233,売っ,3
298,こども,3
205,スティック,3
178,残り,3
204,メイン,3
289,amazon,3
182,品質,3
281,一番,3
236,安い,3
294,プレゼント,3
125,少なく,3
168,楽しめ,3
313,為,3
123,弱い,3
115,good,3
324,一,3
165,安価,3
325,赤ちゃん,3
327,嬉しい,3
95,近い,3
80,デ,3
65,抽出,3
339,朝,3
51,使わ,3
340,ホット,3
46,薄め,3
44,分,3
43,十,3
33,すぎる,3
344,粉,3
14,淹,3
12,書い,3
124,カップ,3
250,店舗,3
141,入り,3
309,高く,3
158,一緒,3
312,濃いめ,3
145,よく,3
147,甘く,3
152,カフェインレスコーヒー,3
140,ブレンド,3
139,ペパーミント,3
337,とれ,2
307,苦手,2
338,好評,2
293,旦那,2
263,なかっ,2
304,あまり,2
297,臭い,2
341,コク,2
267,気持ち,2
260,控える,2
259,まずい,2
342,仕方,2
257,きつい,2
303,かおり,2
343,最悪,2
302,注文,2
345,ルイボスミルクティー,2
254,レビュー,2
346,店頭,2
301,妻,2
266,言わ,2
286,パンチ,2
336,いけ,2
335,温かい,2
287,笑,2
314,感動,2
315,おいしく,2
311,割,2
280,飽き,2
279,規定,2
278,本,2
319,チャイナ,2
320,産,2
321,なら,2
322,物足りない,2
323,うれしい,2
310,合う,2
274,ダメ,2
291,香料,2
328,現在,2
329,思え,2
330,希望,2
292,豊か,2
331,癒し,2
333,抵抗,2
334,終わり,2
285,紐,2
275,向け,2
349,簡単,2
249,ルイボスティー,2
136,ススメ,2
118,パック,2
119,ひも,2
120,足り,2
121,紙,2
128,２,2
129,みる,2
131,旨い,2
133,最近,2
134,健康,2
138,リフレッシュ,2
1,すごく,2
142,リラックス,2
143,出来,2
148,さわやか,2
150,抜け,2
154,物,2
155,違う,2
156,評価,2
247,ー,2
170,転換,2
116,納得,2
114,楽しめる,2
113,出る,2
111,物足りな,2
17,上品,2
20,外れ,2
27,不満,2
32,求める,2
36,寒い,2
42,価値,2
47,良,2
52,配慮,2
56,フルーティー,2
77,持ち,2
78,ください,2
79,基本,2
84,しまっ,2
85,向き,2
86,さらっ,2
88,後味,2
104,袋,2
105,顆粒,2
109,タイプ,2
172,楽しむ,2
164,本格,2
240,知,2
216,お買い得,2
202,渋,2
239,大丈夫,2
207,飲,2
208,ん,2
238,ただ,2
237,欲しい,2
214,濃,2
217,比べる,2
232,安く,2
218,とも,2
235,割引,2
220,入る,2
221,帯,2
225,劣る,2
226,気に入っ,2
228,期,2
201,濃い,2
229,授乳期,2
241,ら,2
193,癒さ,2
179,口当たり,2
181,来,2
185,言っ,2
189,素晴らしい,2
246,ラベル,2
244,我慢,2
191,癒,2
194,寒く,2
195,増え,2
196,くれ,2
245,イエロー,2
199,封,2
200,立ち,2
347,増,1
348,え,1
177,のめ,1
211,りん,1
100,の,1
212,ご,1
296,まっ,1
203,いただけ,1
318,だけ,1
317,た,1
316,い,1
283,十分,1
190,で,1
186,知ら,1
295,し,1
0,デカフェ,1
