,word,count
4,香り,51
71,美味しい,46
38,ティー,45
90,出し,42
39,緑茶,35
73,入れ,32
3,ピーチ,31
16,お茶,24
139,良い,24
66,いい,23
54,ml,23
52,紅茶,23
24,飲ん,23
113,簡単,22
60,飲める,21
10,思い,20
155,バッグ,20
84,いる,18
74,あり,18
26,なっ,17
18,アイスティー,17
114,便利,17
50,出,16
27,飲め,15
148,飲み,15
5,好き,15
20,パック,14
69,爽やか,13
103,購入,13
43,おいしい,13
41,オレンジ,13
162,３,12
96,リプトン,12
37,フレーバー,12
297,飲む,11
177,お湯,11
115,好み,11
192,手軽,11
269,水出,10
147,美味しく,10
133,抽出,9
2,ボス,9
158,冷蔵庫,9
9,する,9
48,色,9
40,フルーツ,9
1,ルイ,9
212,味わい,8
143,フルーティ,8
102,思っ,8
190,作れ,8
42,すごく,8
59,茶,8
260,ボトル,8
91,でき,8
92,やすい,8
128,季節,8
200,桃,7
82,安く,7
265,常温,7
75,入れる,7
100,ホット,7
87,普通,7
13,グレイ,7
12,アール,7
135,水筒,7
65,ある,7
168,風味,7
34,なく,7
46,買え,7
47,助かり,7
154,作れる,7
31,作っ,7
30,買っ,6
157,重宝,6
134,れる,6
32,職場,6
88,グリーンティ,6
138,苦味,6
121,良かっ,6
120,香料,6
253,おいしく,6
187,バック,6
142,あっ,6
271,砂糖,6
76,渋み,6
152,入っ,6
57,なり,6
266,程度,6
186,気に入っ,6
36,甘い,6
244,薄い,5
261,いっ,5
6,後味,5
199,ほのか,5
15,すぎ,5
93,商品,5
161,なる,5
181,氷,5
22,苦手,5
229,ルイボスティー,5
21,大好き,5
144,持っ,5
175,出る,5
251,甘み,5
153,グリーン,5
275,冷水,5
140,個人,5
308,葉,5
184,できる,5
64,リットル,5
127,気に入り,4
189,最高,4
287,しれ,4
149,良く,4
276,型,4
136,朝,4
131,濃い,4
165,１,4
289,カップ,4
166,０,4
282,感覚,4
246,淹,4
217,早く,4
294,風,4
80,濃く,4
14,買い,4
243,加え,4
241,み,4
248,注い,4
238,微妙,4
33,売っ,4
233,浸け,4
61,作り,4
119,抹茶,4
67,美味し,4
220,美味しかっ,4
79,作る,4
63,置い,4
218,られ,4
216,物,4
270,しな,4
267,渋,4
105,袋,4
236,楽しめ,3
245,試し,3
193,店頭,3
242,出来上がっ,3
174,分,3
197,ありがたい,3
240,美味い,3
274,甘,3
176,タイプ,3
237,～,3
235,薄め,3
171,値段,3
204,ウォーター,3
231,取り出す,3
228,バー,3
279,しまい,3
227,フレイ,3
259,おすすめ,3
225,我が家,3
258,気持ち,3
215,冷たい,3
223,無い,3
222,オシャレ,3
255,合い,3
173,十,3
163,取り出し,3
170,配送,3
118,原材料,3
116,分かれる,3
110,ない,3
299,サッパリ,3
107,ただ,3
106,セット,3
301,レビュー,3
95,少ない,3
306,心地,3
81,セール,3
68,リピ,3
313,残念,3
314,冷え,3
55,マグボトル,3
51,し,3
45,スーパー,3
28,コストコ,3
23,思う,3
17,つい,3
11,使い,3
295,大丈夫,3
98,くれ,3
293,本格,3
125,置き,3
137,なら,3
159,晩,3
160,おい,3
156,おく,3
283,不思議,3
281,みる,3
124,しまう,3
284,シロップ,2
286,香る,2
285,かかる,2
252,注ぐ,2
277,長め,2
325,きつ,2
315,リラックス,2
278,記さ,2
316,ハーブ,2
250,淡い,2
322,食事,2
317,気分,2
249,出す,2
311,手間,2
318,効い,2
319,ゼロ,2
320,キロカロリー,2
321,ピラミッド,2
312,出来上がり,2
247,認識,2
254,わかっ,2
272,抜き,2
296,冷たく,2
268,粉,2
298,楽しめる,2
273,糖,2
292,コラボ,2
300,ホワイトピーチティー,2
291,甘味,2
264,忙しい,2
263,加える,2
262,使用,2
302,広がっ,2
280,印象,2
303,果汁,2
290,ルイボス,2
304,出来上がる,2
257,今年,2
256,プラボトル,2
305,半信半疑,2
307,すごい,2
288,杯,2
309,汗,2
310,ポット,2
0,だし,2
239,合わせ,2
111,問題,2
94,種類,2
97,だ,2
99,会社,2
101,アイスティ,2
104,っ,2
108,ブラック,2
109,抜け,2
112,リピート,2
234,来客,2
117,ハーブティ,2
122,しまっ,2
123,苦く,2
126,ください,2
129,問わ,2
130,愛飲,2
132,ゴクゴク,2
89,書い,2
86,変わっ,2
85,去年,2
83,出来,2
7,っぽい,2
19,紙,2
25,瞬間,2
29,容量,2
35,基本,2
44,ヒエ,2
49,濃,2
53,一番,2
56,薄く,2
58,麦茶,2
62,忘れ,2
70,フルーティー,2
72,容器,2
77,感じる,2
78,もったいない,2
141,暑い,2
145,コールドブリュー,2
146,々,2
211,､,2
203,ミネラル,2
205,注ぎ,2
206,メーカー,2
207,安心,2
208,暑く,2
209,直ぐ,2
210,さわやか,2
213,コレ,2
201,お気に入り,2
214,時期,2
219,代わり,2
221,リーズナブル,2
224,飽き,2
226,出来る,2
230,分水,2
232,作り方,2
150,気,2
202,グラス,2
198,良,2
180,必要,2
151,に,2
164,果物,2
167,十分,2
169,一般,2
172,２つ,2
178,くる,2
196,で,2
179,早い,2
182,い,2
183,ら,2
185,見かけ,2
188,嬉しい,2
191,清涼,2
194,いただき,2
195,使っ,2
326,少なく,2
323,飲,1
324,め,1
