,word,count
29,味,61
107,美味しい,58
63,出し,56
3,紅茶,37
79,入れ,32
109,飲ん,28
101,飲み,24
124,パック,24
145,フルーツ,22
75,する,21
65,良い,21
154,思い,18
10,購入,17
67,あり,17
70,ティー,17
200,アイスティー,16
42,なっ,16
153,やすい,16
87,ml,16
15,ボトル,15
80,いい,15
34,アール,15
35,グレイ,14
74,飲む,14
163,簡単,14
2,水出,13
95,好き,13
102,美味しく,13
49,商品,13
7,なり,13
21,出,12
142,濃く,12
281,抽出,12
114,ベルガモット,12
265,お湯,12
217,冷蔵庫,12
169,好み,11
133,水筒,11
144,トロピカル,11
64,み,11
139,便利,10
119,リットル,10
254,ホット,10
71,ない,10
190,満足,10
77,良く,10
27,ある,10
182,袋,9
110,爽やか,9
39,ペットボトル,9
97,出る,9
76,なる,9
256,フレーバー,8
98,いる,8
73,氷,8
229,重宝,8
231,手軽,8
13,飲める,8
295,０,8
264,味わい,8
135,飲め,8
52,なく,8
18,使い,8
83,スーパー,7
195,使っ,7
84,できる,7
187,バッグ,7
20,しまう,7
56,コス,7
175,香料,7
11,でき,7
149,量,7
31,試し,7
156,晩,7
157,作っ,7
57,パ,7
160,風味,7
172,強い,7
204,られ,7
215,糖,6
199,朝,6
117,し,6
279,書い,6
89,濃,6
108,匂い,6
85,amazon,6
259,甘い,6
130,フルーティー,6
223,定番,6
174,期待,6
228,最高,6
60,タイプ,6
230,すごく,6
47,ん,6
143,あっ,6
220,美味しかっ,6
151,渋み,6
8,残念,6
206,まとめ買い,5
171,強く,5
294,５,5
168,おい,5
165,作れ,5
185,作る,5
194,置い,5
136,甘く,5
170,作れる,5
6,店頭,5
33,日東,5
53,食事,5
69,ストレート,5
72,冷水,5
274,季節,5
45,麦茶,5
44,しの,5
86,使用,5
262,大好き,5
260,おいしい,5
263,家族,5
213,楽し,5
241,熱湯,5
37,お気に入り,4
244,よい,4
141,色,4
48,飽き,4
184,ポット,4
188,嬉しい,4
261,マイ,4
30,メーカー,4
183,サッパリ,4
16,使う,4
167,苦味,4
148,リプトン,4
32,個人,4
51,癖,4
191,言え,4
226,き,4
162,出来る,4
138,つけ,4
269,足し,4
111,１,4
211,我慢,4
100,入り,4
309,牛乳,4
277,香,4
212,フルーティ,4
255,しまい,4
120,２,4
258,やすく,4
121,安く,4
88,l,4
198,得,4
197,一番,4
280,紐,4
129,すぎ,4
173,おすすめ,4
131,美味し,4
257,一,4
243,アイス,4
251,翌日,3
181,友人,3
275,暑い,3
234,さわやか,3
242,勧め,3
186,本,3
240,薄い,3
189,夜,3
238,今年,3
236,一緒,3
235,最初,3
193,会社,3
267,ものすごく,3
222,出来,3
283,注い,3
270,価格,3
207,ありがたい,3
273,割,3
282,いっ,3
252,職場,3
305,入れる,3
125,おり,3
23,なら,3
113,中,3
112,年,3
106,夏場,3
105,なくなり,3
103,リピート,3
40,飲料,3
94,安い,3
325,♪,3
93,番,3
285,れる,3
92,売っ,3
50,愛飲,3
58,よく,3
68,すぎる,3
22,混ぜ,3
66,甘味,3
300,タンニン,3
333,デー,3
286,グラス,3
287,アロマ,3
288,入っ,3
4,愛用,3
161,ぴったり,3
9,思っ,3
332,プライム,3
152,無い,3
334,サイズ,3
17,～,3
297,形状,3
132,ℓ,3
140,容器,3
327,楽しめ,2
322,果実,2
320,必要,2
331,ください,2
330,素直,2
321,炭酸,2
324,いう,2
319,寝る,2
323,出来上がり,2
329,フローラル,2
328,飲み物,2
336,物足りな,2
284,漬け,2
271,アイスティ,2
318,良,2
278,かかる,2
289,指定,2
290,最適,2
291,注ぐ,2
292,濃い,2
293,普通,2
296,入る,2
299,言う,2
302,フェノール,2
303,効果,2
304,逆,2
307,開封,2
266,とも,2
276,戻り,2
308,立ち,2
310,アイスミルクティー,2
272,値段,2
311,大人,2
312,くれ,2
313,っぽい,2
268,対応,2
316,マンゴー,2
317,食べ,2
301,ポリ,2
0,取り扱っ,2
253,頂き,2
158,砂糖,2
90,感想,2
91,時期,2
96,かなり,2
104,今後,2
115,知ら,2
116,だ,2
118,飲ま,2
122,いただい,2
126,思う,2
127,後者,2
128,強,2
250,携帯,2
137,きつい,2
146,せい,2
147,買い,2
82,ら,2
81,い,2
78,濃度,2
28,ほしい,2
5,過ぎる,2
14,うれしい,2
19,沈ん,2
24,小さい,2
25,面倒,2
26,ピロータイプ,2
38,うま,2
62,pb,2
41,処理,2
43,通年,2
54,合う,2
55,結構,2
59,粉末,2
61,ポーションタイプ,2
155,いれ,2
134,ゴクゴク,2
159,かき混ぜ,2
227,返品,2
164,自宅,2
214,華やか,2
216,無し,2
218,常備,2
219,値上げ,2
221,意味,2
224,セット,2
225,買っ,2
232,良かっ,2
209,ミルク,2
233,代わり,2
237,邪魔,2
239,薄め,2
245,ガム,2
246,分かれる,2
247,冷たい,2
248,近づく,2
249,前日,2
210,もったいない,2
339,煎,2
208,ダメ,2
196,使い勝手,2
177,薄,2
166,まっ,2
178,後味,2
179,６,2
180,注文,2
1,欲しい,2
192,見る,2
201,仕事,2
202,持っ,2
203,癒さ,2
205,気に入っ,2
176,なし,2
150,コスパ,1
335,しまっ,1
337,合わ,1
12,年中,1
338,せ,1
326,合わせ,1
298,で,1
314,気,1
123,箱入り,1
46,飲,1
306,だし,1
99,箱,1
315,に,1
