,word,count
28,ティー,1031
117,香り,948
10,ハーブ,856
30,飲み,735
291,美味しい,707
76,飲ん,638
447,購入,483
29,思い,478
84,いる,389
77,いい,378
38,良い,368
643,ミント,360
31,やすい,355
160,あり,341
36,飲む,339
267,好き,339
251,入っ,301
66,する,275
236,お茶,271
63,レモン,267
86,ある,266
48,リラックス,254
65,カモミール,248
165,入れ,241
9,なり,236
381,美味しく,214
26,なっ,206
446,シナモン,205
16,商品,204
288,色,200
513,箱,199
100,カフェイン,198
18,み,192
209,種類,187
268,おいしい,184
39,寝る,168
17,試し,167
32,思っ,166
275,パック,159
141,なく,158
207,紅茶,154
163,ない,154
22,好み,154
305,なる,153
271,飲め,149
312,苦手,146
178,効果,140
396,良く,134
111,ブレンド,133
128,風味,132
783,買っ,130
64,グラス,129
607,ジンジャー,125
34,美味しかっ,125
52,出,122
145,気分,122
303,リピート,121
49,でき,117
33,やすく,117
562,買い,114
171,あっ,113
227,爽やか,109
94,癒さ,103
142,ハーブティ,102
449,残念,101
556,リピ,101
955,ペパーミント,100
472,お気に入り,99
169,甘,98
386,楽しめ,98
453,大好き,97
314,値段,96
91,甘い,96
840,袋,96
815,フレーバー,96
37,バッグ,96
157,お湯,95
173,き,92
256,杯,91
108,夜,90
246,個人,89
68,パッケージ,88
80,気に入っ,88
878,匂い,87
60,茶,87
129,クセ,86
399,甘み,86
197,強い,85
132,酸味,84
301,おすすめ,84
286,良かっ,82
534,すぎ,81
264,られ,80
684,オレンジ,79
211,量,76
757,綺麗,76
467,甘く,75
61,強く,74
476,ラベンダー,72
273,できる,71
140,癖,70
597,レビュー,70
731,探し,70
101,飲める,70
332,普通,69
1744,得,68
1023,１,66
294,れる,65
524,しれ,65
541,潰れ,65
343,味わい,65
695,期待,64
347,優しい,64
74,眠れ,64
313,身体,63
45,思う,63
450,♪,63
109,ホット,63
73,ん,63
351,出し,61
376,オススメ,60
613,満足,59
51,注文,59
258,高い,58
846,続け,57
460,気持ち,57
589,飽き,57
263,番,57
565,包装,56
167,砂糖,55
316,よい,55
653,しまい,55
511,楽しめる,54
773,濃い,53
475,amazon,53
210,多い,53
338,おり,53
337,甘味,53
257,価格,52
204,安心,52
20,くれ,52
611,リコリス,52
279,薄い,52
224,安い,51
638,入り,51
118,ローズ,50
503,すごく,50
458,タイム,50
713,フルーツ,50
208,麦茶,49
222,パ,49
519,濃く,48
780,梱包,48
27,プレゼント,47
960,定期,47
221,コス,46
185,香料,46
471,一番,45
247,入れる,45
657,仕事,45
298,朝,45
2780,黒豆,44
225,嬉しい,44
2092,アップル,44
