,word,count
8,味,857
159,香り,848
306,紅茶,800
19,美味しい,603
32,レス,603
182,飲ん,408
37,購入,375
42,飲み,363
172,思い,356
89,良い,303
492,ティー,299
73,あり,285
61,いる,252
488,アール,251
489,グレイ,239
130,いい,230
331,カフェ,223
13,飲む,207
12,普通,205
136,好き,203
106,する,199
44,ある,198
63,美味しく,183
98,商品,177
283,お茶,169
109,飲める,168
30,おいしい,168
23,入れ,162
10,ない,158
7,なり,156
34,飲め,152
33,夜,149
126,なっ,148
86,ミルク,148
14,コーヒー,146
550,緑茶,138
43,やすい,137
214,み,137
497,デ,132
162,入っ,129
160,薄い,127
896,フレーバー,123
131,なく,122
149,値段,121
201,思っ,114
80,探し,106
108,安心,105
527,風味,103
0,妊娠,103
329,なる,102
187,買っ,101
563,袋,98
509,茶,96
219,寝る,95
262,試し,94
15,満足,93
107,リピート,92
516,パック,92
260,デカ,92
324,好み,90
132,買い,87
85,美味しかっ,87
588,香料,80
510,葉,78
114,苦手,77
504,バッグ,77
605,リプトン,76
197,杯,74
36,箱,72
409,入り,72
24,お湯,71
248,良く,71
377,良かっ,71
134,妊婦,68
16,でき,68
188,高い,68
514,渋み,67
505,色,67
294,られ,67
498,ルイボスティー,67
118,嬉しい,67
64,リピ,65
60,スーパー,64
1385,アップル,62
46,甘い,61
217,気分,61
207,少ない,61
21,タイプ,60
486,出,59
18,安く,59
266,しれ,59
129,安い,58
1,授乳,58
52,手軽,58
901,期待,58
636,き,58
460,残念,57
356,量,56
376,１,53
142,物,53
318,あっ,52
898,種類,52
137,定期,51
388,助かり,51
253,価格,51
41,やすく,50
660,リラックス,49
361,変わら,49
1561,ラベンダー,48
269,ありがたい,48
220,パッケージ,48
332,番,48
175,すぎ,47
444,包装,47
620,個人,47
267,多い,46
191,おすすめ,46
389,強い,45
602,思う,45
186,amazon,45
391,大好き,45
508,パ,44
507,コス,43
51,できる,43
1236,ほうじ茶,43
419,楽しめ,42
347,普段,42
113,感じる,42
325,薄く,42
72,得,42
27,便利,42
387,無い,42
668,濃く,41
601,イニング,41
650,匂い,41
939,味わい,40
249,クセ,40
600,トワ,40
309,悪く,40
261,フェ,40
1088,ルイ,39
28,甘,39
1089,ボス,39
59,見つけ,38
750,飽き,38
528,弱い,38
265,比べ,38
423,通常,38
127,しまう,37
122,使い,37
103,なし,37
3,売っ,37
295,おり,37
367,一番,37
418,手頃,37
463,気に入っ,36
121,飲み物,36
280,しまい,36
564,ストレート,36
307,楽しめる,36
575,比べる,35
120,物足りない,35
349,睡眠,35
49,インスタント,35
322,に,35
94,問題,34
555,レビュー,34
408,本,34
1162,期限,34
317,お気に入り,34
226,れる,33
323,子供,33
461,強く,32
327,よかっ,32
93,注文,32
29,め,32
119,いう,32
399,なかっ,32
773,買う,32
1592,アッサム,32
125,無く,31
250,すぎる,31
50,カフェオレ,31
823,タイム,31
994,ml,31
1383,粉末,31
536,淹,30
405,よく,30
17,健康,30
20,スティック,30
168,効果,30
744,砂糖,30
1742,賞味,30
74,粉,30
719,抽出,29
512,美味し,29
912,バニラ,29
213,出し,29
205,便,29
434,星,29
589,使っ,29
195,向け,29
45,欲しい,29
281,おいしく,28
820,酸味,28
643,製品,28
184,重宝,28
665,ハーブ,28
101,出る,28
365,薄め,28
506,容量,28
690,ん,28
587,ベルガモット,28
473,飲,28
374,２,28
429,程度,27
35,最高,27
397,なら,27
40,溶け,27
1141,慣れ,27
739,紙,26
1828,ストロベリー,26
546,言わ,26
76,牛乳,26
984,午後,26
581,オススメ,26
69,書い,26
139,メーカー,26
1015,苦味,25
446,癒さ,25
760,飲ま,25
328,眠れ,25
117,為,25
340,割,25
65,♪,25
435,プレゼント,25
669,癖,25
296,夕方,25
883,しまっ,25
1013,わかり,25
169,わ,25
694,剤,25
788,コク,25
608,すごく,25
595,濃い,25
56,違う,24
1596,オーガニック,24
394,大変,24
783,印象,24
386,使用,24
534,楽しみ,24
218,悪い,24
851,仕方,23
315,デカフェ,23
624,フルーツ,23
11,せい,23
26,よい,23
1831,ハニー,23
4,くれ,23
569,出来,23
1937,リンゴ,23
170,から,23
1326,で,23
632,就寝,23
718,最初,23
1018,ピーチ,23
321,気,22
577,言っ,22
909,シナモン,22
277,分,22
726,ディカフェ,22
469,摂取,22
729,愛飲,22
449,一,22
964,ミルクティ,22
373,ー,21
448,思え,21
885,tea,21
411,０,21
366,時期,21
1129,でる,21
615,気に入り,21
383,続け,21
105,セット,21
487,過ぎ,21
179,優しい,20
371,通り,20
679,～,20
398,気軽,20
135,家族,20
133,笑,20
644,ゼロ,20
522,アーマッド,20
1276,薄,20
908,一緒,20
362,買え,19
730,渋,19
421,カフェインレスコーヒー,19
1488,ラベル,19
612,言う,19
357,影響,19
424,最近,19
1079,りんご,19
233,ら,18
400,ブランド,18
721,控えめ,18
232,い,18
817,合う,18
692,日東,18
78,甘く,18
867,変わり,18
521,アイス,18
308,いれ,18
216,入れる,18
716,々,17
146,高め,17
765,濃,17
256,最適,17
338,♡,17
441,必要,17
364,飲料,17
631,少なく,17
352,評価,17
625,朝,17
176,足り,17
243,濃いめ,17
447,仕事,17
22,マグカップ,17
1227,柑橘,17
583,p,17
647,し,17
428,我慢,17
707,られる,17
737,鼻,17
664,３,17
613,十,17
687,糖,17
212,届い,17
1487,イエロー,16
654,大丈夫,16
824,頂い,16
1353,g,16
680,うれしい,16
703,簡単,16
860,勧め,16
1152,カップ,16
110,助かっ,16
936,強め,16
734,言え,16
649,独特,16
641,ダメ,16
520,ホット,16
437,喜ん,16
2,味方,15
379,しよ,15
1054,ペットボトル,15
655,いただい,15
54,後味,15
406,近所,15
752,十分,15
451,身体,15
1288,つけ,15
878,無し,15
287,アマゾン,15
104,セール,15
572,変,15
741,近い,15
91,多め,15
791,他社,15
1834,リッチ,15
584,差,15
200,変え,15
941,色々,15
198,胃,15
335,発送,15
58,控え,15
979,気持ち,15
989,表記,15
257,高く,14
842,梱包,14
549,以外,14
192,コスパ,14
887,good,14
151,ほしい,14
530,４,14
591,おい,14
62,見かけ,14
1274,ドリップ,14
511,物足りな,14
1169,消費,14
1766,やす,14
490,あまり,14
639,体調,13
921,いただけ,13
952,種,13
485,体質,13
582,グレー,13
822,特有,13
790,若干,13
754,びっくり,13
499,トイレ,13
746,麦茶,13
626,水筒,13
524,アイスティー,13
645,記載,13
350,質,13
1395,楽しむ,13
285,変わっ,13
181,つき,13
99,中身,13
55,珈琲,13
116,想像,13
1201,強,13
