,word,count
5,味,762
20,美味しい,739
141,フルーツ,557
95,ティー,546
310,紅茶,525
19,購入,402
127,飲ん,363
90,飲み,310
170,思い,294
66,良い,286
6,いい,249
78,好き,219
55,甘,218
221,アップル,215
374,あり,202
172,美味しく,201
214,いる,193
182,フレーバー,188
787,ドライ,164
215,商品,159
51,なっ,156
94,ピーチ,153
320,ある,153
64,入っ,152
83,する,146
126,なり,143
80,飲む,141
10,美味しかっ,139
260,お茶,138
116,入れ,137
336,甘い,132
102,おいしい,125
140,み,121
220,やすい,113
125,飲め,112
251,箱,109
143,桃,109
49,買っ,109
97,良く,108
357,買い,104
43,なる,99
50,なく,99
101,リピート,98
596,思っ,97
234,値段,97
520,好み,93
69,風味,92
195,プレゼント,91
118,お湯,88
233,ない,85
275,残念,84
178,大好き,83
103,すぎ,81
38,あっ,81
620,普通,79
93,種類,77
139,パック,77
15,スーパー,77
14,良かっ,76
181,試し,75
351,甘く,72
180,られ,71
480,満足,70
21,出し,70
134,美味し,70
585,楽しめ,68
70,甘味,67
337,マスカット,65
406,パッケージ,64
224,気に入っ,63
792,茶,63
179,食べ,62
99,リピ,61
163,き,61
130,出,59
193,気分,59
791,安い,59
187,甘み,59
174,溶け,57
949,見た目,57
9,手軽,57
40,ホット,57
237,でき,56
381,強い,56
457,袋,56
82,杯,55
104,やすく,55
312,薄い,52
198,ジュース,52
671,安く,52
1191,リプトン,52
925,飲める,52
56,匂い,51
65,アイス,51
217,個人,51
84,お気に入り,51
86,砂糖,51
407,包装,50
161,探し,50
1087,可愛い,49
901,ボトル,48
793,葉,48
235,高い,48
296,飽き,47
498,よかっ,46
493,レモン,46
242,糖,45
436,量,45
18,amazon,45
570,１,45
207,味わい,44
199,すごく,44
401,価格,44
253,癒さ,44
29,売っ,43
856,期待,43
654,パ,42
59,定期,42
300,苦手,42
478,れる,42
191,最高,42
653,コス,42
583,楽しめる,42
1289,マンゴー,42
344,リンゴ,42
503,酸味,41
771,レビュー,41
201,爽やか,41
67,入り,40
797,♪,40
674,色,39
263,ミルク,39
171,注文,39
250,得,38
256,タイプ,38
203,オススメ,38
1180,違う,38
1236,期限,37
790,バッグ,37
377,本,37
254,友達,36
408,おり,36
208,おすすめ,36
105,後味,36
502,しれ,35
1258,緑茶,35
121,入れる,35
259,普段,35
173,すぎる,34
245,め,34
600,思う,34
276,人工,34
277,料,34
164,飲み物,34
1274,オレンジ,33
77,一番,33
483,コーヒー,33
88,嬉しい,33
4,簡単,33
1009,セット,33
53,しまい,33
800,楽しみ,32
1003,ギフト,32
306,冷やし,32
284,作っ,32
249,買う,32
