,word,count
5,味,412
4,香り,308
18,美味しい,250
9,ティー,227
52,購入,193
6,良い,180
17,思い,170
41,飲ん,168
133,パック,151
96,グレイ,140
22,飲む,137
77,いる,130
37,好き,127
95,アール,127
142,いい,116
8,ミルク,111
36,あり,110
1,飲み,104
33,する,97
49,入っ,96
65,値段,84
10,バッグ,83
25,入れ,83
32,ある,83
19,包装,82
131,安い,80
28,コス,79
29,パ,79
171,なく,79
169,買っ,70
117,ない,67
20,なっ,66
460,袋,66
72,普通,66
345,リプトン,63
251,得,60
156,商品,60
54,安く,59
255,量,58
252,価格,57
26,美味しく,57
74,杯,53
393,イエロー,53
46,やすい,52
257,茶,51
78,なり,51
170,み,51
394,ラベル,50
192,手軽,50
101,箱,50
153,薄い,48
109,スーパー,48
127,思っ,48
166,安定,47
258,葉,47
219,飲め,46
16,入り,46
64,満足,45
322,使い,45
247,種類,45
53,良かっ,44
114,買い,43
42,容量,43
34,おいしい,42
1062,プレゼント,42
148,ストレート,41
139,飲める,39
125,リピート,37
241,普段,37
90,美味しかっ,37
398,０,37
587,楽しめ,37
12,出,37
262,あっ,36
149,色,36
92,コスパ,34
154,良く,33
256,お買い得,33
356,嬉しい,31
98,試し,31
58,好み,31
143,買う,30
242,良し,30
440,おすすめ,29
304,でき,29
132,風味,29
24,パッケージ,29
172,楽しめる,29
2,２,29
248,多い,28
299,問題,28
312,紙,28
85,使っ,27
508,なる,27
522,お茶,26
105,飽き,25
57,お湯,25
43,渋み,25
50,定期,25
118,美味し,25
368,１,25
107,フレーバー,24
223,個人,24
93,高い,23
309,楽しみ,23
63,助かり,23
692,定番,23
218,淹,23
163,思う,22
159,家族,22
371,大量,22
136,気軽,22
465,気分,21
569,大好き,21
44,クセ,21
458,便利,21
97,違う,21
150,無く,20
335,無い,20
173,コーヒー,20
333,しまう,20
67,最高,20
269,き,20
446,注文,19
778,型,19
932,喜ん,19
0,濃い,19
249,朝,19
762,トワ,19
654,使用,19
315,リピ,19
763,イニング,19
86,ポット,18
179,アルミ,18
295,しれ,18
113,amazon,18
399,５,18
157,濃く,18
231,入れる,18
21,気に入っ,17
203,出し,17
190,れる,17
310,レビュー,17
91,バック,17
426,ダージリン,17
485,よかっ,17
517,使え,17
475,オススメ,17
158,残念,16
270,できる,16
713,ジャスミン,16
263,消費,16
372,おり,16
62,ん,16
435,十,16
861,角,16
233,探し,16
436,分,16
102,タイプ,16
351,売っ,16
291,一番,16
777,ピラミッド,15
318,比べ,15
379,作る,15
51,便,15
212,苦味,15
541,比べる,15
206,安心,15
968,レディ,15
533,昔,15
472,匂い,14
201,レンジ,14
733,しまっ,14
254,なし,14
205,ホチキス,14
643,アイスティー,14
531,ブレンド,14
103,期待,14
982,ピーチ,14
55,毎朝,14
528,開け,14
45,少なく,14
745,しまい,14
116,癖,14
1078,日東,14
160,お気に入り,14
455,セール,14
397,出る,14
130,職場,14
558,利用,14
126,しよ,14
800,々,13
774,ジッパー,13
484,物,13
164,リーズナブル,13
240,濃,13
331,強,13
285,手頃,13
145,強く,13
7,マグカップ,13
629,品質,13
48,に,13
151,薄め,13
311,買え,13
439,製品,13
615,強い,13
883,破れ,13
195,熱湯,13
911,為,12
194,カップ,12
14,３,12
1255,ギフト,12
970,もらえ,12
316,おいしく,12
568,慣れ,12
294,せい,12
246,星,12
483,味わい,12
286,やすく,12
120,安価,12
208,出来,12
1076,ビニール,12
556,すぎる,12
589,ありがたい,11
243,デイリー,11
289,近所,11
305,考え,11
267,置い,11
340,ミルクティ,11
280,よい,11
657,つい,11
313,持っ,11
503,いれ,11
232,られ,11
47,気,11
155,言え,11
230,薄く,11
390,間違い,11
404,不可,11
383,評価,11
729,日常,11
749,注意,11
40,タイム,11
412,ml,11
185,感じる,10
506,作り,10
782,作っ,10
281,ホテル,10
346,飲,10
279,バランス,10
362,保存,10
396,すごく,10
364,悪く,10
268,で,10
760,少ない,10
110,カフェイン,10
562,ホット,10
751,高く,10
758,苦手,10
11,コク,10
87,い,10
332,すぎ,10
341,缶,10
317,メーカー,10
326,番,10
75,飲ま,10
320,にくい,10
88,た,9
134,楽し,9
1039,言う,9
497,頂き,9
79,ブランド,9
30,一般,9
123,値上がり,9
297,賞味,9
298,期限,9
106,こ,9
824,テトラ,9
563,アイス,9
112,愛飲,9
403,可,9
860,三,9
432,いう,9
165,でる,9
766,勧め,9
384,仕方,9
481,ください,9
199,牛乳,9
726,渋,9
708,使う,9
632,子供,9
367,簡単,9
469,アマゾン,9
655,大変,9
473,癒さ,9
180,容器,9
674,ベルガモット,9
607,見つけ,9
659,友人,9
282,朝食,9
608,位,9
349,割,9
488,なかっ,8
423,非常,8
512,冷蔵庫,8
408,母,8
406,変わら,8
471,弱い,8
329,砂糖,8
683,通常,8
714,代わり,8
520,買わ,8
71,合う,8
381,最近,8
879,水筒,8
660,仕事,8
357,密封,8
477,頂い,8
391,最適,8
366,強め,8
181,会社,8
162,派,8
283,くる,8
278,抽出,8
572,❗,8
129,自宅,8
178,よく,8
622,ら,8
817,変え,8
603,通り,8
828,られる,8
794,小分け,8
265,笑,8
108,最初,8
841,開封,8
845,重宝,8
1223,day,8
189,いっ,8
359,一緒,8
198,蒸らし,8
375,以外,7
502,ケーキ,7
425,いえ,7
355,届い,7
462,tea,7
416,梱包,7
476,コレ,7
463,加え,7
419,いただき,7
200,注い,7
418,日本,7
793,っ,7
872,セット,7
680,g,7
688,新鮮,7
83,アーマッドティー,7
712,高級,7
721,お供,7
207,チン,7
645,十分,7
516,楽しむ,7
734,気に入り,7
750,安,7
186,おいし,7
176,密閉,7
768,チャック,7
769,付き,7
66,無くなっ,7
234,有名,7
259,選ぶ,7
38,夜,7
994,楽しい,7
534,ハズレ,7
542,鼻,7
987,種,7
303,確認,7
301,し,7
314,行っ,7
276,づつ,7
931,変,7
428,レモン,6
438,も,6
1040,印象,6
849,残り,6
979,合わせ,6
1021,すれ,6
842,面倒,6
940,ほしい,6
988,オレンジ,6
420,沢山,6
877,コロナ,6
830,最後,6
827,最強,6
1088,ゴミ,6
505,お菓子,6
784,よし,6
776,欲しい,6
518,良,6
489,～,6
540,変更,6
554,ガブガブ,6
555,多,6
577,知れ,6
1153,くれ,6
613,いただい,6
623,本格,6
624,p,6
663,程度,6
669,個別,6
678,good,6
1127,ペットボトル,6
697,考える,6
700,早く,6
1110,止め,6
748,コストパフォーマンス,6
450,雑,6
728,つけ,6
997,フルーツ,6
417,届き,6
60,イギリス,6
365,使える,6
82,感想,6
84,リーフ,6
94,シリーズ,6
353,送料,6
348,求め,6
135,♪,6
338,正直,6
152,みる,6
182,おい,6
188,め,6
211,長く,6
227,モーニング,6
264,増え,6
272,安かっ,6
378,凄く,6
1233,言っ,6
414,本,6
411,好ん,6
965,喜ば,5
177,デザイン,5
321,含め,5
1175,腰,5
1111,ジップ,5
548,イングリッシュ,5
737,earl,5
1107,わかり,5
740,grey,5
744,入る,5
325,一,5
13,次回,5
15,グラム,5
307,書い,5
146,アッサム,5
779,詰め合わせ,5
523,変わっ,5
787,ドリップ,5
342,想像,5
796,激,5
137,在宅,5
430,思え,5
1075,業務,5
821,紐,5
825,付い,5
111,レス,5
715,豊か,5
559,ドリンク,5
1068,半額,5
711,有難い,5
609,向き,5
1247,贈り物,5
625,合,5
626,わ,5
642,来,5
648,物足りない,5
244,毎回,5
586,失敗,5
585,つもり,5
584,アールグレイティー,5
1250,見た目,5
237,質,5
1251,かわいい,5
1164,友達,5
665,同様,5
1252,誕生,5
671,美味い,5
229,向け,5
573,装,5
571,ネット,5
685,パン,5
217,不味い,5
1170,部分,5
703,か,5
216,続け,5
831,抜け,5
336,飽きる,5
605,なれ,5
858,保管,5
971,いき,5
934,ドラッグストア,5
864,中身,5
933,こだわり,5
1205,レモンティー,5
