,Caption,np,judge
376,𓈒𓏸◌たまれんで海ピクした時✌️🏻🏖,-0.958041,n
1361,サワーチェリーのフィナンシェ🍒キルシュで香りづけ🥃カリッジュワ〜🍃焼いて10分後がいちばんすき🦒#朝ごはん #フィナンシェ #サワーチェリー #ルイボスティー,-0.8417049999999999,n
378,💄💄💄﻿﻿﻿﻿﻿マルコポーロルージュ☕️﻿ノンカフェインだから夜寝る前の一杯にほっと出来るお茶😋﻿きつくない香りが飲みやすい…✨﻿﻿﻿﻿#マリアージュフレール #紅茶 #ルイボスティー,-0.6866651428571429,n
21,雨は降ってないけど蒸し暑めの岡山市です。久しぶりにルイボスティーをいただきました。日本茶製法のオーガニック生葉タイプのルイボスティーです。生葉タイプのルイボスティーは、蒸気を使って発酵を止める作り方をしています。ポリフェノールが普通の赤茶のルイボスティーより多く含まれています。抗酸化力が高い。最高級グレードの茶葉を100%使用して、丁寧に作られています。熱湯で作りました。熱いのを飲んで、冷めたら冷蔵庫で冷やそう。・・・#タイガールイボスティー #ルイボスティー #生葉ルイボスティー #オーガニックルイボスティー #オーガニック生活 #ノンカフェイン #monipla #rooibosTIGER_fan,-0.6480429545454546,n
1348,🍓『マリトッツォ』ふわふわの丸パンにぽってりぽよよんな生クリームたんまりいちごをむぎゅっとつめこんだらおーけ。あーら。おいすぃっ。🍓#マリトッツォ#丸パン#おひるごはん #あこめし#あこぱん#いま流行りの#ローマのあさごはん#朝っぱらからこんなん食べるの#カロリーキュート爆弾#カロリー爆弾#波佐見焼#marimekko#マリメッコ#cutipol#クチポール#ゆめのか#長崎いちご#生クリーム#おうちごはん#ルイボスティー,-0.6475355636363637,n
6,ルイボスティーには他のお茶類と比較して重要なミネラルであるマグネシウム含有が多いことがわかっています！マグネシウムはストレスで尿中排泄が増えてしまう他汗をかいても失われてしまうのでこれからの季節大人だけでなく子どもたちの持ち歩きにも◎とにかく枯渇しやすいミネラルなので以前の投稿でお伝えした #にがり の使用や#エプソムソルト で入浴#ルイボスティー を常飲するなどし常日頃からのコツコツ補充を意識してみましょう☝️🏻✨わたしは入浴後の水分補給にはルイボスティーににがりを足して飲んでいます。ただし、足がつる・まぶたの痙攣・しつこい疲れなど、症状として現れている場合は上記対策だけでは必要量を賄う事ができないことは頭の隅に置いておいてくださいネッ,-0.647244338235294,n
1382,𓊱  バタートースト#朝ごはん　#バタートースト　#ルイボスティー　#器　#朝　#暮らし,-0.6455676666666665,n
140,GODIVAの期間限定の、この2種類のドリンク美味しそう♡♡気になるのは、左の方🎶左のは📸あまおう🍓を使ったドリンクだけど、10月までやってる予定✨右のは、6月いっぱいで終わる予定✍GODIVA飲んだ事ないなぁ(-.-;)と思ったら･･･去年アクアパーク品川🦈行った時に🚃品川プリンスホテルのフードコートで飲んでた♡♡#GODIVA#ゴディバ#ドリンク#インスタ映え #インスタ映えドリンク#sns映え #期間限定#期間限定メニュー#ホワイトチョコレート#ショコリキサー#ショコリキサーあまおう#ルイボスティー#映え狙い#チョコレートドリンク#ゴディバドリンク#ドリンク,-0.6419196818181817,n
1308,しめ縄みたいな頭して。今日はものすごい寒いので久しぶりにマシュマロに包まれました⚪️🟤🟠明日からも寒くなるようなのでお気をつけください🌬．---#rodeocrowns#rodeocrownswidebowl#マシュマロダウン#正月明け#2021#ルイボスティー,-0.6372762222222222,n
129,＊朝ごぱん＊ごはんパン朝に食べるスープルイボスティー・・（オバサンだけど）女の子の日3日目。だるおもー・・何にも作る気がしないので冷蔵庫にあったフジッコの『朝に食べるスープ』とごはんパンを温めただけの朝ごぱん。・・コーヒーを飲む気しないので優しいルイボスティー。・・今日は自分に優しくゆっくりゆっくり過ごそうと思います🍀😌🍀・・#なんにもしない日#自分にやさしく #朝ごぱん#ごはんパン #食べるスープ#フジッコ#朝に食べるスープ#ルイボスティー#breakfast #mybreakfast #todaysbreakfast,-0.6259670869565218,n
