,word,count
35,セレッシャル,1136
370,゙,1097
4,ハーブ,1010
94,好き,369
8,celestial,364
466,紅茶,272
92,ある,266
101,お茶,265
102,カフェイン,248
384,゚,245
15,購入,222
14,カルディ,207
43,いる,201
50,香り,195
93,暮らし,190
78,なっ,183
1052,美味しい,179
157,スリーピータイム,178
183,カモミール,176
70,飲ん,174
731,今日,168
83,✨,159
38,買っ,157
11,☕,153
305,み,149
404,tea,139
75,いい,139
17,❤,139
137,味,137
56,飲み,131
309,　,130
585,シナモン,127
109,タイム,122
98,大好き,120
234,ミント,120
84,なる,120
67,する,119
1209,iherb,116
23,レモン,116
168,フリー,115
737,最近,114
140,スパイス,114
783,♡,114
120,缶,112
790,ー,111
402,herbaltea,108
85,カフェ,107
42,入っ,103
184,花,103
100,kaldi,98
73,笑,98
369,ハーフ,97
250,飲む,95
600,朝,95
1180,ごはん,95
166,可愛い,94
148,☺,94
90,き,94
53,あり,94
60,入れ,93
488,コーヒー,91
502,なり,90
283,リラックス,87
299,お気に入り,87
426,出し,85
96,繋がり,85
584,チャイ,81
152,パッケージ,81
117,買い,81
97,生活,80
300,♪,77
190,甘い,76
373,夜,76
367,celestialseasonings,74
111,茶,74
18,ブレンド,74
1126,ハーブティ,72
119,限定,71
727,herbtea,70
215,良い,69
753,食べ,68
1100,効果,67
26,ローズ,67
393,sleepytime,66
240,寝る,65
468,種類,65
71,あっ,65
784,‼,64
49,ジンジャー,64
239,バラ,64
857,クリスマス,64
2568,ダイエット,63
366,セレッシャルハーブティー,63
52,思っ,63
197,ハイビスカス,62
340,フレーバー,62
86,おすすめ,61
859,お菓子,60
139,ベンガル,60
338,紹介,58
386,ケーキ,58
403,teatime,58
37,箱,57
24,グラス,56
734,使用,54
1006,フルーツ,54
275,アメリカ,54
831,れる,53
420,！,53
1004,celestialtea,52
1000,成城,52
1363,食,52
1001,石井,52
57,やすい,51
418,ない,51
1703,フ,50
110,楽しみ,50
397,こ,50
351,商品,50
383,ハ,49
1717,バニラ,49
220,入り,49
266,思い,49
675,。,48
1460,くれ,47
343,オススメ,47
182,試し,47
1447,アイハーブ,47
27,ヒップ,46
41,バッグ,46
828,寝,45
13,本日,44
237,ベリー,44
1063,ミルク,44
671,庭,44
1198,サロン,44
400,゙す,43
1194,写真,42
395,改善,42
181,販売,42
178,ハニーバニラカモミール,41
1511,･,41
231,られ,41
380,かわいい,41
138,好み,41
125,見つけ,40
344,仕事,40
287,雑貨,40
916,色,40
764,今年,40
1545,スイーツ,40
4069,玄米,39
269,昨日,39
573,ママ,39
298,美味しく,39
724,アイスティー,39
1068,作り,39
824,レス,39
