,word,count
52,トワ,2849
53,イニング,2848
30,ティー,2611
79,好き,1496
139,twinings,1201
3,ある,1014
88,グレイ,915
146,香り,783
31,タイム,752
406,　,741
87,アール,732
78,✨,701
80,繋がり,608
409,お茶,606
682,ミルク,603
38,暮らし,576
108,カフェ,554
251,当選,550
577,tea,506
408,今日,504
473,懸賞,482
290,美味しい,471
141,☕,466
380,アドベントカレンダー,446
277,♪,392
103,イギリス,391
6,茶,370
315,いる,365
281,生活,349
99,英国,337
283,カフェイン,323
1025,゙,314
179,なっ,308
7,葉,306
83,teatime,305
260,オレンジ,295
377,クリスマス,291
64,なり,280
57,み,279
122,ください,279
423,ケーキ,279
182,する,278
16,あり,275
60,味,274
262,レモン,265
276,楽しみ,265
95,チョコレート,264
465,ダージリン,264
540,飲み,261
73,食べ,235
404,ハーブ,225
24,紹介,224
231,フルーツ,224
35,バッグ,222
433,朝,220
10,いい,217
835,き,215
457,カップ,213
450,いただき,208
89,⁡,201
688,⁡⁡,198
293,お菓子,197
702,大好き,196
357,ー,195
727,入れ,194
56,飲ん,190
1308,購入,189
364,なる,188
75,楽しむ,187
223,プレゼント,184
110,スコーン,183
265,カモミール,180
152,レディ,180
299,思い,179
4089,ムーン,177
170,❤,177
639,パン,176
4088,セーラー,176
3452,✴,173
158,種類,171
61,買っ,171
112,レシピ,171
222,セット,170
291,チョコ,163
124,良い,163
895,アッサム,161
760,作り,161
341,スイーツ,159
479,♡,156
482,報告,154
1483,朝食,151
274,フレーバー,151
405,ルイボスティー,151
965,アフタヌーン,148
652,記録,148
247,japan,147
460,花,146
1481,ごはん,145
384,入っ,144
43,飲む,144
154,ブレンド,142
93,素敵,142
432,菓子,142
548,味わい,138
527,あっ,136
1013,教室,136
127,嬉しい,135
224,キャンペーン,135
339,コーヒー,134
1085,ない,134
164,今年,134
65,☺,132
101,日本,132
175,最近,131
1154,色,131
1876,今朝,130
213,くれ,130
74,笑,128
236,twitter,127
295,twining,124
235,試し,122
787,アイスティー,121
288,ガーナ,120
713,れる,119
11,思っ,118
1345,おすすめ,116
501,られ,115
171,写真,114
772,作っ,114
257,～,114
557,爽やか,113
259,ピーチ,113
1181,いれ,112
407,アドベントティーカレンダー,112
1080,使っ,112
311,美味しく,112
1252,手作り,110
1366,twiningstea,108
471,美味しかっ,108
714,可愛い,106
178,出,105
153,限定,105
336,お気に入り,104
838,先生,102
308,頂き,102
840,お話,101
631,クリーム,101
1859,缶,100
839,聞き,99
275,気分,99
454,好み,99
86,幸せ,98
261,ラズベリー,98
191,一緒,95
264,ベリー,93
629,甘い,93
430,風味,93
1872,⁡⁡⁡⁡,93
1014,ルイ,92
437,生,92
1015,ボス,92
425,いちご,92
225,１,92
619,バニラ,91
379,商品,90
280,風景,90
12,おり,90
234,種,90
1253,クッキー,89
769,でき,87
485,本日,87
58,プリンスオブウェールズ,86
1055,甘,86
