,word,count
58,ティー,4743
62,カフェ,2024
156,　,1903
114,ある,1411
250,好き,1079
323,暮らし,1007
238,✨,930
318,゙,920
199,茶,887
24,紅茶,795
32,ください,790
205,いる,776
13,する,749
150,ブレンド,731
21,香り,714
50,おり,708
3,お茶,705
601,⁡,696
20,花,674
218,なり,615
278,あり,571
330,ランチ,519
758,⁡⁡,518
232,なっ,518
531,繋がり,508
125,植物,481
52,今日,441
713,予約,417
33,☺,413
580,き,408
59,タイム,405
575,スイーツ,402
616,自然,400
249,販売,399
2,み,388
353,ケーキ,376
99,美味しい,376
540,いただき,370
80,レモン,363
642,なる,346
16,～,345
151,コーヒー,335
394,アロマ,333
172,♡,330
658,いい,327
61,tea,325
1692,講座,324
1893,下さい,317
699,お願い,315
104,生活,314
1622,ケア,312
31,楽しみ,311
304,料理,303
252,♪,300
702,オーガニック,297
293,営業,297
2227,薬,295
2141,教室,292
563,専門,288
142,グルメ,288
547,心,286
75,本日,286
1690,療法,283
376,れる,283
8,季節,283
769,葉,281
745,でき,278
570,イベント,275
588,開催,274
189,cafe,269
640,リラックス,268
1226,食べ,267
890,ー,265
777,健康,263
2253,⭐,257
98,味,256
650,お待ち,255
348,カモミール,253
78,種類,253
2228,膳,252
2431,ハーフ,252
346,使用,250
186,紹介,247
387,栽培,247
130,写真,244
229,思い,244
358,作り,243
447,素敵,238
67,できる,236
827,くれ,235
949,野菜,230
100,色,228
42,商品,225
429,巡り,225
614,農薬,223
65,飲み,222
74,限定,222
257,焼き,221
131,ローズ,221
79,ミント,220
772,フラワー,220
474,頂き,220
1479,ガーデン,218
668,い,216
1801,ラベンダー,213
226,癒し,213
279,‍♀,212
255,身体,212
544,☕,212
108,駅,210
875,パン,210
603,雑貨,209
1168,致し,208
654,日本,207
382,おすすめ,207
1035,雨,206
506,良い,206
1413,メディカル,205
284,ドリンク,205
774,効果,203
1998,１,201
296,定休,200
426,グラス,199
682,いたし,196
385,❤,195
317,゚,195
419,た,194
345,飲ん,190
46,お客様,187
872,自家製,187
428,活,187
787,herb,187
1704,ワークショップ,184
552,入れ,184
1172,梅雨,183
687,使っ,182
1061,庭,182
2178,手作り,180
2483,ごはん,179
256,嬉しい,179
490,朝,177
4389,出店,177
1313,カレー,176
2686,•,172
313,セット,171
2603,参加,169
357,ドライ,167
731,られ,167
277,ない,166
1272,カフェイン,166
316,一緒,166
2150,新潟,165
234,思っ,164
272,メニュー,164
355,作っ,163
641,用意,162
965,❣,162
102,出し,162
93,爽やか,162
2025,スパイス,161
43,店舗,161
10,種,157
480,オープン,157
672,利用,157
493,来,156
741,楽しむ,155
723,明日,155
724,来店,155
258,菓子,154
1325,和,154
633,プレゼント,154
1163,サロン,153
398,東京,153
119,購入,153
247,やすい,151
1004,作用,150
2450,梅,150
287,行っ,149
1170,美容,148
276,いただい,148
604,大好き,147
45,問い合わせ,146
84,いちご,146
166,https,146
55,投稿,145
1513,バッグ,145
38,プロフィール,145
22,フルーツ,143
336,herbtea,143
36,お知らせ,143
2192,場所,142
1913,マルシェ,142
803,農園,142
568,オンライン,141
185,‼,141
607,⁡⁡⁡,139
120,可能,137
379,癒さ,136
134,入っ,135
9,合わせ,135
530,名古屋,135
47,相談,135
1724,精油,135
128,有機,134
660,予定,134
1013,時期,133
661,フレッシュ,133
1721,薬草,132
962,あっ,132
312,デザート,131
832,くれる,131
1542,いく,131
283,お菓子,130
286,テイクアウト,130
1923,皆様,130
