,word,count
10,ティー,3842
45,pukka,1788
46,パッカ,1786
239,゙,1559
48,オーガニック,1115
7,有機,1059
65,ある,957
50,タイム,903
53,お茶,818
66,暮らし,800
668,ヨガ,633
181,アーユルヴェーダ,603
33,オーガニックハーブティー,573
54,リラックス,557
36,好き,542
119,いる,439
179,pukkaherbs,411
186,生活,406
669,yoga,401
24,香り,391
37,紅茶,391
6,する,375
64,パッカハーブス,367
208,ブレンド,360
49,organic,347
26,ミント,342
244,゚,341
198,✨,320
487,teatime,302
667,ayurveda,279
206,飲み,268
418,今日,265
890,　,265
138,レモン,262
139,ジンジャー,253
211,飲ん,244
258,カフェイン,244
381,☕,242
391,み,236
187,繋がり,234
180,pukkalife,222
118,なっ,220
183,から,218
2,♡,218
91,いい,217
843,ハーフ,212
184,だ,211
108,種類,210
185,整える,210
395,tea,206
724,シナモン,203
69,イギリス,202
715,herbaltea,199
182,こころ,197
111,ください,190
386,エキナセア,188
113,楽しむ,188
643,朝,188
11,pukkaherbsjapan,186
312,あり,182
382,❤,178
409,カモミール,177
94,おすすめ,175
404,なる,174
190,一息,167
189,ライフ,164
315,なり,161
671,活,160
867,ハ,159
188,ナチュラル,159
71,パッケージ,158
22,リコリス,158
524,☺,156
218,味,154
760,ー,152
660,チャイ,152
945,入れ,151
73,♪,147
44,プレゼント,147
522,気分,141
306,入っ,140
222,き,138
385,エルダーベリー,137
38,バッグ,137
110,商品,137
191,オーガニックライフ,136
256,美容,134
213,お気に入り,133
764,紹介,132
1,飲む,131
51,カフェ,131
28,美味しい,130
132,スリー,128
52,健康,127
801,温,124
14,当選,124
25,味わい,122
5,れる,122
259,フリー,121
192,オーガニックハーブ,118
257,やすい,118
13,楽しみ,117
47,herbtea,116
4698,root,116
109,季節,115
341,リフレッシュ,113
212,甘み,111
453,最近,110
193,食品,109
962,丁寧,108
210,グラス,108
90,投稿,107
74,オーガニックティー,107
319,心,107
380,購入,107
92,くれ,107
321,身体,106
27,爽やか,106
55,英国,105
301,良い,104
504,ハーブティ,103
288,思い,101
887,自然,101
895,植物,100
274,買っ,99
122,おり,99
12,応募,98
329,いただき,97
594,使用,97
86,日本,97
1439,ラベンダー,96
440,大好き,96
314,気持ち,95
563,おいしい,93
342,杯,93
248,オーカ,92
390,あっ,92
60,キャンペーン,92
3907,パッカライフ,91
1389,花,91
679,茶,91
292,色,91
2527,love,89
622,‍♀,89
928,ナイト,88
800,！,87
1670,relax,87
1062,photo,86
748,でき,86
736,寝る,85
696,効果,85
412,ローズ,85
949,お湯,85
249,ニック,84
720,ミルク,84
433,夜,84
88,アカウント,84
147,写真,83
868,ッカ,83
2232,環境,83
961,む,82
3225,デトックス,82
802,休憩,82
754,コーヒー,82
860,嬉しい,82
3,癒し,80
140,マヌカハニー,80
424,～,80
228,試し,80
960,愉し,80
251,ケア,79
374,可愛い,79
4373,organicherbaltea,78
717,pukkatea,77
670,スパイス,77
444,食べ,76
299,笑,75
81,クリスマス,75
