,word,count
92,ヘア,1127
870,゙,1003
60,前髪,897
178,バーバー,882
346,　,761
209,理容,722
68,アレンジ,671
318,パン,616
356,メンズ,598
216,フェード,493
179,スタイル,485
39,好き,476
210,師,475
207,pompadour,454
214,パート,451
218,パーマ,419
74,簡単,414
867,゚,414
73,する,406
199,barber,404
213,サイド,393
147,いい,390
443,⁡⁡,368
80,ください,358
63,♡,338
609,メッセージ,332
610,リクエスト,331
206,fade,320
293,繋がり,314
354,アイドル,300
1011,カット,297
200,barbershop,294
88,美容,290
66,髪,289
202,barberstyle,275
793,横浜,271
549,✨,255
102,ポンパ,254
627,こ,253
203,barberlife,252
83,フォロー,251
215,sidepart,249
547,ある,246
890,リーゼント,242
120,釣り,239
2,今日,236
284,撮り,229
167,なっ,214
224,スリックバック,212
104,オールバック,208
211,アイパー,206
613,dm,206
95,セット,205
628,出し,205
432,⁡,204
625,イラスト,202
2774,槻,201
205,haircut,200
204,barbers,196
208,フェードパーマ,195
201,barbershopconnect,193
79,み,191
341,ー,190
212,シチサン,190
1127,床屋,185
617,確認,182
614,コメント,182
217,アイロン,181
340,食べ,177
251,朝,174
14,投稿,173
496,中性,173
288,l,171
164,いる,171
1072,アップ,171
279,女子,170
622,illustration,170
86,メイク,169
177,ビジネス,168
624,illustgram,166
626,イラストレーター,166
623,illustrator,165
1131,スキンフェード,165
616,示し,164
619,digitalpaint,164
621,digitaldrawing,164
307,ウルフ,164
620,digitalart,164
612,用命,164
615,意思,164
611,見落とす,164
618,digitalpainting,164
247,なり,163
219,筋,160
220,トレ,159
252,ごはん,151
1608,募集,150
334,笑,148
18,き,147
291,界隈,146
108,かきあげ,145
99,巻き,144
222,メンズビジネスヘア,144
1136,クロップ,144
221,メンズショートヘア,143
894,ポマード,143
720,フランス,140
33,情報,137
511,コーデ,137
223,コームオーバー,135
72,垢抜け,132
196,予約,132
225,slickback,132
286,返し,128
884,ハ,128
454,ランチ,128
237,くれ,128
667,おり,127
61,印象,127
391,メガネ,127
250,写真,127
82,頂き,127
696,ツイン,126
302,地下,125
500,かわいい,122
1074,髪型,121
1607,pomade,119
21,あり,118
1255,娘,117
54,カフェ,117
697,テール,116
396,美味しい,116
2777,フェザー,114
312,黒髪,113
303,派手,113
1226,大阪,111
106,センター,109
1135,刈り上げ,109
504,オシャレ,109
1885,バス,108
1116,元町,108
1132,理髪,108
374,☺,108
492,メイド,108
475,東京,108
306,男子,107
445,生地,106
337,なる,106
392,❤,104
1049,メンス,103
97,かけ,103
638,求人,101
866,ホ,99
158,ピンク,99
1254,っ,98
1057,クラシック,98
1303,ふたつ,96
1130,フェードカット,95
1025,名古屋,95
160,カラー,95
1306,twintails,94
180,かっこいい,94
1305,twintail,94
1302,ツインテ,94
285,ピアス,94
1304,くくり,94
1403,撮影,93
100,くる,93
49,グルメ,92
3046,ハンド,92
89,可愛く,92
96,伸ばし,92
198,お願い,92
502,selfie,91
428,さ,91
505,followme,90
98,なし,90
349,大好き,90
107,分け,89
457,～,89
503,follow,88
1353,ママ,86
469,花,86
277,ストリート,86
69,残念,86
117,仕事,85
5407,…,85
462,新潟,84
105,編み込み,84
94,やり方,83
93,解説,83
169,可愛い,83
76,紹介,83
506,歓迎,83
993,モデル,83
176,大人,83
501,フォローミー,82
507,ディズニー,82
2301,マン,82
101,ぱ,81
754,今年,80
1252,編み,80
1173,‼,80
1531,jp,79
330,行っ,79
332,買っ,79
278,ファッション,79
1954,生まれ,79
297,雰囲気,78
592,ティー,78
270,女の子,78
1934,音,77
1152,‍♀,77
122,ナマズ,76
641,ヘアスタイル,76
700,！,76
465,服,76
404,来,76
869,ト,76
90,なれる,75
550,誕生,75
464,子供,75
508,しこう,74
509,こうせい,74
1251,三つ,73
2784,レッド,73
227,ショート,72
2767,暮らし,72
103,シースルーバング,72
2071,¥,71
24,ない,71
2778,バン,71
2969,熊本,71
1218,shop,71
666,お待ち,71
109,バング,71
1428,販売,70
174,でき,70
3195,げ,70
510,ディズニーシー,70
91,届け,68
1907,ローカル,68
572,やっ,68
871,ール,68
112,♪,68
2782,イージーパーマ,68
2773,北摂,68
2776,andis,68
512,昨日,68
2783,針金,68
77,保存,68
2775,wahll,67
895,グリース,67
2779,challengerbrigade,66
230,下さい,66
868,ンハ,66
264,コーヒー,66
81,ご覧,65
688,青,65
16,ケーキ,65
787,購入,65
1301,あっ,64
1245,サロン,64
946,香り,64
1359,シャンパン,64
36,スイーツ,64
1654,jackall,64
524,最近,63
2255,www,63
1329,バラ,63
2781,pgs,63
193,良い,63
1040,crop,62
1828,＃,62
56,酒,62
1402,ホスト,62
4052,⁡⁡⁡,61
1331,桜,61
110,流し,61
383,め,61
2411,ショップ,61
78,マネ,60
437,⁡⁡⁡⁡,59
359,マッシュ,59
1914,フェードスタイル,59
3938,富山,59
1953,里,58
1808,プレート,58
640,韓国,57
1973,毛,57
2772,style,57
1951,ひめ,57
345,嬉しい,57
2825,絵,57
1952,はる,57
85,beauty,56
1556,hairstyle,56
70,見え,55
652,いただき,55
897,ハード,55
262,られ,55
3813,れる,55
1467,風,54
781,限定,54
931,思っ,54
1970,街,54
1015,是非,54
545,❣,54
838,エコ,54
1039,skinfade,54
141,ジャッカル,53
1312,過去,53
40,いちご,53
2061,・,53
423,楽しい,53
708,出来,53
87,ヘアアレンジ・コスメ,53
84,michill,53
630,人気,53
1050,フェート,52
336,♥,52
832,楽しみ,52
909,ら,52
1369,‍♂,52
1231,日本,52
58,バター,52
843,営業,52
2780,wakomaria,52
130,トップ,52
1031,ヒ,52
2254,https,52
2562,思い,52
1480,できる,51
453,着,51
608,一緒,51
474,嬢,51
1249,弁当,51
2273,公園,51
842,定休,51
833,本日,51
351,ポンパドウル,50
1783,塩,50
779,久しぶり,50
1124,明日,50
1275,阿賀,50
807,入り,50
405,色,49
3005,cut,49
1145,本,49
831,飲み,49
255,出,49
493,コンカフェ,49
633,学生,49
979,すぎ,49
483,イベント,49
1856,紅茶,49
742,作っ,49
146,スタイリング,48
75,詳しく,48
820,入っ,48
2047,升,48
2518,犬,48
2282,プラスチック,48
289,f,48
2311,､,48
414,美味しかっ,47
2269,新館,47
489,素敵,47
64,作り方,47
965,鯰,47
3481,ガールズバー,47
67,巻い,46
980,濡れ,46
4151,ツーブロック,46
566,料理,46
886,フ,46
2339,福岡,46
940,最高,46
5457,goonie,46
2268,海星,45
1587,リバティ,45
2511,ご飯,45
150,おすすめ,45
59,クリーム,45
814,番,45
1032,ル,44
3192,版,44
639,✂,44
803,ハーブ,44
