,word,count
20,アップル,2459
59,紅茶,2264
1,カフェ,1568
472,りんご,1240
333,゙,1048
60,好き,947
21,ケーキ,670
106,　,648
249,スイーツ,543
214,✨,518
607,⁡,506
19,タイム,464
203,ある,462
90,香り,458
339,゚,450
30,今日,425
466,繋がり,382
8,美味しい,358
178,パン,357
123,食べ,348
193,こ,338
519,ランチ,329
207,フルーツ,318
597,⁡⁡,312
457,ください,311
2,☕,308
236,グルメ,283
145,❤,281
361,tea,272
320,暮らし,272
73,いる,271
140,リプトン,270
248,広島,268
182,おり,263
399,アップルパイ,257
97,み,253
792,なり,253
964,販売,251
470,ドリンク,248
489,する,244
329,♡,240
635,cafe,238
269,林檎,237
152,いい,231
158,入れ,231
63,なっ,230
503,限定,228
55,なる,218
721,巡り,218
722,♪,217
1054,お茶,215
379,茶,214
180,プレゼント,211
801,大好き,208
22,コーヒー,205
67,あり,204
186,商品,196
88,リンゴ,190
240,アイス,189
488,味,189
850,ごはん,187
66,紹介,182
179,セット,180
991,ミルク,179
267,フレーバー,178
202,本日,177
153,素敵,175
46,投稿,174
1244,いただき,174
702,ー,171
359,専門,170
41,写真,168
135,☺,164
144,発売,164
64,き,161
245,美味しかっ,159
881,岐阜,159
170,応募,159
165,フォロー,158
476,飲み,158
291,朝,155
148,明日,154
134,リポスト,153
1365,お菓子,153
164,記念,150
405,可愛い,149
492,楽しみ,147
142,japan,146
163,コラボ,146
181,お待ち,146
2168,飴,143
1269,クリスマス,141
764,堂,140
62,季節,138
435,作り,136
118,いちご,135
1355,珈琲,135
205,営業,135
10,‼,134
177,おすすめ,134
660,葉,134
510,お願い,134
56,笑,133
174,フジパン,132
704,手作り,129
712,アフタヌーン,128
137,honjikomi,128
138,fujipan,127
184,菓子パン,126
133,appletea,126
443,入っ,125
13,アイスティー,124
852,フォション,123
14,アール,122
161,使用,121
677,‍♀,121
328,活,120
192,谷中,120
522,焼き,119
206,メニュー,119
200,銀座,118
15,グレイ,117
246,チョコレート,116
1236,生活,115
653,青森,115
183,レモンティー,115
338,アッフ,115
1345,駅,114
666,作っ,114
475,甘,114
810,レモン,113
25,嬉しい,112
156,２,112
131,～,112
484,シナモン,111
215,ピーチ,110
699,あっ,109
26,良い,109
222,ホット,108
304,トースト,106
617,一緒,106
400,apple,106
612,クリーム,106
1042,料理,106
590,東京,106
155,なし,105
763,くん,104
855,✳,104
1628,チーズ,104
48,花,103
946,ハーブ,102
29,幸せ,102
658,使っ,102
2171,兵庫,101
119,頂き,101
518,京都,101
23,パフェ,100
231,キャラメル,99
253,デザート,98
274,美味し,98
80,飲ん,98
1504,食,98
800,カステラ,98
187,キャンペーン,97
799,台湾,96
367,teatime,96
493,予約,96
3611,シフォン,95
357,神戸,95
1284,カップ,95
803,来,94
116,甘い,94
316,モーニング,94
317,楽しむ,94
1358,喫茶,93
2000,レシピ,93
923,•,92
141,lipton,92
713,行っ,91
802,観光,91
233,アーモンド,91
1260,チョコ,90
2133,クッキー,90
224,テイクアウト,89
230,塩,88
1016,かき氷,88
175,②,88
438,種類,88
1473,苺,87
1105,購入,87
1011,思っ,87
1748,おいしい,87
978,北海道,86
867,来店,85
1240,期間,85
198,夜,85
1045,ハ,84
523,菓子,84
936,くれ,84
1233,❣,83
45,昨日,82
102,入り,82
58,皆さん,82
100,美味しく,82
675,れる,82
620,芳醇,81
167,末,81
196,神社,81
216,オレンジ,81
146,一部,81
2784,－,81
544,ない,80
1741,喫茶店,80
1406,サンド,80
1146,午後,79
191,ソフトクリーム,78
517,大阪,78
154,間違い,78
136,repost,77
891,贅沢,77
774,られ,77
254,プレート,77
787,思い,76
243,食べる,75
467,女子,75
554,fauchon,75
843,ジャム,75
440,でき,75
1299,ジュース,75
185,洋菓子,75
2053,バッグ,75
529,タルト,74
933,爽やか,74
353,是非,74
160,のせ,74
1379,産,74
1885,名古屋,74
446,かわいい,74
1408,生地,72
341,フ,72
1097,はちみつ,72
1957,種,71
188,もらえる,71
1254,出し,71
621,⁡⁡⁡,70
2178,１,70
162,焼き上げ,69
524,スコーン,69
622,パイ,68
189,当たる,68
168,実施,68
1612,味わい,68
266,ら,68
822,sweets,67
221,街,67
463,ギフト,67
263,ドライ,67
3027,プリン,66
2148,皮,66
229,谷根,66
834,サラダ,66
681,猫,65
2895,税込,65
293,仕事,65
619,official,64
1264,抹茶,64
150,開封,64
2269,風味,64
820,バー,63
1220,腸,63
3068,心,63
606,今年,63
147,エリア,63
171,⃣,63
1152,パスタ,62
630,最近,62
143,コラボケーキ,62
442,缶,62
1937,スープ,61
1729,ミニチュア,61
51,色,61
151,とたん,61
173,■■■①,61
92,人気,61
2006,公式,61
169,✨■■■,61
963,店舗,60
303,バター,60
924,札幌,60
166,リポストキャンペーン,60
149,先行,60
890,ソース,60
159,アップルティーケーキアップルプレザーブ,59
157,レモンティーケーキレモンピール,59
392,ふ,59
705,楽しい,59
473,自家製,59
172,ステップ,59
760,久しぶり,59
176,リポストリプトンオリジナルグッズ,59
190,リプトンコラボ,59
340,ルティー,59
735,和,59
450,美容,58
1409,濃厚,58
210,優しい,58
1991,いたし,58
1230,杯,58
1234,最高,58
593,モンブラン,58
129,買っ,58
2283,✅,58
1968,愛知,57
447,情報,56
673,飲み物,56
319,感謝,56
730,すぎ,56
595,紅玉,56
1348,カラオケ,56
1350,酒,56
354,試し,56
725,友達,56
813,出,56
808,たま,55
1370,ご,55
1151,！,55
515,jp,54
809,瀬戸田,54
237,散歩,54
723,たっぷり,54
104,薔薇,54
7738,╌,54
2278,米,54
1288,g,54
869,い,53
1301,糖,53
1974,定休,53
844,バナナ,53
569,ン,53
876,いただい,53
2934,粉,53
212,果肉,52
1441,カフェイン,52
674,癒さ,52
1372,ストロベリー,52
337,゙す,52
1992,皆様,52
2360,砂糖,52
2228,教室,52
1132,韓国,52
1423,ブレンド,52
1369,りん,51
733,日本,51
854,お気に入り,51
369,土産,51
1682,登場,51
1867,‍,51
875,淹,51
870,た,51
1660,店内,51
1060,ルピシア,51
1685,癒し,51
4369,⠀,51
209,頂い,51
127,予定,51
2072,行き,51
4306,⋱⋰,51
226,牛乳,50
223,カフェラテ,50
2507,最後,50
1367,記録,50
582,やっ,50
2460,さま,49
487,好み,49
920,つけ,49
993,気分,49
972,西,49
2003,アカウント,49
474,シロップ,49
1634,付け,49
3169,なく,49
2497,ソーダ,49
1124,かけ,48
441,イラスト,48
278,生,48
812,パンケーキ,48
525,カヌレ,48
120,物,48
70,ナッツ,48
1028,チース,48
247,番,48
288,本,47
873,合わせ,47
508,下さい,47
289,っ,47
2159,休日,47
2572,ひとり,47
3469,安城,47
1192,ダイエット,47
1739,tokyo,46
490,可能,46
512,https,46
1490,風,46
2306,果物,46
796,平和,46
794,元気,46
668,甘く,45
1924,クレープ,45
662,簡単,45
766,麺,45
65,オススメ,45
945,め,45
1328,作る,45
797,ラーメン,45
795,オープン,45
862,楽しめる,44
1591,氷,44
477,やすい,44
1383,酸味,44
1142,母,44
4865,桜,44
1171,カレルチャペック,44
258,朝食,44
213,相性,44
4284,弁当,44
1050,ル,44
1969,３,43
1784,coffee,43
1675,ml,43
1274,アレンジ,43
581,館,43
5945,┈,43
1329,用意,43
765,まぜ,43
1921,加工,43
1421,ルイボスティー,42
287,教え,42
2707,⭐,42
1819,娘,42
2170,イ,42
456,チェック,42
1712,ローズ,42
1572,もらっ,42
3570,寒い,42
86,パッケージ,42
1600,コンポート,42
4154,栗,41
2438,ビール,41
280,利用,41
1186,自然,41
648,カフェラトリー,41
1371,くれる,41
599,ドーナツ,41
1162,pic,41
370,世界,41
4065,卵,41
893,映え,41
2521,ママ,41
1807,合う,41
2574,休み,41
2930,ブルーベリー,41
931,ダージリン,40
578,‍♂,40
4762,カレー,40
2319,開催,40
504,注文,40
2066,致し,40
1474,果実,39
601,ﾟ,39
2709,甘酸っぱい,39
220,商店,39
1565,¥,39
2169,ルハ,39
257,｡,39
1646,福岡,39
1530,出来,39
1830,クロワッサン,39
195,諏訪,39
244,できる,38
1611,ジンジャー,38
664,型,38
486,お客様,38
309,汁,38
2569,確認,38
1777,▶,38
1246,綺麗,38
910,子供,38
1449,いただく,37
396,大人,37
911,スタート,37
232,ロースト,37
1443,飲む,37
1633,終了,37
1987,ホテル,37
194,みち,37
1169,フランス,37
1602,食事,37
2425,イベント,37
1013,お腹,37
292,過ぎ,37
1730,フード,37
1541,コメント,37
1883,生クリーム,37
40,時期,36
567,line,36
661,ちゃう,36
2654,褒美,36
4014,当選,36
2084,今朝,36
752,インスタ,36
37,いき,36
639,ラム,36
