,word,count
46,ピーチ,3408
59,カフェ,2505
329,桃,2460
258,紅茶,2223
188,好き,1063
530,スイーツ,959
260,フルーツ,630
302,✨,601
107,ある,590
326,　,589
677,⁡,581
44,食べ,555
279,繋がり,540
226,グルメ,514
243,ランチ,511
65,゙,508
559,香り,499
51,ドリンク,491
253,美味しい,490
148,巡り,485
660,タイム,477
671,⁡⁡,434
511,ください,423
609,限定,417
18,今日,368
1509,パフェ,358
807,暮らし,355
15,なっ,349
607,ケーキ,346
137,み,333
1351,⭐,327
252,味,313
298,アイスティー,311
167,tea,308
324,アイス,305
216,美味しかっ,299
234,いる,289
225,☕,287
237,する,284
22,ー,283
261,コーヒー,277
73,き,276
11,♡,275
162,♪,273
83,なり,271
290,おり,269
60,cafe,268
1043,花,267
679,かき氷,266
577,大阪,264
327,白桃,263
256,デザート,256
557,茶,254
519,大好き,242
946,甘,230
149,活,226
131,いい,224
38,☺,223
939,贅沢,221
436,写真,216
69,゚,215
611,商品,214
362,❤,213
583,季節,211
714,パン,209
1440,タルト,205
685,ミルク,203
533,飲ん,200
493,紹介,197
1686,フレーバー,196
139,投稿,196
768,東京,194
594,クリーム,191
203,入っ,190
653,期間,190
1721,芳醇,189
72,行っ,188
2295,伝,187
424,あり,187
836,飲み,181
166,coffee,181
291,本日,178
477,販売,176
254,なる,176
6,ごはん,176
119,笑,176
659,お茶,175
1155,福岡,175
952,も,175
340,入れ,174
842,褒美,172
576,peach,171
214,楽しみ,167
352,アール,165
5,朝,164
664,かわいい,164
195,営業,163
353,グレイ,159
294,メニュー,158
30,専門,158
1762,お菓子,158
196,～,158
867,チーズ,153
517,食,153
48,いただき,151
199,駅,150
1167,爽やか,149
1072,ハーブ,148
303,アップル,147
211,甘い,146
1180,カフェラトリー,141
1288,あっ,140
2317,｡,139
132,おすすめ,139
316,塩,138
792,ソーダ,138
1168,ゼリー,138
231,こ,137
1055,！,137
847,味わい,136
479,アカウント,136
643,発売,135
1035,アフタヌーン,135
58,テイクアウト,134
28,サンド,130
299,果肉,129
304,オレンジ,129
721,頂き,128
698,美味しく,127
567,焼き,127
395,作り,127
179,思っ,126
571,セット,126
808,楽しむ,125
281,谷中,124
962,パスタ,124
414,でき,123
1034,peachtea,122
1846,予約,122
1759,クレープ,122
269,いちご,122
1204,午後,121
590,使用,121
678,暑い,120
2513,京都,120
383,料理,120
1696,種類,120
407,作っ,118
693,可愛い,117
2063,シロップ,117
918,お待ち,117
2,パンケーキ,115
558,葉,115
1091,❣,114
271,女子,114
1901,‼,113
834,氷,113
280,ソフトクリーム,111
775,仕事,111
2562,税込,111
206,タピオカ,111
634,生活,110
772,つけ,110
1894,名古屋,109
390,‍♀,109
1947,抹茶,109
599,コンポート,108
682,⁡⁡⁡,108
1337,みなとみらい,107
27,ホット,106
244,ラーメン,106
452,すぎ,105
699,⁡⁡⁡⁡,105
2781,プリン,105
506,新作,104
331,食べる,104
43,美味し,103
178,良い,103
140,静岡,103
998,ブレンド,103
34,くれ,102
863,来店,102
288,銀座,101
1082,買っ,101
666,teatime,100
564,ピザ,99
850,素敵,98
406,ない,97
843,シリーズ,97
183,お願い,97
2466,レモン,97
928,いたし,97
2105,ひととき,97
123,嬉しい,97
626,sweets,96
563,サラダ,94
865,明日,94
586,今年,93
385,グラス,93
378,手作り,93
569,れる,93
2143,愛知,92
467,気分,91
2716,札幌,91
366,試し,91
1090,是非,91
1525,思い,90
174,使っ,90
2541,韓国,90
570,最高,90
529,おいしい,89
2965,☑,89
1685,雑貨,88
210,一緒,88
870,出し,88
191,おしゃれ,88
382,レシピ,86
560,ストロベリー,86
285,神社,84
2324,agf,83
92,来,83
886,和,83
1360,モーニング,82
967,ワッフル,82
319,アーモンド,82
1044,行き,82
351,バッグ,81
1714,いただい,81
581,人気,81
2234,出,81
996,淹,81
532,ゴンチャ,80
2609,購入,80
3146,福島,80
1239,ソース,80
348,サイズ,79
2724,マック,79
153,f,79
114,幸せ,79
240,られ,79
2636,トースト,79
300,入り,79
315,japan,78
876,できる,78
838,杯,77
1164,甘く,77
1373,横浜,77
365,バニラ,77
1077,アレンジ,76
314,谷根,76
1556,ら,76
87,色,76
1834,カフェイン,76
78,最近,76
134,夜,76
1473,プレゼント,75
14,なく,74
1518,注文,74
1414,リプトン,74
953,め,74
866,オープン,73
1775,瞬間,73
1184,とろける,73
472,大人,73
1226,店舗,72
1141,もち,72
531,久しぶり,72
37,種,72
1511,¥,71
283,昨日,71
301,相性,71
1519,フレッシュ,71
7,マンゴー,71
309,カフェラテ,71
152,l,71
1731,イタリアン,71
317,キャラメル,71
2833,北海道,71
536,トッピング,70
773,下さい,70
814,official,69
1701,生地,69
1665,クッキー,69
2726,マカロン,68
649,♥,68
296,優しい,68
687,レモンティー,68
0,☀,68
1120,友達,68
459,合わせ,67
731,お気に入り,67
706,ピンク,67
3330,岡山,67
229,ご飯,67
1026,スコーン,67
1861,ショートケーキ,67
900,番,67
2313,公式,66
146,ヒ,66
879,い,66
373,生クリーム,65
1353,pay,65
250,麺,65
311,牛乳,65
503,１,65
2325,cafelatory,65
1857,苺,64
1631,ダイエット,64
186,散歩,64
3698,渋谷,64
880,た,64
270,ジュース,64
1006,車,64
1294,リラックス,64
1102,産,63
2388,珈琲,63
35,やっ,63
912,店内,63
1732,トマト,63
504,２,63
1142,わらび,63
1769,果実,62
587,登場,62
777,ひとり,62
784,娘,62
1041,ローズ,62
381,簡単,62
965,風,62
1752,広島,61
835,炭酸,61
182,フォロー,61
2572,撮影,61
2046,•,61
1864,いただく,61
53,神戸,61
230,記録,60
33,オススメ,60
1418,飲む,60
841,土産,59
170,街,59
1349,利用,59
963,プレート,59
883,用意,59
259,風味,59
1165,ジューシー,58
997,アッサム,58
363,ヨーグルト,58
2900,果汁,58
491,やすい,58
3147,山梨,58
1039,チョコ,58
1890,たっぷり,57
2136,美容,57
1452,満足,57
991,甘み,57
1893,情報,57
597,自家製,57
1615,缶,57
1411,喫茶店,57
293,予定,56
1886,組み合わせ,56
2032,g,56
723,香る,56
692,めちゃくちゃ,56
3067,ぎゅぎゅっと,56
71,旅行,56
573,っ,56
984,濃厚,56
8,ジャム,56
2478,致し,55
197,定休,55
320,根津,55
696,最後,55
1442,時期,55
566,野菜,55
1172,w,55
1667,酸味,55
1321,カレー,54
156,映え,54
145,観光,54
3090,飲み物,53
