,word,count
80,フルーツ,5214
135,カフェ,2638
279,紅茶,2325
74,好き,1349
29,✨,1115
1223,茶,923
230,お茶,802
25,ください,795
337,　,767
8,ある,759
178,⁡,759
285,スイーツ,733
477,暮らし,689
118,タイム,667
284,グルメ,663
42,おり,620
88,美味しい,602
343,ランチ,597
10,香り,572
38,♪,550
192,ドリンク,547
264,食べ,537
75,繋がり,507
1325,⁡⁡,454
94,今日,451
161,いる,443
341,なり,441
692,する,432
129,アイスティー,426
1547,゙,423
927,限定,418
305,ケーキ,415
346,巡り,410
24,み,410
536,tea,385
373,ピーチ,380
334,桃,380
413,ドライ,376
5,ハーブ,371
447,なっ,371
300,営業,365
632,入っ,361
108,楽しみ,347
188,あり,339
454,季節,335
564,パフェ,330
375,オレンジ,328
198,コーヒー,325
505,味,323
1255,大阪,310
595,dozofreesh,306
557,♡,306
28,☺,304
537,cafe,303
1446,販売,302
905,使用,301
910,いただき,299
174,ー,299
756,台湾,295
583,入れ,295
30,本日,294
1224,葉,294
138,テイクアウト,284
544,花,283
426,商品,276
246,いい,272
1276,珈琲,269
718,手作り,268
34,き,267
41,お待ち,266
827,大好き,263
86,甘,262
1982,いちご,262
324,アイス,258
66,専門,257
610,おすすめ,255
239,暑い,253
190,なる,251
335,～,249
485,写真,242
614,紹介,241
2395,レモン,240
23,飲ん,234
658,東京,232
328,セット,232
594,爽やか,232
407,☕,230
473,楽しむ,229
37,飲み,226
1928,マンゴー,223
840,日本,222
48,駅,222
554,サンド,221
568,美味しかっ,214
817,いたし,214
811,ソーダ,213
241,カフェイン,211
1116,でき,209
607,お願い,209
561,種類,203
637,味わい,203
102,出し,199
440,❤,199
699,‍♀,196
142,投稿,194
695,芳醇,193
757,肉,192
416,フレーバー,192
894,‼,189
754,名古屋,186
476,プレゼント,186
252,イベント,181
913,予約,179
366,メニュー,179
15,嬉しい,178
329,贅沢,175
186,行っ,174
331,美味しく,174
1093,生活,173
1013,一緒,172
171,かき氷,172
302,❣,171
40,来店,171
1403,静岡,170
782,定休,170
2200,パン,170
16,ブレンド,168
2000,ベリー,168
1262,ミルク,168
2496,ソムリエ,167
888,あっ,166
172,活,166
758,団子,165
814,補給,164
437,頂き,163
17,ご飯,162
89,キウイ,161
238,キャンペーン,161
12,美容,160
745,･,160
577,パイナップル,158
630,人気,158
1752,レシピ,157
2115,キッチン,157
1534,明日,157
1263,アフタヌーン,156
434,素敵,156
1448,店舗,156
654,料理,156
1725,褒美,155
292,１,154
132,official,153
323,⭐,150
650,アカウント,150
742,できる,149
1803,果物,149
794,中華,149
1443,期間,148
633,果実,147
812,水分,147
47,札幌,147
381,ホット,147
1556,可愛い,146
865,いただい,146
311,た,146
2288,出店,145
1078,開催,144
856,焼き,143
935,試し,143
1591,応募,142
496,たっぷり,140
1727,杯,140
2755,当選,140
380,街,139
242,teatime,139
770,☀,138
159,氷,138
1731,アレンジ,138
499,種,137
442,朝,137
589,れる,137
6936,╌,135
5749,熊本,134
3071,い,134
1124,作り,133
919,思い,132
448,笑,132
2764,抹茶,131
27,くれ,131
223,心,131
204,作っ,130
500,甘い,130
374,アップル,129
112,女子,129
2673,東川,128
286,情報,128
627,食,128
649,公式,127
579,パッション,126
1232,用意,126
150,美味し,125
322,メロン,125
209,お菓子,125
857,菓子,125
773,愛知,124
90,酸味,124
1469,簡単,124
273,思っ,124
1487,ごはん,122
2024,税込,122
207,食べる,122
1243,京都,120
864,オススメ,120
2473,りんご,119
1951,ストロベリー,118
353,こ,118
191,良い,118
379,商店,118
1950,コメント,117
1218,甘み,117
1464,砂糖,117
1783,皆様,117
352,谷中,116
771,太平,116
193,気分,116
867,パンケーキ,116
1139,レッスン,116
1086,ない,115
1952,カフェラトリー,115
370,果肉,115
772,閣,115
2442,料,114
660,デザート,113
1040,幸せ,113
871,北海道,113
4269,占い,113
44,b,113
2593,はちみつ,113
32,飲む,113
606,是非,112
837,プリン,112
362,銀座,112
195,最高,112
582,ボトル,112
2103,クレープ,112
1393,和,111
248,フォロー,110
432,丁寧,110
294,２,109
1624,健康,109
304,来,109
1958,淹,109
405,｡,109
1657,パイン,109
