,word,count
10,ティー,7525
1,カフェ,4141
9,フレーバー,3584
164,好き,2644
196,ある,1510
24,香り,1422
55,茶,1384
98,✨,1374
241,tea,1197
111,お茶,1187
85,タイム,1178
87,スイーツ,1127
342,ください,1113
1036,　,996
215,繋がり,994
309,暮らし,966
1243,⁡,937
559,おり,922
336,フルーツ,774
216,専門,767
409,いる,722
761,⁡⁡,708
137,ケーキ,691
590,゙,662
56,葉,649
263,ランチ,648
513,限定,626
214,美味しい,605
471,アイスティー,591
205,する,590
964,わん,584
80,♡,566
427,出し,550
219,なり,541
154,☕,535
1675,大阪,530
1224,京都,510
926,東京,508
484,ミルク,496
88,グルメ,496
108,本日,481
117,営業,478
491,紹介,477
360,ムレスナティー,470
414,商品,463
886,ハーブ,461
438,巡り,459
99,今日,427
276,ブレンド,427
335,♪,424
69,楽しみ,422
481,なっ,419
86,ギフト,409
166,み,407
316,可愛い,394
345,予約,391
646,種類,391
41,和,384
21,☺,382
247,生活,377
184,あり,377
447,いただき,376
260,teatime,373
652,販売,370
84,バッグ,365
310,大好き,364
496,おすすめ,361
989,お客様,355
11,飲み,354
256,cafe,353
0,駅,351
475,グレイ,343
60,味,343
57,使用,342
561,お待ち,341
606,花,341
514,メニュー,337
474,アール,334
109,お願い,332
1144,桃,331
273,ルピシア,331
261,コーヒー,328
344,アフタヌーン,320
227,～,319
1089,１,312
89,食べ,312
285,き,312
92,レモン,312
891,セット,305
782,いい,305
339,店内,304
91,爽やか,302
1376,福,298
871,投稿,297
581,チーズ,296
719,プレゼント,295
29,❤,293
849,いただい,293
1558,店舗,290
501,アカウント,287
1484,いたし,287
728,写真,285
684,素敵,284
136,ドリンク,281
71,た,275
1671,天王寺,271
456,季節,270
128,日本,270
305,ー,269
1192,神戸,269
1559,駐車,265
1164,情報,263
610,味わい,263
463,緑茶,262
750,オレンジ,257
681,利用,250
70,い,250
935,ごはん,245
958,来店,242
1156,期間,242
488,れる,239
957,皆様,239
564,用意,237
1540,ソーダ,236
