,word,count
64,カフェ,2809
264,ティー,2144
59,好き,1400
1253,　,1050
478,ある,855
5,ケーキ,795
295,✨,791
321,スイーツ,774
379,茶,765
60,繋がり,694
282,tea,677
265,タイム,619
99,ください,611
482,コーヒー,605
183,ランチ,602
63,お茶,575
1595,⁡,573
23,グルメ,532
34,暮らし,532
242,香り,526
84,おり,516
332,英国,424
30,いる,422
283,アフタヌーン,422
413,専門,408
46,美味しい,400
326,スコーン,398
537,桃,398
529,巡り,393
180,あり,385
1171,菓子,356
543,cafe,346
93,なり,345
15,♪,345
2,今日,343
68,なっ,338
330,する,337
446,食べ,331
247,限定,330
187,珈琲,329
267,☕,324
1582,゙,322
102,～,305
80,フルーツ,291
104,営業,286
780,東京,285
38,本日,282
367,ミルク,282
1187,焼き,278
380,葉,276
89,み,272
214,いただき,270
69,き,263
376,パン,255
1095,名古屋,254
266,楽しみ,244
1593,⁡⁡,243
212,お願い,239
108,販売,237
2142,大阪,231
524,駅,230
1047,お菓子,228
289,クリーム,226
591,味,223
51,アイスティー,223
1040,お待ち,222
158,予約,222
234,花,219
744,かき氷,218
281,teatime,217
6,大好き,212
12,アール,209
13,グレイ,208
2350,·,208
839,メニュー,206
415,☺,204
86,和,203
61,手作り,196
728,ー,194
74,商品,192
114,季節,184
648,でき,184
217,作り,183
684,来店,182
112,日本,181
77,紹介,180
514,１,179
189,投稿,175
629,イギリス,174
418,♡,173
470,京都,172
801,展,170
19,喫茶店,169
433,アイス,169
240,なる,167
299,いい,166
425,パフェ,165
654,写真,165
306,いたし,164
37,楽しむ,160
852,素敵,160
894,カレー,157
31,生活,157
166,下さい,156
722,れる,156
575,おすすめ,155
847,coffee,154
436,テイクアウト,154
1018,プリン,153
560,神戸,152
979,レモン,151
135,チーズ,151
105,行っ,151
339,⚪,151
1217,教室,150
990,活,148
2027,アンティーク,148
232,ドリンク,146
317,デザート,146
649,開催,143
62,ごはん,141
310,定休,140
1388,雑貨,140
2119,致し,139
276,お客様,137
140,使用,137
448,可愛い,137
76,カップ,137
54,料理,137
422,種類,137
273,店舗,136
449,❤,136
298,頂き,135
191,入れ,135
416,甘,135
1220,食,134
176,dm,134
10,味わい,132
751,オープン,132
2284,ギフト,132
50,出し,130
1471,ハーブ,129
368,飲み,128
718,バッグ,128
453,セット,128
497,良い,128
660,思い,128
94,是非,127
1358,情報,127
941,フレーバー,126
1941,‼,126
1521,タルト,126
429,美味しかっ,125
2320,購入,123
263,杯,123
672,ﾟ,123
