,word,count
33,–,3970
79,カフェイン,3454
81,カフェ,3370
80,レス,2452
39,珈琲,2383
75,　,1890
44,豆,1854
47,煎,1571
46,焙,1560
90,好き,1324
114,紅茶,1296
86,ある,1255
96,ティー,1071
91,繋がり,1010
66,coffee,927
74,販売,848
378,☕,804
110,ください,802
156,⁡,784
168,いる,763
38,暮らし,755
430,゙,677
49,自家,677
232,おり,675
629,妊娠,664
102,✨,657
353,する,636
138,ハーブ,583
172,あり,534
125,今日,494
21,アイス,484
682,なり,484
98,美味しい,482
12,使用,451
755,み,450
78,カフェインレスコーヒー,434
134,草加,430
371,タイム,430
174,なっ,408
149,⁡⁡,405
9,農薬,395
27,ドリップ,394
414,飲み,393
52,営業,389
48,専門,389
124,お願い,388
1286,出店,377
243,味,372
537,香り,371
236,ー,370
94,本日,368
141,ギフト,365
140,バッグ,347
195,ケーキ,338
1491,イベント,337
1356,飲ん,337
366,グルメ,328
687,き,325
466,茶,323
565,ママ,322
1159,いただき,322
17,栽培,321
186,なる,320
218,生活,320
287,食べ,308
321,横浜,305
370,巡り,299
30,楽しみ,295
967,ブレンド,289
830,１,287
211,☺,284
212,⁡⁡⁡,279
139,オーガニック,278
128,日日,276
129,是,276
130,好日,276
132,メガネ,276
825,札幌,276
120,いい,273
857,ドリンク,270
634,煎り,268
210,紹介,268
420,商品,268
329,焼き,268
397,れる,266
1365,名古屋,265
346,下さい,260
417,おすすめ,259
612,投稿,246
709,粉,245
938,夜,242
82,有機,242
290,ランチ,241
77,自然,240
65,https,239
610,飲む,239
3,限定,237
1577,いたし,234
867,テイクアウト,232
10,化学,231
924,出し,226
333,ショップ,225
323,長津田,225
520,お茶,225
259,妊婦,224
548,でき,223
905,朝,221
11,肥料,221
384,♪,218
252,デ,216
1659,種類,213
32,嬉しい,213
510,予定,210
373,パン,208
1253,米,207
294,た,206
227,致し,206
334,オープン,205
827,平岸,205
1265,こ,204
229,お客様,203
700,思い,203
702,良い,203
133,和,201
392,カフェオレ,200
545,～,200
613,♡,199
330,菓子,197
5,用意,195
126,笑顔,195
296,暑い,194
462,健康,192
68,jp,191
2,期間,189
249,ない,188
432,スイーツ,186
56,定休,186
35,身体,186
41,し,185
810,思っ,185
672,生,184
320,神奈川,184
896,い,184
355,お待ち,183
1256,゚,181
34,心,180
1928,メニュー,180
360,開業,179
2319,フルーツ,179
1387,愛知,179
359,店舗,177
391,‍♀,176
263,是非,176
489,情報,174
1570,来店,172
