,word,count
10,紅茶,2446
20,ティー,1770
35,好き,1209
554,゙,1186
136,京都,1104
50,lipton,1050
157,カフェ,807
19,ミルク,627
36,繋がり,565
28,✨,546
562,゚,527
764,　,525
60,限定,464
109,スイーツ,461
383,チョコ,439
115,味,431
57,今日,422
74,ある,411
255,香り,385
234,ガチャガチャ,365
385,ラテ,358
59,期間,336
203,み,328
349,♪,321
152,する,315
80,tea,314
64,発売,312
160,ケーキ,310
418,ボール,305
180,タイム,304
9,商品,301
33,当選,301
215,ガチャ,299
128,アイスティー,284
240,食べ,281
848,抹茶,279
396,いる,278
1179,⁡,275
11,大好き,269
1386,⁡⁡,269
351,なっ,264
161,美味しい,263
127,出し,261
158,☕,256
271,応募,255
834,なり,254
493,飲ん,237
110,パフェ,233
101,フルーツ,230
602,リフ,227
56,～,224
686,ください,222
248,❤,201
1432,茶,200
134,つながる,198
254,いい,196
18,レモンティー,193
195,あり,192
239,☺,192
260,入れ,191
206,グルメ,190
12,ー,189
75,暮らし,186
440,ミニチュア,184
106,フルーツインティー,183
55,投稿,181
563,トン,181
89,き,179
707,アイス,178
167,笑,176
956,レモン,166
68,飲み,165
298,アール,163
299,グレイ,162
29,コラボ,160
447,活,159
1444,甘い,158
675,いただき,157
4,キャンペーン,157
645,美味しかっ,155
137,駅,154
225,なる,153
387,甘,152
470,♡,152
1167,アカウント,151
424,ドリンク,151
718,味わい,150
266,フォロー,149
207,ランチ,148
352,買っ,145
151,紹介,143
278,パン,143
442,ロイヤルミルクティー,142
588,写真,138
41,ゼリー,137
58,コンビニ,137
246,japan,136
683,営業,133
1231,巡り,132
523,販売,132
1590,条,131
415,クリーム,129
307,ml,129
421,入っ,129
329,お茶,129
302,レシピ,128
1586,思っ,126
46,可愛い,126
280,プレゼント,125
333,あっ,123
1438,葉,123
1837,缶,121
297,楽しめる,121
538,フレーバー,120
1080,でき,119
703,季節,119
198,朝,118
305,バッグ,118
437,森永乳業,117
1494,牛乳,117
34,懸賞,117
53,購入,117
1155,いちご,116
476,ごはん,115
355,ピーチ,113
111,氷,112
528,公式,112
212,おすすめ,111
327,一緒,110
413,三条,110
140,ポルタ,108
550,こ,107
1098,弁当,106
76,生活,105
1767,飲み物,105
130,リラックス,105
666,食,104
281,おり,104
217,ポーチ,103
541,種類,102
263,使用,101
746,イエロー,101
324,爽やか,101
414,本店,101
345,行っ,100
2,official,100
291,楽しみ,100
27,思い,99
365,ない,99
1923,プリン,99
1698,情報,98
91,タンブラー,98
1924,❣,98
3133,香港,97
129,癒し,96
358,コーヒー,96
719,カップ,95
146,店舗,94
536,おいしい,94
1183,‍♀,93
386,！,93
1354,クッキー,93
429,かわいい,92
23,最近,92
1143,桜,92
282,アップル,91
315,ミント,91
216,詰め,91
598,日本,91
1285,１,90
148,kyoto,90
31,お菓子,89
965,さくら,89
82,大阪,89
674,濃厚,88
356,オレンジ,88
306,袋,88
0,kasugai,88
747,ラベル,88
1316,気分,87
279,セット,87
580,フ,87
1853,イラスト,87
67,出,87
560,ハ,86
423,チョコレート,85
1129,簡単,85
503,パッケージ,84
1722,いたし,83
921,•,83
431,パック,82
587,女子,82
1720,個人,82
449,トイ,82
913,来,82
419,ピーナッツ,81
155,teahouse,81
661,風味,81
750,teatime,80
209,観光,80
1387,撮り,79
399,メニュー,79
48,すぎ,79
448,カプセル,78
353,シリーズ,78
250,明日,78
16,食べる,77
695,ベリー,76
1313,カフェイン,75
1060,できる,75
164,美味し,75
2213,グミ,75
689,大切,75
265,記念,74
135,本日,74
5,春日井,74
70,２,74
1409,‼,73
357,飲む,73
1130,嬉しい,72
901,ハウス,72
1030,良い,71
654,instagram,71
1234,旅行,71
1109,使っ,71
715,くれ,71
6,製菓,70
1099,記録,70
1391,森永,70
828,連絡,70
993,東京,69
568,め,69
107,今年,69
966,花,69
539,オリジナル,69
237,リポスト,68
256,素敵,68
434,セブン,68
1325,雨,67
1078,全国,67
1917,キッチン,67
1628,ブランド,67
700,しよ,66
484,名古屋,66
238,頂き,66
1431,世界,66
181,仕事,66
221,好み,65
309,杯,65
211,サートーマスリプトン,65
1359,ジャスミン,65
168,苺,65
1473,す,65
552,焼き,64
420,物,64
177,登場,63
117,試し,63
2137,✅,63
105,ちゃう,63
972,れる,63
1082,デザイン,63
1697,お客様,62
427,･,62
469,家族,61
1,seika,61
332,くら,61
1828,ガシャポン,61
690,色,61
154,thomas,61
428,キョロ,61
1733,モン,60
817,届け,60
412,リプトンカフェ,60
3186,られ,60
1463,ジャスミンミルクティー,60
1912,っ,60
153,sir,60
119,最後,60
2309,新作,59
1764,たべ,59
40,作り,59
187,デザート,59
445,種,59
3338,河原町,59
777,台湾,59
371,cafe,58
495,幸せ,58
849,税込,58
175,¥,58
275,フジパン,57
900,提供,57
1079,利用,57
318,作っ,57
1100,りんご,56
1110,アレンジ,56
827,dm,56
73,楽しむ,56
1434,産,56
430,紙,56
497,夜,56
573,友達,56
1734,テール,56
877,昨日,56
1214,お願い,56
885,入り,56
205,関西,56
2585,人気,56
15,リプトンティー,56
987,アフタヌーン,56
1957,⁡⁡⁡⁡,55
189,専門,55
122,お待ち,55
889,本,55
1919,シュークリーム,55
326,暑い,54
1886,スコーン,54
409,贅沢,54
1474,ぐらむ,54
534,ブレンド,54
1294,土産,54
637,コメント,54
544,ボトル,53
1305,ﾟ,53
1583,レス,53
2380,miniature,52
2797,時代,52
360,お気に入り,52
1826,セーラー,52
2576,チーズ,52
123,fruitsintea,52
95,fruits,52
1744,いただい,51
432,飲料,51
1069,本格,51
1204,確認,51
364,スーパー,51
1768,チョコボールピーナッツ,51
670,生地,51
1513,推し,51
1827,ムーン,51
1443,liptontea,51
2133,３,50
336,ローソン,50
1959,みかん,50
836,注意,50
304,グラス,50
1687,価格,50
1933,最高,50
3006,♥,49
118,みる,49
1829,ガチャポン,49
615,かき氷,49
2544,住所,49
1621,カレー,49
