,word,count
53,ハーブ,3157
18,ルイ,2692
19,ボス,2690
857,　,2457
145,茶,2187
57,゙,1639
72,紅茶,1593
17,お茶,1545
4,ルイボスティー,1527
620,包,1252
265,カフェイン,1239
492,ある,1080
55,ブレンド,977
21,カフェ,967
134,する,905
33,好き,896
28,健康,847
156,いる,801
186,香り,762
121,タイム,749
14,✨,714
161,ください,698
313,税込,684
838,肌,666
25,暮らし,614
293,飲み,582
462,あり,581
162,tea,579
379,生活,566
1252,パック,561
126,今日,549
1163,１,546
1598,なり,525
887,おすすめ,509
740,商品,507
398,美味しい,503
713,漢方,501
160,み,480
1678,⁡,478
40,おり,477
840,ケア,474
212,種類,462
364,なっ,461
349,リラックス,449
211,味,439
51,なる,438
197,葉,424
299,試し,422
755,ローズ,418
871,¥,414
180,出し,407
631,いい,403
205,バッグ,396
521,効果,393
394,レモン,384
555,酸化,380
1532,０,375
735,美,371
957,繋がり,370
748,ダイエット,369
698,腸,369
44,飲ん,369
1026,ギフト,365
657,き,358
22,セット,358
556,作用,354
567,美容,354
956,販売,352
325,オーガニック,350
147,限定,348
623,でき,327
85,゚,324
454,水分,321
1818,免疫,314
175,rooibos,314
220,ルイボス,312
742,エソラ,310
756,ヒップ,310
453,改善,308
1802,♔∴∵∴♔∴∵∴♔∴∵∴♔∴∵∴♔∴∵∴♔,306
167,専門,301
442,ミネラル,296
113,カモミール,293
399,～,292
361,購入,289
294,やすい,283
347,ミルク,281
1431,致し,276
1740,herb,272
1422,活,270
47,食べ,269
758,薬,269
666,入れ,268
241,いただき,267
875,‍♀,267
396,フルーツ,264
1798,厳選,264
290,♪,262
198,使用,261
2007,ハイビスカス,261
310,発送,259
512,れる,257
1258,色,257
240,紹介,256
845,乾燥,255
846,対策,253
1036,苦手,253
32,自然,250
1024,プレゼント,250
843,保,246
506,植物,245
1829,全国,241
517,細胞,239
844,湿,238
237,本日,237
669,楽しむ,232
52,楽しみ,232
478,身体,231
455,補給,231
726,作っ,228
1210,５,228
0,朝,228
288,できる,227
868,有機,225
207,グラス,223
122,ルピシア,222
387,ジンジャー,221
504,環境,221
60,季節,220
120,☕,219
601,飲む,218
879,☺,215
1383,楽天,215
1388,♦,215
863,アップ,215
661,♡,212
806,オススメ,211
1503,ー,211
2951,⁡⁡,207
509,成分,206
839,スキン,203
118,巡り,201
170,緑茶,201
111,ルイホ,200
38,フレーバー,200
1804,noix,197
1805,coco,197
1209,２,196
596,便秘,196
200,味わい,193
2099,https,193
286,入っ,191
1604,日本,191
2513,･,187
358,くれ,185
71,コーヒー,185
452,睡眠,185
1801,下さい,184
296,美味しく,184
903,オリジナル,183
274,入り,182
1375,サポート,182
448,レス,180
1554,思い,179
386,シナモン,178
494,良い,178
814,‼,178
518,活性,176
354,スパイス,172
181,アイスティー,172
1446,美肌,171
878,お待ち,171
854,幹,171
271,ホット,170
1803,∴∵∴♔∴∵∴♔✨,168
750,黒豆,168
540,ない,167
1823,∴∵∴♔∴∵∴♔,167
74,人気,167
963,店舗,165
966,札幌,165
964,営業,164
564,酸素,163
702,女性,163
749,ルイボスティ,162
279,高い,161
753,玄米,161
255,種,161
484,い,160
188,オレンジ,159
90,スイーツ,156
831,ゲル,156
2013,ランチ,156
11,大好き,155
249,南アフリカ,155
105,teatime,155
832,化粧,154
1007,お願い,153
1118,使っ,152
289,嬉しい,152
82,ハーフ,152
1390,袋,152
344,習慣,151
332,夜,151
837,敏感,150
2418,ビタミン,149
282,お湯,148
88,用意,148
266,含ま,148
2102,jp,148
365,プロフィール,147
2654,紫外線,147
542,グリーンルイボス,146
859,ポリ,146
520,くれる,145
841,アンチエイジング,145
206,杯,144
356,心,143
193,❣,143
1869,⊿,142
405,g,142
884,ボトル,142
2236,温,141
1009,カレルチャペック,141
2450,甘い,141
847,白,141
664,クッキー,140
390,風味,139
485,た,139
586,予防,139
926,症,138
860,フェノール,137
41,効能,137
632,得,137
606,られ,137
1833,ごはん,135
762,お腹,135
1879,糖,135
629,作り,134
351,ストレス,133
1011,ほうじ茶,133
1411,膳,133
163,lupicia,133
1368,食品,132
883,マイ,131
1573,発売,131
715,七美,131
2566,出,131
1440,❤,131
1718,求め,131
538,爽やか,130
437,novatec,130
1830,一律,130
63,注文,129
616,なく,129
2346,素敵,129
62,こ,128
1096,あっ,127
357,癒し,127
239,ドリンク,126
42,思っ,126
203,簡単,126
962,室蘭,126
757,ごぼう,125
1880,　▶,125
109,オーカ,124
777,気持ち,124
615,最高,124
628,写真,124
842,エイジングケア,124
1272,４,123
1394,クリーム,123
589,アレルギー,123
194,是非,123
1012,和,123
2131,花,123
214,アール,122
872,豊富,122
1385,買い物,121
1335,料理,121
1374,配合,121
95,気分,121
275,最近,121
3263,笑,121
373,リフレッシュ,121
215,グレイ,120
479,優しい,120
752,キャンドル,119
877,来店,119
97,一緒,119
1201,ケーキ,119
152,多い,119
1658,やすく,118
1078,栽培,118
1878,静岡,118
904,メディカル,118
772,店長,117
1187,チャイ,117
1290,元気,117
324,気軽,116
112,ス,115
466,安心,115
108,ミント,114
760,っ,114
1254,３,112
895,ペパーミント,112
947,ご覧,111
761,こり,111
409,好み,111
117,大切,111
439,テック,111
438,ノハ,111
1401,開催,111
1826,リーフ,110
486,だけ,110
1111,ショップ,110
763,本格,109
618,冷え,109
593,むくみ,109
6,official,109
602,お客様,108
1423,いたし,108
1398,！,108
1109,投稿,107
773,k,107
151,しまう,106
37,アロマ,106
996,可愛い,106
1384,市場,106
2073,明日,106
502,量,106
1357,グルメ,105
1669,花粉,105
830,スタアリィアイ,105
754,甜茶,104
1839,c,104
176,rooibostea,104
270,アイス,104
751,ゴールデン,103
1203,りんご,102
770,野菜,102
672,美味しかっ,102
2672,代謝,102
2146,仕事,102
295,時期,102
1395,クーポン,101
852,酸,100
2619,働き,100
414,加え,100
524,質,100
3,いただい,100
2074,パン,100
341,しまい,99
50,今年,99
634,いか,99
525,バランス,98
891,マテ,98
342,疲れ,98
3011,cafe,97
24,丁寧,97
182,シリーズ,97
2367,ベース,97
1397,期間,96
208,ml,96
489,保存,96
2401,駅,96
1448,ローズマリー,95
210,✅,95
2158,いちご,95
447,食材,95
2788,▶,95
660,甘,95
1350,情報,95
3136,原因,94
663,手作り,94
1813,）♦,94
2764,桜,94
765,漢方薬,94
850,コラーゲン,94
449,飲料,94
1821,試せる,94
897,暑い,94
67,リンク,94
849,セラミド,93
932,栄養,93
166,世界,93
1894,持参,93
1618,頂け,92
1827,ｇ,92
635,が,92
1105,頂き,92
2344,綺麗,91
1828,　¥,91
987,チャタイム,91
638,オンライン,91
528,発酵,91
1806,ﾉﾜ,90
1103,おいしい,90
1807,ﾄﾞ,90
719,♬,90
1808,ｺｺ,90
1825,　　　¥,90
551,通常,90
1824,　　　　¥,90
264,ポイント,90
759,ぽ,90
766,本舗,90
764,煎じ,89
1149,言わ,89
477,飲める,89
545,良く,89
2329,女子,89
1970,で,89
986,蘭子,88
519,機能,88
1299,山田,88
2541,予約,88
701,不足,88
864,期待,87
1442,カラダ,87
29,食,87
848,肌荒れ,87
614,食事,87
1220,。,87
2385,東京,87
1300,詩子,86
284,抽出,86
2596, ,86
431,dm,86
204,楽しめる,85
406,砂糖,85
693,パッケージ,85
371,整える,85
336,し,85
30,レシピ,85
2597,デトックスウォーター,85
1871,手軽,84
911,解消,84
1405,行っ,84
1713,生姜,84
931,ヒュウガトウキ,84
1858,価格,84
1630,いき,83
1517,添加,83
329,organic,82
2352,原材料,82
534,希少,81
96,合わせ,81
1282,p,81
440,スティー,81
140,届け,81
445,ン,81
559,倍,81
856,液,81
2084,・,81
217,グリーン,80
1186,②,80
2941,⁡⁡⁡,80
189,アップル,80
1286,楽しめ,79
2253,感謝,79
1053,オーガニックハーブティー,79
598,血,78
381,寝る,78
539,クセ,78
1797,ブレンドハーブティー,78
744,サイト,78
2587,日焼け,77
767,アレンジ,77
1809,✨♦,77
2324,デトックス,77
423,容器,77
2061,すぎ,77
261,ら,77
1386,マラソン,76
2697,レッド,76
836,baby,76
11135,♒,76
2368,ベリー,76
835,マイルドゲルクリーム,76
1146,①,76
1704,産,76
238,お気に入り,75
392,やさしい,75
1677,キャンペーン,75
2341,準備,75
788,つけ,75
3290,大阪,75
1820,なし,75
277,飲み物,75
1021,琴似,75
1792,甘み,74
315,無料,74
813,買っ,74
2098,％,74
116,゙りたい,73
2229,チョコ,73
2101,rakuten,73
1921,クリスマス,73
1898,テイクアウト,73
928,感じる,73
2213,オーガニックルイボスティー,73
115,繋,72
2580,煮,72
2832,かけ,72
2345,オーガニックハーブティ,72
2763,め,72
704,ホルモン,72
3278,くる,72
1339,スーパー,72
1800,星,71
61,アフタヌーン,71
276,自宅,71
1919,japan,71
2028,昨日,71
1625,問い合わせ,70
994,シロップ,70
1041,出来,70
1460,ママ,70
2585,香料,69
1293,karelcapek,69
1834,noixdecoco,69
1170,焼き,69
716,食物,69
446,飲食,69
2904,イベント,69
522,いっ,68
4399,ホワイト,68
434,く,68
1799,ツ,68
691,素材,68
1661,物,68
1023,西,67
712,状態,67
1668,物質,67
4247,ヨガ,67
670,マンゴー,67
2736,キレイ,67
2152,缶,67
3884,忘れ,67
1691,公式,67
988,北海道,67
467,jas,67
110,ニック,67
532,特徴,67
4400,デー,67
2372,ネトル,67
603,声,66
1470,妊娠,66
851,ヒアルロン,66
510,たっぷり,66
1895,安く,66
76,フ,66
311,可能,66
825,予定,66
1790,バニラ,66
3974,サロン,66
1434,神戸,66
4363,ワイン,66
2238,カロリー,66
1216,幸せ,66
731,整え,66
690,美味し,65
1683,注ぐ,65
1881,バラ,65
1114,本,65
975,家族,65
1585,詳細,65
1010,麦茶,65
314,送料,65
1131,メニュー,65
443,ウ,65
234,☀,65
1207,ジャスミン,65
1240,せる,65
228,香る,65
417,温め,64
2683,≪,64
70,シ,64
1889,open,64
1749,々,64
4287,症状,64
1897,箱,64
236,スタッフ,64
287,作る,64
2607,受賞,64
1819,ボックス,64
35,考え,64
3113,com,64
1496,気温,63
2681,がち,63
114,ホテル,63
2269,食べる,63
46,菓子,63
1262,きれい,63
679,土産,63
148,登場,63
1123,いただける,63
441,レシヒ,63
444,ィーカ,63
1192,③,63
802,甘く,63
10,カップ,63
1877,マグティー,62
320,利用,62
2604,最大,62
523,か,62
1095,酸味,62
989,伊達,62
433,連絡,62
488,剤,61
2191,酵素,61
1744,オリジナルブレンドハーブティー,61
3062,drink,61
1054,ラベンダー,61
2571,悩み,61
1876,mugtea,61
961,人参,61
190,ストロベリー,61
2348,dana,61
3323,頂い,61
1538,皮,61
5060,シミ,60
377,休み,60
179,リプトン,60
3607,癒さ,60
456,【,60
191,ラズベリー,60
1129,instagram,60
1675,日常,60
2702,横浜,60
1045,使い,60
604,よく,60
1815,向け,59
668,楽しい,59
2934,試飲,59
662,お供,59
834,雫,59
465,こだわり,59
1831,デトックスティー,59
2743,みかん,59
2168,来,59
2606,ランキング,59
2427,ん,59
1310,チーズ,59
2483,科,59
1534,塩,59
2404,マッサージ,59
2588,止め,59
1654,烏龍茶,59
159,チェック,59
451,ネシウム,59
450,マク,59
1177,豆乳,58
853,ヒト,58
3382,egf,58
1591,当選,58
1341,フリー,58
855,培養,58
2335,体調,58
1120,タイプ,57
83,ニックルイホ,57
2967,バター,57
2595,風,57
337,まっ,57
1428,飲め,57
727,当店,57
1530,はちみつ,57
1888,南,57
717,繊維,57
458,好評,57
425,冷蔵庫,57
4008,寒い,57
833,ダイヤ,57
876,皆さま,56
2185,ゼロ,56
901,堂,56
2737,過ごし,56
2586,herbtea,56
49,お菓子,56
1468,やっ,56
820,強い,56
1545,部分,56
436,スティーショッフ,56
515,吸収,56
3084,ﾟ,56
590,アトピー,56
3355,お話,55
1025,贈り物,55
298,皆様,55
633,られる,55
1127,shop,55
2698,エルダーフラワー,55
3937,line,55
2940,教室,55
395,ジャム,55
626,水出,54
2343,仙台,54
2082,相談,54
482,妊婦,54
2065,療法,54
2685,≫,54
3765,​,54
3311,ふ,54
246,ハニーブッシュ,54
1814,ビギナー,54
565,老化,54
1421,講座,53
570,除去,53
1119,ペットボトル,53
3629,おいしく,53
2850,いく,53
1302,yamadautako,52
457,green,52
2605,品評,52
1135,通販,52
1487,❗,52
5433,梅,52
