,Caption,np,judge
1470,おはようございます。仙台は激しい雨。久しぶりにまとまった雨が降っています。視界が悪いので気をないといけませんね。では、紅茶を飲んで行ってきます。#紅茶 #仙台紅茶部 #マグカップ #イッタラ #イッタラティーマ,-0.7573572222222222,n
1334,茶酒Tea Cocktail 2023 summer紅茶と桃No.15 Koucha rum / Red Perilla / Peach写真:山本康平#櫻井焙茶研究所 #sakuraijapaneseteaexperience #sakuraiteaexperience #sakuraiteashop #茶酒#teacocktail#summer#紅茶#Rum#赤紫蘇#桃#no15,-0.7559602499999999,n
798,#茶　#tea#紅茶  #Darjeeling#rejiig  #リジーク#伊勢丹新宿,-0.7290685,n
1372,レタッチバージョン#café #紅茶 #光 #影 #一眼レフ撮影#単焦点レンズ #単焦点レンズの世界,-0.69403375,n
229,紅茶と英国菓子の店『チャッツワース』にもカコフェスフライヤー＆ステッカー置いてもらってます！chatsworth_tearoom #紅茶 #英国菓子 #チャッツワース#加古川 #ベルデモール商店街 #カコフェス #KakogawaMusicFes,-0.6818367142857144,n
1606,"...満席になりましたありがとうございます🙇nanakamadoさんの薬膳茶の会にお菓子と共に参加いたします写真のヌガー・グラッセ、スミレとカシスのタルト、バスクチーズケーキ又はガトー・ショコラ、ちっちゃな焼き菓子を予定しておりますほかにもキッシュやコンポートなどなど考え中です♡.詳しくは nanakamado.yakuzen さんのインスタをご覧になって下さいませ🙇日時：10/7(土) 13時〜　場所：【古民家　力合terrace】　　　熊本市南区刈草２丁目６ー２２人数：７名会費：4,500円..#薬膳茶#紅茶#中国茶#フランス菓子#ヌガーグラッセ#熊本#お茶会#ワークショップ#kumamoto",-0.6744419166666668,n
559,なんとか歩いて池田駅まで戻り、カフェ・ド・クリエで水分補給。アイスティー頼んだのにアイスコーヒーかと思った😳🚗³₃あのあと更に面倒な事に…😩,-0.6741021666666667,n
1735,#夜おやつ #アジフライ #紅茶 #03092023,-0.6704395,n
1185,Devonshire Splits🇬🇧＊小さな丸パンに切れ目を入れてクロテッドクリームといちごジャムをはさんだデボンシャー・スプリットその昔「クリームティー」というとスコーンではなくこのデボンシャー・スプリットが提供されていたとのことです☕️ノスタルジックな見た目にキュン🥰＊久しぶりの手ごねパン明日は筋肉痛かも💦＊＊#デボンシャースプリット #デヴォンシャースプリット #英国菓子#イギリス菓子#紅茶#ティータイム#devonshiresplits #tea#teatime #herend,-0.6517236315789473,n
125,坐了長途車，喝杯茶緩解一下疲勞。喝茶你不必形色匆匆，不必光芒四射。#武夷山岩茶 #烏龍茶 #鐵觀音 #紅茶,-0.6514656875,n
1553,☆紅茶と米粉のお菓子先日、購入した　詠夢（aimeCafe）さんの紅茶とお菓子です。#紅茶#EARLGRAY#Theミルクティ！#米粉のお菓子#米粉のスイーツ#紅茶のパウンドケーキ#米粉のスノーボール#米粉のジャムクッキー#こごめばな#alleCafe#aimeCafe#詠夢さんの紅茶とお菓子#米粉スイーツの写真#ファインダー越しの世界#写真を撮るのが好き#CanonPowerShotG5XMarkⅡ♪詠夢さんの紅茶のお店　　https://ellecafe.thebase.in/,-0.6509718787878788,n
509,どうしても買ってしまう#ジャワティ #紅茶 #シンビーノ #新幹線 #javatea #大塚食品 #新富士 #富士市 #静岡,-0.6363636666666667,n
