,word,count
21,香り,43
34,飲ん,41
16,思い,36
1,購入,34
9,ティー,32
56,美味しい,30
57,味,28
60,やすい,26
20,良い,25
6,美味しく,24
84,飲む,23
50,入れ,22
10,好き,22
11,ハーブ,19
7,お茶,17
90,いい,15
4,あり,14
17,パック,14
65,出し,14
122,いる,13
125,ルイボスティー,13
150,なく,12
42,カフェイン,12
44,なっ,12
30,なり,11
123,入っ,11
95,お湯,11
13,ある,11
48,おいしい,11
55,飲め,10
39,ミント,10
32,する,10
70,パ,10
69,コス,10
40,強い,10
63,ヒップ,9
62,ローズ,9
135,やすく,9
59,すぎ,9
129,助かり,9
14,好み,9
99,美味しかっ,9
106,便利,9
114,リピート,9
38,良,8
66,色,8
35,買っ,8
81,タイム,8
163,酸味,8
26,良かっ,8
86,み,7
169,でき,7
72,飲める,7
46,カモミール,7
151,風味,7
43,安心,7
25,楽しめ,6
229,リラックス,6
85,思っ,6
124,得,6
94,量,6
12,スパイス,6
79,なる,6
113,容量,6
132,大好き,6
239,良く,6
82,過ごせ,5
160,強く,5
115,出,5
138,煮,5
216,買え,5
185,癖,5
187,レモン,5
171,普通,5
93,商品,5
162,楽しみ,5
29,紅茶,5
195,ローズヒップティー,5
24,気分,5
133,リピ,5
80,おしゃれ,5
73,よく,5
118,バッグ,5
136,安い,5
33,寝る,5
67,クセ,5
167,飽き,5
211,甘,4
168,水出,4
51,あっ,4
2,ルピシア,4
58,強,4
3,残念,4
128,期待,4
173,満足,4
176,濃く,4
177,入れる,4
107,優しい,4
142,茶,4
8,フレーバー,4
240,癒,4
53,苦手,4
101,値段,4
75,近所,4
253,試し,4
19,箱,4
140,沸かし,4
68,分かれる,4
36,ロハコ,4
74,出る,4
23,ブレンド,4
158,チャイ,4
89,身体,4
152,よい,3
159,ジンジャー,3
161,一番,3
154,ボトル,3
139,濃い,3
179,嬉しい,3
234,最近,3
273,ステビア,3
268,綺麗,3
252,よかっ,3
250,ピッコロ,3
249,みよ,3
246,問題,3
243,薄い,3
242,癒さ,3
241,お気に入り,3
237,しまい,3
232,リフレッシュ,3
182,買い,3
231,はちみつ,3
144,ルイ,3
227,温まり,3
221,生姜,3
218,酸っぱい,3
210,湯,3
208,高い,3
198,ん,3
197,楽し,3
196,おり,3
145,ボス,3
278,素材,3
45,愛飲,3
98,置い,3
104,食べ,3
109,き,3
54,ミルク,3
61,包装,3
31,定期,3
102,安く,3
64,酸っぱ,3
71,カフェ,3
117,ml,3
49,甘い,3
100,少ない,3
105,甘味,3
92,フルーツ,3
225,シナモン,2
214,イニング,2
238,ホット,2
215,リプトン,2
235,ペパーミント,2
87,スプーン,2
217,夜,2
83,初め,2
233,普段,2
224,子供,2
220,気に入り,2
78,転換,2
230,効果,2
76,成城,2
228,欲しい,2
77,石井,2
222,キツ,2
223,られ,2
226,効い,2
219,清涼,2
143,葉,2
47,すっ,2
257,種類,2
277,バニラ,2
5,オーガニック,2
272,リコリス,2
271,愛用,2
270,長年,2
269,０,2
15,買う,2
265,冷やし,2
264,まっ,2
262,ピーチ,2
261,母,2
260,有機,2
258,番,2
256,ルイボスティ,2
146,に,2
255,にくい,2
254,価格,2
18,カラフル,2
22,見た目,2
251,妊娠,2
27,パッケージ,2
28,かわいい,2
248,湯量,2
247,含ま,2
245,注ぐ,2
244,しまっ,2
37,安かっ,2
41,夕食,2
213,トワ,2
212,通り,2
88,コップ,2
120,十,2
174,見つけ,2
110,スーパー,2
91,ドライ,2
111,買わ,2
170,水筒,2
112,家族,2
116,手軽,2
166,暑い,2
165,毎年,2
164,向け,2
119,最初,2
121,分,2
178,サイズ,2
126,少なく,2
127,口コミ,2
130,麦茶,2
157,くれ,2
156,強め,2
155,異国,2
131,沸騰,2
153,会社,2
134,袋,2
141,入り,2
149,でる,2
175,薄く,2
172,頂き,2
180,お買い得,2
194,感想,2
209,販売,2
207,割,2
206,温かい,2
205,ン,2
204,ポ,2
203,１,2
202,職場,2
201,妊活,2
199,変わら,2
96,注い,2
97,長め,2
200,しれ,2
193,作る,2
186,ない,2
181,休業,2
183,紐,2
184,付い,2
192,ルイボス,2
103,健康,2
0,贈り物,2
188,多め,2
189,個人,2
190,濃,2
191,独特,2
263,は,1
266,楽,1
108,で,1
236,はまっ,1
259,気,1
137,やかん,1
148,気に入っ,1
274,し,1
275,や,1
276,かん,1
147,くい,1
267,しん,1
