,word,count
0,美味しい,69
11,購入,45
23,飲ん,41
3,味,34
20,甘,34
41,牛乳,31
24,おいしい,29
37,飲み,25
14,好き,24
87,ミルク,23
25,子供,22
47,思い,19
56,み,17
59,すぎ,17
100,ある,16
134,いる,16
162,溶け,16
45,いい,16
209,子ども,15
46,商品,15
142,甘く,15
137,スティック,14
147,お湯,13
116,買っ,13
82,する,13
65,やすい,13
158,バンホーテン,13
17,なる,12
193,タイプ,12
104,良い,12
80,濃厚,12
81,甘い,12
54,大人,12
63,飲む,12
149,買い,12
67,なり,11
188,便利,10
222,粉,10
9,飲め,10
195,あり,10
292,ピスタチオ,9
94,リピート,9
153,砂糖,9
38,なっ,9
15,値段,9
90,作り,9
4,控えめ,8
320,糖,8
2,香り,8
265,袋,8
122,包装,8
161,質,8
148,カカオ,8
225,クイズ,7
255,こども,7
220,スプーン,7
103,リピ,7
75,美味しく,7
120,入っ,7
140,なく,7
245,ん,7
61,普通,7
49,栄養,7
31,コーヒー,7
18,冷たい,7
28,アイス,7
27,手軽,7
196,試し,6
16,おいしかっ,6
88,良く,6
202,思っ,6
178,風味,6
282,作っ,6
42,でき,6
159,好み,6
107,ホット,6
233,言っ,6
236,気に入っ,6
115,高い,6
33,スーパー,6
92,量,6
12,期待,5
302,一息,5
21,め,5
278,思う,5
175,あっ,5
112,濃い,5
96,お菓子,5
143,健康,5
124,くれ,5
129,美味しかっ,5
127,買え,5
154,足し,5
91,使用,5
311,母,5
247,本,5
58,入れ,5
57,通り,5
250,♪,5
232,いちご,5
308,缶,5
5,薄い,5
6,コク,5
126,売っ,5
53,やすく,5
219,喜ん,5
310,よかっ,5
145,溶ける,4
244,楽し,4
203,作る,4
132,寒い,4
34,見かけ,4
139,手間,4
241,混ぜ,4
329,オフ,4
263,可愛い,4
240,なら,4
26,大好き,4
187,簡単,4
330,カロリー,4
29,できる,4
10,美味し,4
216,楽しみ,4
253,ない,4
224,書い,4
229,種類,4
62,溶かし,4
114,ドリンク,4
313,しまい,4
106,寝る,4
39,一番,4
50,飲ま,4
125,得,4
113,チョコレート,4
246,パッケージ,4
181,良,3
185,うれしい,3
274,嬉しい,3
99,g,3
44,カルシウム,3
95,値上げ,3
174,安く,3
194,レビュー,3
13,最高,3
197,難しい,3
198,２,3
266,作れる,3
200,森永,3
190,使っ,3
128,助かり,3
204,入れる,3
102,価格,3
60,気に入り,3
239,朝,3
235,イチゴ,3
234,小学生,3
230,飽き,3
55,とれ,3
7,物足りない,3
221,かき混ぜ,3
8,しれ,3
217,一緒,3
215,き,3
214,で,3
211,探し,3
83,濃く,3
85,割っ,3
279,キャンペーン,3
123,よい,3
144,効果,3
121,満足,3
290,個人,3
289,曰く,3
105,夜,3
118,箱,3
295,冬場,3
160,人工,3
151,苦み,3
35,割高,3
110,出来,3
40,いっ,3
155,いえ,3
288,苦手,3
285,なかっ,3
141,使え,3
284,飲める,3
146,苦味,3
166,インスタント,3
299,濃いめ,3
312,破損,2
328,しまっ,2
314,梱包,2
324,かわいい,2
257,若干,2
325,程よい,2
254,普段,2
293,は,2
281,物,2
294,まり,2
252,悪く,2
251,アソート,2
316,だらけ,2
317,こぼれ,2
296,られ,2
318,嫌い,2
319,ラク,2
249,すごく,2
297,少量,2
321,消費,2
322,切らさ,2
248,付い,2
298,無く,2
323,パケ,2
315,入り,2
261,入院,2
258,づつ,2
259,主人,2
283,使える,2
304,やっ,2
332,ご時世,2
277,多い,2
276,言う,2
275,飲,2
273,増え,2
272,なぞなぞ,2
271,増やし,2
327,会社,2
270,息子,2
331,不味く,2
306,季節,2
269,安心,2
268,高め,2
267,楽しい,2
326,仕事,2
303,温まり,2
291,問題,2
307,今年,2
309,通年,2
301,時期,2
264,喜ば,2
262,あげ,2
280,買わ,2
260,今後,2
300,シリーズ,2
305,愛飲,2
167,混ぜる,2
243,残り,2
108,頂く,2
79,頂き,2
84,半分,2
86,店頭,2
89,お気に入り,2
93,無い,2
97,なくなっ,2
98,しまう,2
101,使い,2
109,気持ち,2
242,底,2
111,すごい,2
117,選び,2
119,大き,2
130,ー,2
131,早く,2
133,疲れ,2
138,計量,2
150,市販,2
78,甘み,2
77,作れ,2
76,知り,2
74,対策,2
19,欲しく,2
22,メーカー,2
30,ブレンディ,2
32,紅茶,2
36,急,2
43,助かっ,2
48,わかり,2
51,セノビー,2
52,比べる,2
64,なし,2
66,たま,2
68,ポリ,2
69,フェノール,2
70,れる,2
71,骨,2
72,粗しょう,2
73,症,2
152,強く,2
156,成分,2
157,バランス,2
212,使い切り,2
192,かかり,2
199,１,2
201,少ない,2
205,沸かし,2
206,かかる,2
207,ジュース,2
208,感覚,2
210,飲料,2
213,自身,2
163,にくい,2
218,溶かす,2
223,残る,2
226,解き,2
227,児,2
228,内容,2
231,来,2
237,笑,2
238,忙しい,2
191,調整,2
189,大きく,2
186,まとめ買い,2
172,癒さ,2
164,ダマ,2
165,温め,2
168,カフェ,2
169,モカ,2
184,強い,2
171,ハマっ,2
170,苦,2
173,合わせ,2
176,封,2
177,開け,2
179,本格,2
180,％,2
256,喜,1
182,気,1
183,に,1
135,お,1
136,菓子,1
286,し,1
287,まっ,1
333,なくなり,1
