,word,count
78,美味しい,385
136,インスタント,283
16,購入,264
21,飲み,260
10,味,260
11,香り,202
0,飲ん,179
46,飲む,145
242,手軽,144
119,良い,140
86,思い,137
51,いい,137
52,苦味,131
32,牛乳,126
92,やすい,123
191,カフェオレ,119
18,美味しかっ,114
108,好き,105
45,入れ,101
123,便利,98
23,美味しく,94
75,あり,92
9,飲め,92
184,アイス,91
41,溶け,89
99,飲める,80
182,コク,80
27,安く,78
233,ミルク,78
54,値段,77
29,おいしい,73
22,カフェイン,71
72,いる,70
115,ある,69
101,酸味,69
249,良く,67
201,なく,66
69,助かり,65
48,価格,60
110,でき,60
42,やすく,58
171,量,57
453,手頃,55
225,朝,54
33,する,53
97,普通,53
167,み,53
122,ドリップ,51
38,リピート,51
30,ブラック,50
100,嬉しい,50
37,レス,50
4,キャンペーン,49
39,買い,48
275,普段,48
20,ホット,47
140,商品,47
196,簡単,46
369,溶ける,46
5,得,45
49,安い,44
166,買っ,44
61,満足,41
164,好み,41
374,冷たい,41
379,あっ,40
66,瓶,40
111,良かっ,39
137,苦み,39
267,ない,38
114,よい,36
382,濃いめ,35
248,サイズ,35
28,できる,35
91,珈琲,34
299,なり,34
113,パ,33
395,タイプ,33
195,お湯,32
112,コス,32
204,なっ,32
157,ucc,31
103,強い,30
8,安心,30
376,よく,29
441,よかっ,29
406,重宝,28
59,気に入っ,28
133,杯,27
258,高い,27
134,買え,26
190,思っ,26
15,入っ,26
87,スーパー,25
180,なる,25
197,濃,25
192,定番,24
68,夜,24
47,お気に入り,23
79,リピ,23
126,パッケージ,23
224,忙しい,23
17,いただき,22
277,安定,22
3,レビュー,21
43,濃い,21
302,本格,21
261,クセ,21
544,職場,21
104,苦手,21
93,大好き,21
333,溶かし,20
289,粉,20
292,使い,20
401,作れ,20
469,美味し,19
268,容量,19
320,入れる,19
65,試し,19
106,られ,19
50,ありがたい,19
491,毎朝,18
130,使っ,18
199,出来,18
247,探し,18
116,味わい,17
415,おいしかっ,17
36,おいしく,17
563,派,17
360,濃く,17
499,深み,16
95,すぎ,16
77,楽しみ,16
186,苦,16
727,有機,16
436,主人,16
605,少なく,15
478,バランス,15
402,袋,15
83,風味,15
403,作れる,15
14,カフェインレスコーヒー,15
297,多い,15
209,メーカー,15
44,作っ,15
132,１,14
24,いただい,14
306,大き,14
124,マイルド,14
435,に,14
493,シリーズ,14
475,作り,13
467,き,13
239,作る,13
26,買う,13
644,深い,13
318,少ない,12
7,授乳,12
304,家族,12
85,番,12
241,会社,12
88,ロハコ,12
198,調整,12
40,少量,12
226,詰め替え,12
506,いれ,12
235,混ぜ,12
587,ダルゴナコーヒー,12
19,妊娠,12
373,楽しめ,11
599,程よい,11
384,季節,11
558,隠し,11
203,無く,11
178,コスパ,11
397,かわいい,11
246,小さい,11
728,栽培,11
434,気,11
310,た,11
290,強く,11
279,うれしい,11
74,替え,11
525,ストック,10
193,♪,10
380,割っ,10
442,期待,10
465,やすかっ,10
420,気分,10
378,カフェ,10
156,安かっ,10
347,ブレンド,10
461,気軽,10
522,マキシム,10
392,置い,10
427,割,10
89,愛飲,10
508,ぴったり,10
367,おり,10
281,カフェラテ,10
364,か,10
220,ん,9
121,頂い,9
271,しまう,9
312,淹,9
139,オススメ,9
489,砂糖,9
479,リーズナブル,9
614,しれ,9
527,使え,9
404,氷,9
470,気に入り,9
6,まとめ買い,9
90,上島,9
350,一番,9
579,常備,9
13,分,9
80,おすすめ,9
417,付き,9
147,しまい,9
340,から,9
334,飲ま,9
425,チャック,9
423,。,9
176,最近,9
358,入り,9
458,め,9
619,薄め,8
557,カレー,8
181,十分,8
175,すぎる,8
573,自宅,8
540,タイム,8
593,愛用,8
214,頂き,8
484,ボトル,8
590,豆,8
230,最高,8
227,売っ,8
202,頂け,8
608,利用,8
468,飽き,8
413,増え,8
270,薄い,8
612,違う,8
326,比べ,8
422,調節,8
274,ー,7
361,助かっ,7
282,在宅,7
424,最適,7
346,ゴールド,7
390,出し,7
389,可愛い,7
344,物,7
300,慣れ,7
31,物足りない,7
377,ネス,7
473,少なめ,7
447,不可,7
328,買える,7
321,０,7
496,たっぷり,7
400,夫,7
264,甘,7
149,甘い,7
541,一息,7
228,い,7
545,持っ,7
548,豊か,7
236,言っ,7
550,高く,7
183,強め,7
250,賞味,7
251,期限,7
577,られる,7
151,合い,7
569,にくい,7
623,昔,7
263,お買い得,7
98,寝る,7
547,変え,6
336,ドライ,6
446,可,6
646,後味,6
128,g,6
332,豆乳,6
449,粒,6
194,我が家,6
636,目覚め,6
399,カフェ・オ・レ,6
538,旦那,6
319,欲しい,6
317,通り,6
549,機会,6
414,時期,6
370,ペットボトル,6
187,感じる,6
345,変わら,6
562,リラックス,6
386,ジッパー,6
565,母,6
314,面倒,6
574,注ぐ,6
575,長い,6
408,くれ,6
609,♪。,6
366,出来る,6
163,無い,6
665,こく,6
466,使用,6
73,詰め,6
480,個人,6
71,可愛く,6
515,近所,6
283,勤務,6
255,梱包,6
278,残念,6
739,眠れ,6
474,いただけ,6
259,問題,6
530,キーコーヒー,6
55,まろやか,6
219,楽し,6
533,深め,6
221,開け,6
57,負担,6
359,ラテ,5
483,詰,5
576,味わえ,5
363,欠,5
692,おいし,5
668,注文,5
253,買い物,5
580,飲,5
254,丁寧,5
596,ゼリー,5
60,レギュラー,5
393,なら,5
603,流行り,5
125,ビター,5
654,見かけ,5
396,残り,5
356,容器,5
141,本,5
410,状,5
56,胃,5
615,温かい,5
618,久しぶり,5
391,場所,5
262,合わせ,5
637,薄く,5
313,れる,5
337,２,5
682,コロナ,5
237,通常,5
443,ビックリ,5
208,ラッキー,5
542,寒い,5
12,十,5
296,悪く,5
546,いっ,5
294,配達,5
295,もらえる,5
67,まとめ,5
349,一,5
177,選ん,5
351,思う,5
431,ビン,5
640,癒さ,5
678,苦く,4
502,高め,4
613,値打ち,4
686,手,4
405,夏場,4
537,すき,4
534,こ,4
492,で,4
676,タルゴナコーヒー,4
531,安価,4
464,とけ,4
472,粉末,4
430,軽い,4
524,主,4
487,易い,4
510,すごく,4
482,保存,4
426,使い勝手,4
511,大変,4
559,決定,4
551,マシン,4
663,深,4
504,溶い,4
589,時短,4
523,こだわり,4
598,香ばしい,4
444,なし,4
429,終わっ,4
688,日常,4
687,ごろ,4
118,意味,4
1,でる,4
148,程よく,4
150,お菓子,4
154,交互,4
96,為,4
158,ザ・ブレンド,4
335,スプレー,4
162,クーポン,4
165,ほろ苦い,4
179,ブランド,4
786,贅沢,4
82,必需,4
200,癖,4
207,消費,4
315,勧め,4
311,だけ,4
308,たま,4
212,くれる,4
303,子供,4
757,欲しく,4
284,お供,4
754,お,4
753,スヌーピー,4
240,ふつう,4
394,種類,4
269,いう,4
266,わかり,4
265,訳,4
257,上品,4
722,感謝,4
63,過ぎる,4
375,溶かす,4
355,しよ,4
142,ラベル,4
362,バリスタ,4
135,ほろ苦く,4
781,義父,4
372,お家,4
117,言う,4
217,過ぎ,3
222,瞬間,3
652,昼間,3
677,意外,3
223,お茶,3
536,だい,3
70,小さめ,3
216,まずい,3
756,かから,3
679,無くなっ,3
755,目,3
624,料理,3
680,やっ,3
604,好評,3
234,評価,3
243,付い,3
789,ブレンディ,3
512,はちみつ,3
513,いれる,3
514,温め,3
109,アウトレット,3
642,店舗,3
681,届き,3
628,ま,3
518,ネット,3
519,ロ,3
633,おき,3
520,ハコ,3
127,求め,3
621,あまり,3
647,深く,3
620,朝食,3
539,書い,3
570,シール,3
606,大きい,3
144,かけ,3
597,思え,3
153,続け,3
591,挽い,3
610,スティック,3
661,イメージ,3
611,両方,3
159,正直,3
160,違っ,3
667,良,3
138,ok,3
170,内容,3
771,煎,3
770,焙,3
211,配送,3
252,長く,3
566,喜ん,3
102,強,3
784,変わり,3
560,コンパクト,3
556,素敵,3
553,びっくり,3
552,行く,3
616,印象,3
787,娘,3
617,欠か,3
783,位,3
543,無くなり,3
657,程,3
568,ほしい,3
521,多め,3
451,スプーン,3
736,し,3
463,とら,3
323,苦い,3
730,小さく,3
456,ココア,3
454,暑く,3
699,足し,3
329,今後,3
330,いき,3
445,買わ,3
339,イイ,3
341,控えめ,3
342,販売,3
704,ストレート,3
705,最後,3
432,出,3
428,かっ,3
