,word,count
35,カフェイン,21
31,購入,16
25,美味しい,13
88,飲ん,13
18,飲み,12
7,紅茶,11
9,ルイボスティー,10
117,レス,9
12,味,9
19,やすい,8
37,ティー,7
108,フレーバー,7
15,美味しく,7
8,良い,6
32,み,6
61,なっ,6
109,あり,5
72,いい,5
98,甘い,5
97,キャラメル,5
81,種類,5
79,飲め,5
62,いる,5
116,リプトン,4
40,夜,4
5,飲む,4
26,なく,4
38,カモミール,4
83,画像,4
14,入れ,4
87,満足,4
10,シナモン,4
80,杯,4
64,楽しめ,3
99,甘く,3
59,出し,3
1,酸味,3
74,リピ,3
69,思い,3
70,する,3
95,売っ,3
50,ない,3
94,癒さ,3
77,探し,3
78,見つけ,3
84,変更,3
91,おいし,3
111,安心,3
47,お茶,3
23,おいしい,3
120,よかっ,3
27,気に入っ,3
4,一緒,3
48,パッケージ,3
118,なる,3
39,落ち着き,3
41,寝る,3
42,バッグ,3
121,おいしく,3
43,入っ,3
29,買い,3
123,たま,3
17,商品,3
11,入り,3
122,飲める,2
124,無く,2
92,仕事,2
93,大好き,2
125,うれしい,2
126,サイズ,2
90,安定,2
112,気分,2
129,クラブ,2
96,助かり,2
119,妊娠,2
130,フルーツ,2
100,ルイ,2
89,好き,2
101,ボス,2
114,買え,2
102,良かっ,2
105,オレンジ,2
106,風味,2
107,ある,2
113,ロハコ,2
128,デイリー,2
110,チョコレート,2
115,思っ,2
66,箱,2
86,行っ,2
30,手頃,2
49,メーカー,2
46,買っ,2
45,レモン,2
44,価格,2
36,ミルク,2
34,美味しかっ,2
33,アール,2
28,リピート,2
52,悪い,2
24,デカフェ,2
20,お供,2
16,なり,2
13,お湯,2
6,普通,2
3,お菓子,2
2,くれ,2
85,トップ,2
51,袋,2
53,なら,2
65,気持ち,2
82,みる,2
76,祝い,2
75,出産,2
73,プレゼント,2
71,季節,2
68,注文,2
54,砂糖,2
67,可愛い,2
63,やすく,2
60,包装,2
58,ヒップ,2
57,ローズ,2
56,真っ赤,2
55,頂い,2
131,しれ,2
22,カフェ,1
21,デ,1
103,気,1
104,に,1
127,気に入り,1
