,word,count
0,美味しい,67
22,飲ん,40
11,購入,39
3,味,34
20,甘,34
39,牛乳,28
23,おいしい,28
35,飲み,23
24,子供,22
83,ミルク,20
14,好き,20
134,溶け,16
56,すぎ,16
44,思い,16
42,いい,16
53,み,16
179,子ども,15
112,いる,14
154,ある,14
43,商品,13
92,買っ,13
51,大人,12
17,なる,12
62,やすい,12
76,濃厚,12
77,甘い,12
138,お湯,12
78,する,12
60,飲む,11
122,甘く,11
130,バンホーテン,11
183,タイプ,11
188,スティック,11
63,なり,10
195,粉,10
9,飲め,10
96,良い,9
268,ピスタチオ,9
197,あり,9
120,買い,9
164,便利,9
133,質,8
99,包装,8
36,なっ,8
15,値段,8
238,袋,8
117,カカオ,8
4,控えめ,8
192,スプーン,7
147,リピート,7
71,美味しく,7
27,アイス,7
97,入っ,7
125,砂糖,7
219,ん,7
26,手軽,7
229,こども,7
30,コーヒー,7
46,栄養,7
18,冷たい,7
199,クイズ,7
303,糖,7
58,普通,7
84,良く,6
257,作っ,6
131,好み,6
109,リピ,6
91,高い,6
152,風味,6
171,思っ,6
210,気に入っ,6
207,言っ,6
16,おいしかっ,6
165,なく,5
5,薄い,5
2,香り,5
194,試し,5
252,思う,5
6,コク,5
206,いちご,5
280,一息,5
101,くれ,5
88,濃い,5
162,ホット,5
221,本,5
21,め,5
12,期待,5
50,やすく,5
54,通り,5
55,入れ,5
40,でき,5
224,♪,4
191,喜ん,4
110,寒い,4
198,書い,4
115,作り,4
118,健康,4
288,しまい,4
126,足し,4
187,楽しみ,4
290,母,4
172,作る,4
37,一番,4
163,簡単,4
89,チョコレート,4
203,種類,4
305,カロリー,4
304,オフ,4
214,なら,4
90,ドリンク,4
32,スーパー,4
10,美味し,4
106,美味しかっ,4
218,楽し,4
215,混ぜ,4
149,あっ,4
104,買え,4
102,得,4
148,安く,3
247,嬉しい,3
255,キャンペーン,3
160,うれしい,3
227,ない,3
52,とれ,3
166,難しい,3
168,森永,3
169,量,3
248,寝る,3
208,小学生,3
173,入れる,3
220,パッケージ,3
38,いっ,3
213,朝,3
181,探し,3
59,溶かし,3
185,で,3
186,き,3
13,最高,3
302,よかっ,3
25,大好き,3
189,一緒,3
239,作れる,3
209,イチゴ,3
57,気に入り,3
193,かき混ぜ,3
204,飽き,3
156,良,3
272,冬場,3
266,個人,3
123,苦み,3
116,使用,3
127,いえ,3
259,飲める,3
277,濃いめ,3
79,濃く,3
132,人工,3
41,カルシウム,3
81,割っ,3
105,助かり,3
103,売っ,3
34,割高,3
139,インスタント,3
28,できる,3
86,出来,3
100,よい,3
7,物足りない,3
94,箱,3
260,なかっ,3
265,曰く,3
263,苦手,3
232,づつ,2
236,あげ,2
300,苦味,2
228,普段,2
283,愛飲,2
276,無く,2
282,やっ,2
278,シリーズ,2
237,喜ば,2
235,入院,2
287,破損,2
279,時期,2
234,今後,2
306,不味く,2
285,缶,2
231,若干,2
281,温まり,2
286,通年,2
301,しまっ,2
233,主人,2
275,お菓子,2
292,こぼれ,2
274,少量,2
226,悪く,2
258,使える,2
293,嫌い,2
294,ラク,2
256,物,2
295,切らさ,2
254,レビュー,2
296,夜,2
251,多い,2
264,価格,2
250,言う,2
297,程よい,2
298,仕事,2
267,問題,2
249,飲,2
291,だらけ,2
299,会社,2
269,使っ,2
270,は,2
246,増え,2
245,なぞなぞ,2
244,増やし,2
243,息子,2
242,溶ける,2
289,梱包,2
241,高め,2
307,ご時世,2
240,楽しい,2
271,まり,2
273,られ,2
284,季節,2
19,欲しく,2
225,アソート,2
223,すごく,2
80,半分,2
82,店頭,2
85,お気に入り,2
87,すごい,2
93,選び,2
95,大き,2
98,満足,2
107,ー,2
108,早く,2
111,疲れ,2
119,効果,2
121,市販,2
124,強く,2
128,成分,2
129,バランス,2
135,にくい,2
136,ダマ,2
75,頂き,2
74,甘み,2
73,作れ,2
8,しれ,2
29,ブレンディ,2
31,紅茶,2
33,見かけ,2
45,わかり,2
47,飲ま,2
48,セノビー,2
49,比べる,2
61,なし,2
72,知り,2
64,ポリ,2
65,フェノール,2
66,れる,2
67,骨,2
68,粗しょう,2
69,症,2
70,対策,2
137,温め,2
140,混ぜる,2
141,カフェ,2
142,モカ,2
176,かかる,2
177,ジュース,2
178,感覚,2
180,飲料,2
182,使い切り,2
184,自身,2
190,溶かす,2
196,残る,2
200,解き,2
201,児,2
202,内容,2
205,来,2
211,笑,2
212,忙しい,2
216,底,2
217,残り,2
222,付い,2
175,手間,2
174,沸かし,2
170,少ない,2
161,まとめ買い,2
159,強い,2
143,苦,2
144,ハマっ,2
155,％,2
153,本格,2
151,開け,2
167,値上げ,2
150,封,2
146,合わせ,2
145,癒さ,2
261,し,1
230,喜,1
262,まっ,1
113,お,1
114,菓子,1
157,気,1
253,なくなっ,1
158,に,1
308,なくなり,1
