,word,count
15,購入,411
37,美味しい,401
27,香り,398
57,味,352
108,飲み,326
48,思い,210
113,良い,204
13,飲む,190
141,酸味,164
11,美味しかっ,163
49,飲ん,160
118,コク,153
109,やすい,150
0,アイス,142
20,いい,134
85,あり,129
2,好き,125
83,美味しく,111
99,なく,110
24,いる,108
34,良く,107
56,パッケージ,102
96,値段,102
14,安く,101
74,苦味,99
137,み,99
47,得,96
8,おいしい,94
86,好み,86
209,ある,85
61,出し,78
201,入れ,76
91,リピート,75
16,でき,70
396,試し,69
177,買っ,64
94,商品,62
345,カフェイン,61
143,珈琲,61
46,満足,60
44,価格,58
88,良かっ,58
197,豆,58
223,あっ,58
327,やすく,57
64,飲め,57
53,安い,56
23,なっ,56
21,量,55
254,買い,55
147,キャンペーン,53
114,朝,52
63,簡単,52
65,味わい,51
198,なり,49
117,ない,49
39,粉,49
158,普段,48
33,パ,48
32,コス,48
9,ミルク,48
5,助かり,47
354,レス,47
196,する,46
70,嬉しい,46
172,よかっ,45
58,普通,44
131,毎朝,44
52,モカ,43
315,よい,43
313,よく,42
174,おいしかっ,42
893,手軽,42
62,パック,42
268,楽しみ,41
539,季節,41
173,スーパー,41
478,まろやか,41
12,リピ,41
87,買え,40
80,思っ,39
110,杯,38
89,ブレンド,38
181,袋,38
69,なる,38
195,ドリップ,37
202,少なく,37
333,ブラック,36
98,クセ,36
73,手頃,35
129,バランス,35
10,カフェオレ,33
290,安心,33
185,シリーズ,32
4,入っ,32
273,やすかっ,31
79,苦手,31
686,限定,31
31,便利,31
286,飲める,29
186,お気に入り,29
124,レビュー,29
212,気に入っ,28
76,有機,28
41,淹,28
84,いただき,28
90,大好き,28
528,作っ,28
100,おいしく,28
297,深,27
428,真空,27
81,家族,26
255,煎り,26
496,甘い,25
170,入れる,25
59,キーコーヒー,25
269,濃い,25
239,美味し,25
211,マイルド,25
51,ucc,24
150,探し,24
267,出来,24
139,苦み,24
338,風味,24
279,深み,23
55,増え,23
262,濃いめ,23
119,メーカー,23
6,ホット,23
3,容量,23
266,多い,23
228,深い,22
705,可愛い,22
502,気分,22
78,惹か,22
260,水出,21
18,我が家,21
357,できる,21
249,タイプ,21
380,買う,21
153,期待,21
455,安定,21
97,ありがたい,20
740,増量,20
391,牛乳,20
163,贅沢,20
215,頂き,20
584,作れ,20
322,強い,20
178,き,19
154,すぎ,19
384,られ,19
19,タイム,19
42,無い,19
104,め,18
54,消費,18
234,いれ,18
101,いただけ,18
156,ストック,18
438,定番,18
325,使い,18
940,かわいい,17
588,高い,17
277,通り,17
429,夜,17
149,買える,17
93,おり,16
383,残念,16
272,頂い,16
194,。,16
321,分,16
430,缶,16
17,うれしい,16
182,開け,16
221,入り,16
342,サイズ,16
515,か,15
572,作る,15
291,１,15
40,g,15
510,毎年,15
608,気に入り,15
306,♪,15
425,強く,15
35,大変,15
112,コスパ,15
372,個人,15
77,栽培,15
488,楽しめ,15
216,割,14
694,素敵,14
191,癖,14
7,濃く,14
339,わかり,14
72,安価,14
232,合い,14
146,に,14
145,気,14
402,時期,14
403,種類,14
555,番,14
540,一,13
270,無く,13
577,在宅,13
547,癒さ,13
236,開封,13
66,おすすめ,13
320,十,13
375,広がり,13
176,安かっ,13
60,ストレート,13
111,最高,13
447,抽出,13
318,０,13
245,氷,13
390,すごく,13
161,違う,12
127,飽き,12
742,キー,12
451,本格,12
891,作れる,12
533,使っ,12
600,相性,12
312,おく,12
311,え,12
