,word,count
0,コーヒー,38
29,香り,36
72,美味しい,25
23,購入,23
18,味,23
21,良い,19
49,飲み,19
5,美味しく,16
56,酸味,16
98,☆,15
19,安定,15
16,いい,14
20,いる,14
13,済,14
7,量り売り,14
40,思い,14
15,ucc,10
14,パッケージ,10
17,思っ,10
131,ない,10
85,あり,9
97,シリーズ,9
117,ブレンド,9
43,助かり,9
42,価格,9
86,コク,9
8,セール,9
2,使っ,8
37,袋,8
3,割,8
63,ラテ,8
64,おいしい,8
52,ブラック,7
54,やすい,7
11,焙,7
59,飲ん,7
10,見せ,7
44,状態,7
9,不味く,7
1,マシン,7
6,頂ける,7
108,開封,7
12,煎,7
152,珈琲,7
24,する,7
41,手頃,7
47,好き,6
77,入れ,6
32,リッチ,6
121,バランス,6
95,ある,6
55,苦み,6
68,苦味,6
151,粉,6
88,美味しかっ,5
87,深み,5
149,ひく,5
81,買い,5
70,ミルク,5
80,お気に入り,5
92,できる,5
73,コス,5
159,挽き,5
74,パ,5
110,g,5
135,淹,5
89,違う,4
145,リピ,4
30,飲め,4
142,値段,4
123,リピート,4
124,良く,4
146,商品,4
27,ミル,4
53,いただき,4
39,よい,4
36,苦手,4
57,られ,4
66,あっ,4
103,なく,3
154,ロハコ,3
122,高い,3
50,比べ,3
51,すぎ,3
102,濃いめ,3
104,楽し,3
96,最高,3
105,ん,3
106,マンデリン,3
109,タンザニア,3
137,癖,3
111,杯,3
26,挽く,3
162,履歴,3
62,出来,3
139,楽しみ,3
22,大丈夫,3
130,クセ,3
153,モカ,3
129,気に入っ,3
156,探し,3
69,少なく,3
82,好み,3
157,引い,3
128,普通,3
34,マイルド,3
127,飲む,3
133,量,3
91,チャック,3
93,挽い,3
138,無く,3
136,れる,2
134,き,2
164,ショッピング,2
155,ありがたい,2
140,インパクト,2
143,苦い,2
167,有機,2
144,良かっ,2
163,yahoo,2
147,毎朝,2
171,強め,2
148,いただい,2
168,欠け,2
158,高め,2
165,lohaco,2
170,良し,2
150,少ない,2
132,満足,2
169,カフェオレ,2
166,出,2
100,master,2
126,カルディ,2
58,有り,2
76,牛乳,2
75,濃い,2
71,合い,2
67,買える,2
65,書い,2
61,安く,2
60,ｕｃｃ,2
48,買っ,2
79,み,2
46,アメリカン,2
45,薄く,2
25,毎回,2
38,保存,2
35,苦,2
33,なっ,2
31,朝,2
125,やすかっ,2
78,アイス,2
83,スーパー,2
84,おすすめ,2
120,フルーティ,2
119,試し,2
118,種類,2
116,石井,2
115,成城,2
114,安価,2
113,３,2
112,しまい,2
107,コロンビア,2
101,風味,2
28,引き立て,2
99,roast,2
94,ドリップ,2
90,開け,2
172,可愛く,2
161,分,1
141,十分,1
160,十,1
