,word,count
28,購入,20
33,やすい,19
44,飲ん,18
13,美味しい,16
30,ルイボスティー,13
11,良い,12
15,入れ,12
8,味,12
12,思い,11
14,パック,10
1,飲む,9
64,なく,9
7,出し,9
27,入っ,9
25,いる,8
47,美味しく,8
16,お湯,8
96,香り,7
29,得,6
46,やすく,6
76,でき,5
37,助かり,5
2,容量,5
35,良かっ,5
3,コス,5
4,パ,5
95,おいしい,5
18,ティー,5
26,便利,5
52,お茶,5
66,好き,5
40,カフェイン,5
74,飲める,4
78,普通,4
50,煮,4
72,ある,4
53,なり,4
54,沸かし,4
42,する,4
57,あり,4
80,満足,4
6,リピート,4
31,クセ,4
58,ルイ,3
5,いい,3
82,商品,3
75,水出,3
9,出,3
85,飲め,3
69,ボトル,3
86,買っ,3
67,よい,3
65,風味,3
88,入れる,3
59,ボス,3
90,出る,3
45,リピ,3
48,安い,3
56,茶,3
104,値段,2
93,お買い得,2
94,なっ,2
98,美味しかっ,2
99,ハーブ,2
100,妊活,2
83,薄く,2
109,有機,2
84,濃く,2
92,嬉しい,2
101,職場,2
107,あっ,2
102,高い,2
106,ルイボスティ,2
87,置い,2
103,子供,2
89,サイズ,2
97,ルイボス,2
91,安心,2
81,見つけ,2
0,家族,2
79,頂き,2
41,沸騰,2
10,手軽,2
17,愛飲,2
19,バッグ,2
20,最初,2
21,十,2
22,分,2
24,なる,2
32,少なく,2
34,口コミ,2
77,水筒,2
38,麦茶,2
39,優しい,2
36,安く,2
43,大好き,2
63,色,2
73,飽き,2
71,暑い,2
70,良,2
68,会社,2
114,バニラ,2
60,に,2
55,入り,2
51,濃い,2
62,気に入っ,1
61,くい,1
49,やかん,1
108,気,1
110,で,1
111,き,1
112,や,1
113,かん,1
105,にくい,1
