,word,count
13,美味しい,3316
91,味,3008
39,美味しかっ,1862
26,購入,1853
93,いい,1655
14,小腹,1437
107,甘,1297
17,思い,1291
16,良い,1264
31,あり,1174
2627,おから,1139
164,おいしい,1017
21,美味しく,992
232,入っ,916
28,アーモンド,900
3,好き,896
133,やすい,863
61,いる,860
63,空い,859
510,飲み,813
183,なく,728
54,量,711
606,栄養,648
131,満足,632
68,フルーツ,628
152,なり,616
591,朝,615
117,ある,590
62,嬉しい,584
29,食,579
114,られ,578
163,サイズ,566
60,なっ,560
94,思っ,558
95,しまい,548
42,食べる,530
139,甘く,519
178,子供,512
193,罪悪,503
250,ない,479
138,み,472
954,朝食,465
513,飲ん,462
223,風味,461
4,すぎ,461
2,大好き,453
271,良,442
147,買い,428
336,応え,413
328,やすく,404
8,ダイエット,403
124,チョコ,399
112,お菓子,398
160,あっ,396
573,オレンジ,385
15,すい,384
184,でき,381
615,手軽,375
346,おいしかっ,369
7,袋,366
30,なる,362
47,健康,347
494,レモン,346
321,クッキー,337
82,良く,335
1,ナッツ,333
45,良かっ,330
41,商品,330
79,ドライ,329
145,美味し,324
2081,バナナ,321
521,ビタミン,311
413,買っ,311
141,香り,310
83,便利,308
12,リピート,306
315,する,300
255,シリーズ,296
1005,ヘルシー,291
867,ごはん,288
165,よい,285
2557,チップ,281
911,お腹,280
2092,わさび,279
50,甘い,277
37,過ぎ,276
372,カロリー,270
123,得,262
185,ハニーバター,260
156,バター,257
301,試し,252
233,普通,249
144,止まら,243
92,腹持ち,242
219,よかっ,240
111,少ない,234
337,安く,226
471,控えめ,224
192,られる,223
38,カリカリ,223
136,身体,218
264,入り,213
22,れる,212
67,つまみ,209
276,おいしく,208
446,くるみ,204
20,一緒,203
84,リピ,203
18,レーズン,201
98,値段,199
960,ビスケット,197
722,忙しい,192
186,甘み,191
235,コーヒー,188
502,炭酸,187
298,高い,185
190,助かり,184
334,はちみつ,184
148,好み,182
225,キャンペーン,180
1034,入れ,179
104,安心,178
43,種類,178
70,n,177
263,小さい,176
339,買え,175
129,キャラメル,175
899,酢,173
1055,ごたえ,172
199,ぴったり,171
261,子ども,170
284,やすかっ,167
162,きり,167
472,優しい,166
154,楽しみ,162
994,食品,161
127,気に入っ,160
113,代わり,158
585,補給,158
231,よく,155
229,できる,153
6,しまう,153
19,苦手,151
864,パッケージ,150
153,すごく,150
499,飲む,146
10,重宝,145
257,最高,145
733,いただき,144
253,お気に入り,144
59,包装,143
218,香ばしく,142
1025,補助,140
574,仕事,138
24,続け,136
179,持ち運び,135
628,最適,134
56,素朴,133
194,家族,131
121,安い,131
528,爽やか,131
595,酸味,129
53,小袋,129
1263,プルーン,128
214,レビュー,126
