,word,count
901,ぽ,1791
8,ボス,1235
7,ルイ,1235
62,rt,654
430,健康,638
604,出,611
32,言っ,604
235,っ,602
756,体重,601
909,cm,598
902,素人,598
910,リスク,598
911,来る,598
907,切っ,598
908,スタート,597
906,身長,597
904,玄人,597
905,言える,597
903,ちゃり,597
900,suzuki,597
899,jun,597
54,茶,288
49,https,242
50,ティー,207
52,ルイボスティー,147
31,カフェイン,120
56,お茶,98
11,飲ん,84
97,包,79
86,紅茶,69
57,バッグ,65
93,楽天,63
219,ダイエット,61
55,出し,55
91,送料,52
92,無料,49
266,質問,45
110,み,45
108,美味しい,42
83,なっ,41
162,好き,41
6,昨日,40
29,ある,39
51,ライフ,39
78,買っ,36
375,味,35
451,葉,35
160,コーヒー,34
135,飲み,34
67,セット,34
17,いい,34
2,ー,33
431,有機,32
61,する,31
334,オーガニック,30
159,最近,30
34,飲む,29
164,ブレンド,29
25,麦茶,29
255,あり,28
332,g,28
341,飲め,28
85,苦手,27
941,ルピシア,26
198,ない,25
65,ハーブ,25
297,朝,25
27,緑茶,25
130,き,25
150,ジャスミン,25
18,‼,24
241,ローズ,23
195,今日,23
258,限定,23
291,袋,22
453,生姜,22
70,レモン,22
138,なる,22
331,オーガニックルイボスティー,22
268,募集,21
267,匿名,21
251,グレイ,21
242,ヒップ,21
486,入り,21
87,w,21
53,g×,21
24,でる,21
744,研修生,20
250,アール,20
745,帰宅,20
165,いる,20
378,れる,19
111,パック,19
229,夜,19
139,なり,19
686,選べる,19
680,いちご,19
426,初回,18
119,☺,18
58,amazon,18
428,漢方,18
304,食べ,18
176,くん,18
15,思っ,17
33,られ,17
750,ください,17
28,飲める,17
322,生,17
81,箱,16
429,七美,16
184,やすい,16
355,ruibosu,16
4,飲ま,16
329,パウダー,16
149,効果,15
622,粉,15
673,カロリー,15
672,ゼロ,15
333,スーペリアグレード,15
414,n,15
308,♪,15
409,位,15
76,良い,15
739,おすすめ,15
202,あっ,15
487,書い,14
140,✨,14
630,l,14
249,ミルク,14
435,秘密,14
66,種,14
213,無印,14
436,発送,14
210,。,14
41,行っ,14
687,素材,14
323,クリ,14
534,人気,14
695,ら,13
688,よくばり,13
498,元気,13
101,メール,13
234,どくだみ,13
102,便,13
233,黒豆,13
524,大好き,13
562,カフェ,13
314,開始,13
456,´,12
290,まとめ買い,12
457,д,12
458,｀,12
240,r,12
39,笑,12
747,おり,12
155,飲,12
515,清光,12
738,本日,12
260,マメ,12
454,白湯,12
450,柿,12
45,嬉しい,12
261,科,12
400,香り,12
449,グァバ,12
321,抹茶,12
324,昼,12
348,おいしい,11
178,来,11
188,美味し,11
433,甜茶,11
432,ごぼう,11
183,匂い,11
223,湯,11
455,ココア,11
465,市場,11
330,サプリ,11
751,アキバ,11
746,お待ち,11
259,rooibos,11
741,パフェ,11
208,美味しかっ,10
427,％,10
733,飽き,10
420,飲み物,10
740,せんべい,10
743,ニルギリ,10
742,フロート,10
668,ランキング,10
748,♡,10
387,スティック,10
749,短冊,10
805,南アフリカ,10
19,リプトン,10
96,試し,10
692,美容,10
653,商品,10
106,c,10
358,頑張り,10
114,思い,10
452,秋冬,10
434,玄米,10
523,作る,10
211,白桃,9
38,くれ,9
386,溶ける,9
316,今朝,9
522,乾燥,9
127,入れ,9
402,水出,9
126,ルイボス,9
594,体調,9
68,シナモン,9
737,cafemailish,9
628,妊活,9
74,ハイビスカス,9
505,ドリンク,9
269,答え,8
317,前日,8
318,比,8
325,ゼリー,8
328,vc,8
1117,皆,8
286,タイム,8
144,⁉,8
145,知ら,8
