,word,count
40,https,957
38,ティー,730
6,rt,572
336,質問,522
42,紅茶,499
84,ミルク,378
48,飲ん,349
102,なっ,273
104,パック,260
338,募集,247
337,匿名,246
67,買っ,216
59,ー,210
113,美味しい,208
46,好き,206
302,箱,205
95,ある,188
93,糖,187
51,レモンティー,168
52,飲み,151
65,ロイヤルミルクティー,149
5,買う,136
78,する,131
110,✨,130
356,午後,130
967,e,130
3114,canaqole,126
144,いる,116
2187,ダージリン,113
195,最近,113
2188,demqlmzs,111
349,いい,111
2186,抱く,111
2185,罪悪,111
2189,klx,111
103,紙,107
208,飲む,104
170,味,101
238,笑,101
333,フレーバー,100
172,今日,98
49,き,93
283,み,90
373,lipton,89
10,アイナナ,89
230,公式,87
149,思っ,86
192,フルーツ,86
3107,linelive,85
2435,対象,85
707,ケース,85
339,答え,84
3113,審査,84
43,ラテ,78
455,あっ,78
39,甘い,76
202,でる,76
64,ない,74
457,抹茶,73
709,本,71
578,g,71
56,コンビニ,70
299,w,70
663,茶,70
206,くん,70
712,セット,67
403,めちゃくちゃ,67
119,すぎ,66
105,飲める,66
3002,ピーチミックスティー,66
181,ピーチ,63
1187,☕,63
126,くれ,62
89,ml,60
188,入れ,59
2021,昨日,56
782,高校生,56
664,葉,56
53,なる,56
259,あり,55
146,食べ,55
574,ゼリー,52
566,コラボ,51
151,k,51
636,っ,50
159,普通,50
196,発売,50
37,グレープ,50
1695,参加,50
1788,剛力,49
592,カフェ,49
1789,彩,49
1790,芽,49
612,言う,48
167,おいしい,48
359,出,48
216,甘,48
308,バッグ,47
143,出来,47
713,楽天,47
100,☺,47
26,～,46
284,香り,46
214,旅,46
307,行っ,45
112,一緒,45
858,流れ,45
705,ミルクティーベース,45
1304,完成,44
708,ml×,44
282,出し,44
711,リキッド,44
1077,環,43
706,ロイヤルミルクティーベース,43
3116,⭐,42
3115,wedding,42
909,購入,42
710,濃縮,42
352,れる,42
55,ライチ,42
408,欲しい,42
311,本日,41
1348,カフェイン,41
3118,msm,41
243,l,41
412,飲料,41
3119,xzw,41
3117,cheese,41
244,来,40
813,♪,40
421,作っ,40
313,やっ,40
189,派,39
667,言っ,39
222,プロ,39
153,ポ,39
675,閉じ,38
540,ジュース,38
853,久しぶり,38
1181,仕事,38
277,買い,38
588,でき,37
106,なり,37
409,限定,37
197,ミルクティ,36
250,お願い,36
165,入っ,36
69,甘味,36
608,…,36
183,ください,35
591,コーヒー,35
256,思う,35
1635,cm,35
344,？,35
911,られ,35
623,www,35
254,思い,34
229,アイドリッシュセブン,34
642,大好き,34
872,販売,34
139,期間,34
417,ちゃう,34
438,楽しみ,33
703,使っ,33
369,花,33
1025,作り,32
275,売っ,32
1143,っぽい,32
687,冷蔵庫,32
451,ストロー,32
1483,誕生,32
807,本格,32
70,料,32
1142,描い,31
1105,希望,31
537,飲み物,31
1118,華やか,31
99,なかっ,31
21,東京,31
9,交換,31
370,伝,31
285,良い,30
290,美味い,30
184,n,30
922,た,30
2133,cup,30
1508,商品,30
127,モリ,30
1412,プロテイン,30
1813,飲ま,29
1288,☀,29
194,すき,29
296,おすすめ,29
57,置い,29
117,ち,29
466,x,29
54,台湾,29
941,明日,29
989,め,29
2867,レディ,29
462,２,29
2153,タイ,28
2442,パール,28
1566,dmp,28
25,朝,28
582,食べる,28
465,山,27
1104,設計,27
1683,送料,27
251,致し,27
1830,制作,27
1326,r,27
673,いっ,27
965,絵,26
538,ブランド,26
652,最高,26
263,陸,26
806,japan,26
2710,骨組み,26
524,なく,26
341,す,26
1321,今更,26
1873,恋,26
1,しまっ,26
404,美味しかっ,26
147,僕,26
60,スーパー,26
1060,u,26
2344,mk,26
118,可愛い,26
23,夜,25
298,うまい,25
2713,aszuewyat,25
669,パン,25
2712,塗装,25
2711,盛り付け,25
680,ジャム,25
2709,図,25
2708,過程,25
2707,ぺこらちゃんの,25
2706,貯金,25
2,心,25
378,企業,25
2128,いか,25
1067,い,25
670,マン,25
174,❤,25
2369,運命,25
533,言わ,24
286,お茶,24
2724,toy,24
2723,ejmk,24
1269,寝,24
2364,ndvlznmymhttps,24
2363,一覧,24
2370,シティ,24
323,過ぎ,24
434,ﾟ,24
3011,たっぷり,24
2366,clki,24
2365,znv,24
2368,工,24
485,一番,24
2371,競馬,24
163,ボス,24
2367,斎藤,24
92,から,24
2362,女優,24
681,下ろし,24
2374,jfifdecoder,23
587,飲め,23
686,かけ,23
694,ww,23
2375,cex,23
576,できる,23
1331,登場,23
649,配信,23
661,くる,22
865,イギリス,22
539,アップル,22
274,甘く,22
1082,１,22
371,番,22
372,時代,22
124,パッケージ,22
964,祭,22
458,くれる,22
1238,イエロー,21
301,セブン,21
1284,合間,21
219,♡,21
653,推し,21
72,´,21
122,し,21
80,持っ,21
1239,ラベル,21
759,物,20
906,絶対,20
340,記念,20
225,クリーム,20
1940,全国,20
437,ちゃっ,20
481,ハマっ,20
1956,飲,20
1959,お供,20
1125,学生,20
923,ん,20
509,すぎる,20
927,リットル,20
571,ai,19
577,ゼラチン,19
495,嫌い,19
1791,画像,19
410,缶,19
443,冷やす,19
398,！,19
383,三井物産,19
560,良く,19
380,フォロー,19
130,高校,19
342,最初,19
579,溶かし,19
0,終わっ,19
211,無い,19
3060,理,19
581,グレープフルーツ,19
3061,qtolwlr,19
1859,カフェインレスティー,19
68,人工,19
1340,タイプ,19
835,c,19
3062,bu,19
758,ほしい,19
3064,mogg,18
1100,使用,18
50,たま,18
580,ピーチティ,18
943,最後,18
1595,ユニリーバ,18
1396,グレイ,18
1872,歩い,18
656,確定,18
347,綾,18
749,違う,18
1015,０,18
343,回答,18
1258,f,18
1416,嬉しい,18
224,リップ,18
2134,ucc,18
1752,牛乳,18
129,ツイート,18
418,シリーズ,17
3028,ra,17
231,オタク,17
796,アイスティー,17
3029,uml,17
1687,amp,17
780,青春,17
14,求,17
447,ら,17
253,れ,17
2150,ミント,17
3039,entabejp,17
750,オレ,17
12,譲,17
671,緊急,17
936,わかる,17
281,入り,17
583,ヘルシー,17
926,忘れ,17
1395,アール,17
164,レモン,17
639,猫,17
66,美味し,17
1418,気分,17
638,白,17
572,mogmog,17
2536,開始,17
910,美味しく,17
788,jai,16
426,ゲーム,16
411,ペットボトル,16
2531,コレクションオリパ,16
1554,ソース,16
2534,箔押し,16
2533,サイン,16
430,日東,16
551,弾,16
2530,ヴァイスシュヴァルツリプトン,16
606,gt,16
477,正直,16
1794,パウダー,16
1417,クラフト,16
2062,笑顔,16
1259,今度,16
94,書い,16
227,唇,16
30,ジャ,16
2066,おいし,16
2535,込,16
1991,アップルハニー,16
1607,ファミマ,16
213,いけ,16
368,boxfresh,16
1656,水分,16
1036,注い,16
327,学校,16
212,生き,16
198,うま,16
1274,｢,15
221,満たし,15
467,j,15
228,与え,15
493,ルイボスティー,15
1973,型,15
358,苦手,15
223,引き締め,15
348,鷹,15
331,シール,15
15,織,15
829,思い出,15
2159,フルーツポンチ,15
1393,杯,15
1546,混ぜる,15
695,強い,15
262,アクスタ,15
220,crescentmoon,15
1534,見かけ,15
402,わ,15
226,美しい,15
407,リプ,15
1356,豆,14
123,まっ,14
2130,溶ける,14
1043,dm,14
16,郵送,14
850,記憶,14
321,当選,14
2682,踊っ,14
767,お気に入り,14
565,知ら,14
496,プレ,14
2154,ホテル,14
734,届い,14
2152,漬け,14
557,v,14
2151,摘ん,14
678,ひ,14
543,とこ,14
2148,ベランダ,14
422,すごい,14
2149,ローズマリー,14
2854,キャラメル,14
2052,mognavi,14
615,神,14
456,やすい,14
1749,q,14
2158,蜂蜜,14
1172,音,14
2156,bgm,14
2157,流し,14
2155,廊下,14
1266,がち,14
1580,とっ,13
330,机,13
2590,嬉しかっ,13
2161,http,13
1472,ハッピー,13
2890,リプトンイエローラベル,13
1294,　,13
1357,知識,13
82,思い出し,13
289,見つけ,13
1350,最強,13
360,友達,13
177,‍,13
857,教え,13
968,渡し,13
2126,アウトドア,13
820,以外,13
154,行き,13
169,ルイボスティーパンチ,13
423,д,13
2131,カバン,13
752,く,13
375,つけ,13
2129,が,13
268,‍♀,13
904,世代,13
674,皆,13
2127,フルーツチャージティー,13
2160,majyokkorei,13
679,えい,12
743,味わい,12
676,盗ん,12
1037,気品,12
2865,太陽,12
2866,恵み,12
1016,㍑、,12
672,事態,12
668,笑っ,12
1260,みる,12
682,かき,12
3012,ホイップクリーム,12
1885,？☺,12
698,考え,12
1174,まじ,12
2051,rc,12
266,声,12
2050,ocsc,12
3014,ホイップティーオレ,12
1419,b,12
2049,mmyyckc,12
1333,淹,12
1249,賞味,12
3013,トッピング,12
319,生まれ,12
1001,リ,12
683,ーパンマン,12
218,悪い,12
1461,おり,12
677,挙げ,12
2146,ょっぴ,12
494,雰囲気,12
498,歌舞伎町,12
499,ホスト,12
500,ニーズ,12
501,ldh,12
502,nogoodtv,12
503,abc,12
504,hyde,12
764,p,12
981,昼,12
374,帰り,12
241,帰っ,12
1972,ピラミッド,12
497,ディセント,12
812,いれ,12
463,４,12
13,三月,12
405,‼,12
1225,震え,12
972,び,12
1504,久々,12
1293,幸せ,12
379,相互,12
459,ならい,12
1186,桃,12
789,是非,12
778,ストレート,12
17,京都,11
607,lt,11
1145,無理,11
814,合わせ,11
1033,コップ,11
975,jhpuz,11
2193,行け,11
270,砂糖,11
969,取り上げ,11
3054,ハッピーサンシャインデー,11
1250,期限,11
970,ホロライブ,11
1095,知っ,11
260,検索,11
32,場所,11
689,大丈夫,11
1375,ゆ,11
1764,マイ,11
454,ロイヤル,11
210,定期,11
1292,元気,11
3016,pearllady,11
1027,h,11
155,さ,11
376,コロナ,11
2307,効果,11
624,z,11
1208,セイロン,11
3055,弾む,11
584,tikokuma,11
849,びっくり,11
665,マジ,11
549,おいしかっ,11
424,｀,11
1824,付け,11
900,いえ,11
1355,お前,11
334,時期,11
553,すごく,11
215,しれ,11
966,jill,11
1030,その他,11
542,やめ,11
568,大和,11
2343,かわいい,11
974,lk,11
973,まつり,11
249,スタンド,11
171,似,11
1232,いう,11
527,業務,11
1229,タイム,11
971,error,11
795,創業,11
326,懐かしい,11
1107,袋,11
894,裏,11
324,周年,10
1038,漂う,10
1291,罪,10
1403,種類,10
1589,理由,10
1771,マンゴー,10
1482,昔,10
1561,個人,10
590,boss,10
20,手渡し,10
512,殺害,10
2316,zfy,10
2647,位,10
322,嬉し,10
1039,ティタイム,10
1197,けん,10
292,死ぬ,10
318,official,10
651,‍♂,10
45,ぇ,10
1537,♥,10
876,始め,10
2317,kcgfd,10
1180,広げよ,10
1031,コンビニエンスストア,10
1032,ガラス,10
1540,｡,10
1034,純白,10
1539,もらえ,10
2142,粉,10
35,相談,10
521,逮捕,10
257,いらっしゃる,10
1035,ティカップ,10
1916,で,10
772,素敵,10
1128,こ,10
186,多い,10
1780,買え,10
597,和泉,10
931,酒,10
1040,もってこい,10
1364,うるさい,10
2790,帰宅,10
1029,タピオカミルクティ,10
245,痛み,9
1147,探し,9
1358,キーワード,9
1567,コウツウアンゼン,9
3040,歯,9
760,レッド,9
217,気持ち,9
840,しよ,9
841,謎,9
1673,勝手,9
729,出る,9
1329,ブーム,9
1359,貰え,9
401,辺,9
1360,言える,9
1361,雑学,9
1362,王,9
1363,踏む,9
1365,シ,9
1325,楽しめる,9
22,→,9
1563,腹,9
704,好み,9
1631,なら,9
1175,部屋,9
1996,youtube,9
558,子供,9
179,ドリンク,9
63,しまう,9
986,あげ,9
2817,償う,9
2818,試合,9
1207,農園,9
2467,製,9
883,殺し,9
2819,ouzect,9
1473,今年,9
2820,kht,9
3001,パイナップル,9
1226,せ,9
1520,良,9
1245,粉末,9
1519,翡翠,9
2168,強く,9
320,いお,9
187,氷,9
1807,毎回,9
452,新しい,9
1233,森永,9
44,うめ,9
416,覚え,9
1167,コーラ,9
856,変わっ,9
1394,サー・トーマス・リプトン,9
1052,喫茶店,9
525,残念,9
442,出す,9
1949,負け,9
522,件,9
1227,こぼし,9
1855,内容,9
91,分,8
754,よ,8
523,報道,8
1495,興味,8
1988,はちみつ,8
1502,可愛く,8
769,chan,8
248,アクリル,8
827,先生,8
1097,」,8
1224,潰し,8
382,ストーカー,8
1210,貿易,8
1211,代理,8
2598,ミクチャ,8
391,買い物,8
1308,ロイヤルミルクティ,8
949,行く,8
233,接種,8
1639,付き,8
1684,無料,8
791,下さい,8
161,美味,8
381,集団,8
235,可能,8
1935,生,8
1132,•,8
2627,こっ,8
1222,クソ,8
2216,合う,8
2222,ミックス,8
932,❗,8
1218,⁉,8
1599,水戸,8
1209,ヶ国,8
2532,封入,8
1713,amazon,8
1262,jp,8
182,そ,8
599,もらっ,8
746,糖分,8
2822,stardom,8
2821,ladyc,8
1884,メン,8
603,やり,8
19,神戸,8
810,冷凍,8
24,新宿,8
1759,補給,8
1252,強,8
873,森永乳業,8
317,akase,8
325,jssnlieutv,8
2527,週間,8
1618,もっ,8
136,授業,8
742,贅沢,8
1111,無く,8
1020,ダメ,8
1998,炭酸,8
2176,やすく,8
1171,ゼロ,8
961,写真,8
258,申し訳,8
1397,詰め合わせ,8
1276,｣,8
332,貼っ,8
1628,ボトル,8
2029,身体,8
1139,キャ,7
1080,聞い,7
948,頑張っ,7
1161,せる,7
999,血液,7
1099,産,7
821,趣味,7
864,ぉ,7
1234,日本,7
2541,購,7
944,ぁ,7
1087,七瀬,7
1223,叩き,7
1178,悲しい,7
2499,残っ,7
1179,悩ん,7
1287,たん,7
1273,いく,7
1110,大量,7
901,衝撃,7
2503,機会,7
908,、,7
1283,ローソン,7
2586,だい,7
983,揚げ,7
1471,薬,7
2141,レギュラー,7
1882,･,7
1907,割,7
384,狙い,7
387,毎年,7
1570,顔,7
2931,ﾞ,7
1933,ヤバ,7
425,ﾉ,7
427,洗顔,7
1541,楽しん,7
460,中毒,7
1961,おかげ,7
482,教,7
1969,対処,7
520,大勢,7
1478,スト,7
1477,キャラ,7
1993,我慢,7
1470,泣い,7
2007,メロン,7
2008,チョコ,7
1459,大変,7
2831,思考,7
1443,おにぎり,7
593,モカ,7
598,兄弟,7
316,さとう,7
293,取っ,7
2057,も,7
288,安い,7
1748,オススメ,7
1762,集め,7
34,いたし,7
47,さっき,7
1711,烏龍茶,7
1797,カロリー,7
1798,kcal,7
1690,種,7
120,近所,7
142,半分,7
148,まずい,7
1843,だけ,7
1658,田舎,7
160,高い,7
175,疲れ,7
178,ケーキ,7
199,職場,7
203,すげ,7
1867,みっ,7
252,発送,7
261,tos,7
1870,市販,7
271,控えめ,7
272,生活,7
278,期待,7
1421,jk,7
1093,おいしく,7
2132,クーポン,7
643,片手,7
2689,三条,7
1372,黒,7
768,消え,7
787,楽しかっ,7
1371,オレンジ,7
1370,過ぎる,7
761,ブル,7
2136,ブレンド,7
2084,作る,7
2110,ほうじ茶,7
2677,ブログ,7
1314,ロンドン,7
2106,お湯,6
300,ao,6
2102,緑茶,6
868,確認,6
291,中学生,6
1004,アク,6
1005,エリ,6
1163,みよ,6
1162,いき,6
837,並ん,6
2249,言え,6
1155,犬,6
1622,人気,6
1610,３,6
2416,毎朝,6
1609,癖,6
367,✨✨,6
731,がぶ飲み,6
397,テロ,6
394,やら,6
392,レジ,6
2966,剤,6
1351,中学,6
1579,せい,6
1198,勝て,6
1584,吹い,6
310,やる,6
1588,ピンク,6
1347,君,6
1592,終わり,6
2227,天然,6
1182,夜食,6
1603,店員,6
1889,見え,6
1606,着,6
2108,底,6
1868,ーメール,6
755,わかっ,6
1710,言葉,6
1313,旅行,6
109,いただき,6
1689,選べる,6
799,シロップ,6
1114,お,6
1113,買わ,6
1793,チーズ,6
2291,ガスライティング,6
816,足,6
834,よい,6
1784,プレゼント,6
1079,追跡,6
2135,ティーアソートセット,6
1766,アッサム,6
2137,キリマンジァロ,6
1760,鴻,6
18,大阪,6
2138,aa,6
2266,お菓子,6
128,うれしい,6
1135,ーー,6
2264,クッキー,6
1152,ロック,6
420,勉強,6
1286,メグ,6
1638,⚠,6
2117,ついで,6
1647,食,6
1651,母,6
1327,敵,6
2637,会え,6
166,入れる,6
1657,暑い,6
2636,初め,6
793,開封,6
1812,おじさん,6
137,寝る,6
1051,ソフトクリーム,6
1680,。,6
419,マスター,6
2212,携帯,6
541,うまう,6
536,普段,6
1265,タピオカ,6
905,たらみ,6
1391,満足,6
1385,必要,6
1469,メーカー,6
912,存在,6
1381,友人,6
2020,動画,6
1230,手口,6
518,体制,6
924,長い,6
925,りんご,6
1974,バック,6
1509,駅,6
559,つける,6
1447,座っ,6
1524,satosatomi,6
2048,無かっ,6
1261,thomas,6
634,眉毛,6
866,リピート,6
1256,楽しい,6
1422,激,6
1424,良かっ,6
2039,お腹,6
897,暗殺,6
605,会い,6
594,スタバ,6
1398,得用,6
863,買お,6
573,簡単,6
570,分かる,6
933,代わり,6
439,風呂,6
848,居,6
945,休み,6
2139,園,6
946,ラーメン,6
1934,女子高,6
1958,peing,6
958,見る,6
730,近い,6
469,タバコ,6
2466,中国,6
1536,リュート,6
1522,有名,5
2272,ｗｗｗ,5
1436,まくっ,5
1578,ﾘﾌﾟﾄﾝ,5
1126,ころ,5
1437,の,5
1555,しょ,5
2165,アフタヌーン,5
1243,舌,5
1438,虫,5
1551,dq,5
1685,グルメ,5
1392,福袋,5
1550,予定,5
1349,レス,5
1196,称号,5
2284,専門,5
1300,②,5
1435,リプトンミルクティー,5
